context_id,context_group,label,scenario_id,scenario_group,baseline_tier,tier,tier_short,tier_changed,proxy_status_changed,n_criterion_conditions_changed,changed_criterion_conditions,quantitative_fidelity_vector_changed,n_quantitative_fidelity_conditions_changed,changed_quantitative_fidelity_conditions,reference_reliability_pass,fidelity_complete,quantitative_fidelity_pass,ranking_fidelity_pass,quantitative_recovery_pass,quantitative_rank_pass,quantitative_amplitude_pass,quantitative_hit_recall_pass,measurement_required_eligible
oasis:mtt_viability,main4,OASIS metabolic activity,relative:variance_ratio_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,True,False,True,True,False
oasis:mtt_viability,main4,OASIS metabolic activity,relative:variance_ratio_max:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,True,False,True,True,False
oasis:mtt_viability,main4,OASIS metabolic activity,relative:variance_ratio_max:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,True,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,baseline,baseline,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:all gates:looser,joint4,unresolved,unresolved,U,False,False,1,recoverability_min,True,1,quantitative_recovery_pass,True,True,False,False,True,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:all gates:tighter,joint4,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:recoverability_min:looser,single32,unresolved,unresolved,U,False,False,1,recoverability_min,True,1,quantitative_recovery_pass,True,True,False,False,True,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:recoverability_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:magnitude_spearman_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:magnitude_spearman_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:top5pct_quantitative_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:top5pct_quantitative_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:top5pct_ranking_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:top5pct_ranking_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:reliability_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:reliability_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:measurement_recoverability_max_exclusive:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:measurement_recoverability_max_exclusive:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:variance_ratio_min:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:variance_ratio_min:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:variance_ratio_max:looser,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,absolute:variance_ratio_max:tighter,single32,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:all gates:looser,joint4,unresolved,quantitative_proxy,Q,True,True,2,recoverability_min;magnitude_spearman_min,True,2,quantitative_recovery_pass;quantitative_rank_pass,True,True,True,True,True,True,True,True,False
oasis:ldh_release,main4,OASIS LDH release,relative:all gates:tighter,joint4,unresolved,unresolved,U,False,False,0,,False,0,,True,True,False,False,False,False,True,True,False
