reporter_slug,exact_pair,within_condition_residual,exact_minus_residual
5xupre,0.6926883655786514,0.6550969305634499,0.0375914350152015
actin_filament_fastact_spy555_live_cell_dye,0.9041246088842552,0.8613642811775207,0.0427603277067344
autophagosome_atg101,0.6586517455677192,0.5797818457086882,0.078869899859031
autophagosome_map1lc3b,0.8949203866223494,0.7818709942201773,0.1130493924021721
b-catenin,0.4865698561320702,0.4788670066992441,0.007702849432826
c-myc,0.458046290030082,0.4474016050994396,0.0106446849306424
caspase_activity_cellevent-caspase_live-cell_dye,0.5375786899278562,0.5199874856819708,0.0175912042458853
cell_proliferation_marker_mki67,0.7315242397288481,0.5995526724805434,0.1319715672483046
chaperones_hspa1b,0.78846741716067,0.7075882859528064,0.0808791312078636
chromalive_488_excitation,0.7679530719916026,0.6845896470050017,0.0833634249866008
chromatin_h2bc21,0.6434166714549064,0.6300895884633064,0.0133270829916
clathrin_vesicles_clta,0.8764776892960071,0.8515491654475531,0.024928523848454
early_endosome_eea1,0.8358397973080477,0.8152466786404451,0.0205931186676026
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.8036594157417616,0.62280978312095,0.1808496326208115
endosome_vps35,0.8326651627818743,0.7593117468059063,0.073353415975968
er_cona,0.5566463968820041,0.5455096004737748,0.0111367964082292
er_golgi_bridge_vapa,0.755747049426039,0.7434584592779478,0.0122885901480911
er_golgi_cop-ii_sec23a,0.8493763948480287,0.8264649537702402,0.0229114410777885
er_golgi_cope,0.83749998336037,0.7333207711577415,0.1041792122026284
er_ncln,0.5423569830134511,0.5328014083206654,0.0095555746927857
er_sec61b,0.7581680220862229,0.7383345571657022,0.0198334649205207
f-actin_phalloidin,0.5973769512441424,0.5859846695015827,0.0113922817425596
fe2+_ferhonox_live-cell_dye,0.956857910255591,0.84174675544103,0.115111154814561
late_endosome_rab7a,0.8910075969994068,0.857566662877798,0.0334409341216087
lipid_droplet_bodipy_live_cell_dye,0.8731923297047615,0.8378695406019687,0.0353227891027927
lipid_droplet_plin2,0.8206731838484606,0.649961203088363,0.1707119807600975
lysosome_lamp1,0.7370081414779027,0.7009808979928493,0.0360272434850533
lysosome_lysotracker_live-cell_dye,0.8932457673052946,0.8559765037149191,0.0372692635903755
microtubules_map4,0.7241087769468625,0.7131316383679708,0.0109771385788917
microtubules_tubulin,0.5753699077086316,0.5644395710279545,0.0109303366806771
mitochondria_chromalive_561_excitation,0.8145184126993021,0.6743477173149586,0.1401706953843435
mitochondria_tomm20,0.5275960248998469,0.5154900362094244,0.0121059886904225
mitochondria_tomm70a,0.7769943192601204,0.6274685134490332,0.1495258058110872
nuclear_speckles_srrm2,0.8645843317111334,0.7635432553788026,0.1010410763323307
nuclei_hoechst,0.6873320666948954,0.6775210792819658,0.0098109874129296
nuclei_nucleolive_live_cell_dye,0.7406819442907969,0.6477098722010851,0.0929720720897118
nucleoli_npm1,0.4369914656711949,0.4294558096677064,0.0075356560034884
nucleolus-dfc_fbl,0.8291109556953111,0.6683127043147882,0.1607982513805229
nucleolus-gc_npm3,0.8257812584439913,0.6968838311731815,0.1288974272708097
oxidative_stress_cellrox_live-cell_dye,0.7772810893754165,0.6156181731571755,0.161662916218241
p21,0.4202565080920855,0.4002207591136296,0.0200357489784558
p53,0.4157117112974325,0.3999791536231835,0.015732557674249
peroxisome_peroxi_spy650_live_cell_dye,0.8633405114213627,0.7385919665296872,0.1247485448916755
plasma_membrane_atp1b3,0.6581316788991292,0.6091111168265343,0.0490205620725948
plasma_membrane_slc3a2,0.8586463987827301,0.8291029572486878,0.0295434415340423
plasma_membrane_wga,0.607748916082912,0.5965369283325141,0.0112119877503978
prb,0.3286810016632079,0.3093041737377643,0.0193768279254436
proteasome_psmb7,0.6535785918434461,0.4747281527146697,0.1788504391287764
ps6,0.5212420811907699,0.5104235907519857,0.0108184904387841
recycling_endosome_tfrc,0.8716117322444916,0.7967262844244638,0.0748854478200278
stress_granule_g3bp1,0.8774110093712807,0.8661385881404081,0.0112724212308725
trans-golgi_vamp3,0.6643884502351284,0.6400322658320268,0.0243561844031016
