case,test,n,median,q25,q75
pRb,Well pairs,3,-0.0153553197807242,-0.02333920324840965,0.028369663955720853
pRb,Independent guide halves,3,-0.0196065331916808,-0.02061285749167105,-0.0050387191327176
pRb,Random cell halves,100,0.15774519274911764,0.14397593881941906,0.1727731566186687
NPM1,Well pairs,3,0.0693038288058879,0.0626635956109679,0.0747308258133738
NPM1,Independent guide halves,3,0.0535583340294323,0.04297282750260875,0.07403259253768375
NPM1,Random cell halves,100,0.1969091790668775,0.18567716901857478,0.21007170446158757
