axis,bin_left,bin_right,compound_count
measured,-0.15,-0.1,2
measured,-0.1,-0.05,24
measured,-0.05,0.0,86
measured,0.0,0.04999999999999999,43
measured,0.04999999999999999,0.09999999999999998,26
measured,0.09999999999999998,0.15,14
measured,0.15,0.19999999999999998,9
measured,0.19999999999999998,0.24999999999999997,7
measured,0.24999999999999997,0.29999999999999993,2
measured,0.29999999999999993,0.35,0
measured,0.35,0.3999999999999999,3
measured,0.3999999999999999,0.44999999999999996,0
measured,0.44999999999999996,0.4999999999999999,0
measured,0.4999999999999999,0.5499999999999999,0
measured,0.5499999999999999,0.5999999999999999,0
measured,0.5999999999999999,0.6499999999999999,0
measured,0.6499999999999999,0.7,0
measured,0.7,0.7499999999999999,0
measured,0.7499999999999999,0.7999999999999999,0
measured,0.7999999999999999,0.8499999999999999,0
measured,0.8499999999999999,0.8999999999999998,1
measured,0.8999999999999998,0.9499999999999998,0
measured,0.9499999999999998,1.0,0
predicted,-0.15,-0.1,0
predicted,-0.1,-0.05,3
predicted,-0.05,0.0,88
predicted,0.0,0.04999999999999999,75
predicted,0.04999999999999999,0.09999999999999998,22
predicted,0.09999999999999998,0.15,13
predicted,0.15,0.19999999999999998,7
predicted,0.19999999999999998,0.24999999999999997,6
predicted,0.24999999999999997,0.29999999999999993,0
predicted,0.29999999999999993,0.35,0
predicted,0.35,0.3999999999999999,1
predicted,0.3999999999999999,0.44999999999999996,1
predicted,0.44999999999999996,0.4999999999999999,0
predicted,0.4999999999999999,0.5499999999999999,0
predicted,0.5499999999999999,0.5999999999999999,0
predicted,0.5999999999999999,0.6499999999999999,0
predicted,0.6499999999999999,0.7,0
predicted,0.7,0.7499999999999999,0
predicted,0.7499999999999999,0.7999999999999999,0
predicted,0.7999999999999999,0.8499999999999999,0
predicted,0.8499999999999999,0.8999999999999998,1
predicted,0.8999999999999998,0.9499999999999998,0
predicted,0.9499999999999998,1.0,0
