reporter_slug,short_name,endpoint_superfamily,pearson,n_endpoints_family,original_marker_map_full,reliability,log10_exact_links,n_endpoints
mitochondria_tomm20,TOMM20*,Intensity dispersion,0.6486812751312017,24,0.038839880917791,0.4495396744921411,5.047559110643657,72
mitochondria_tomm20,TOMM20*,Intensity extrema/range,0.7273854764312176,18,0.038839880917791,0.4495396744921411,5.047559110643657,72
mitochondria_tomm20,TOMM20*,Intensity level,0.764299710468512,24,0.038839880917791,0.4495396744921411,5.047559110643657,72
mitochondria_tomm70a,TOMM70A,Intensity extrema/range,0.7697285628655435,18,0.0206821194361864,0.3915349809035072,5.143654834652498,24
mitochondria_tomm70a,TOMM70A,Intensity level,0.6983933800415594,6,0.0206821194361864,0.3915349809035072,5.143654834652498,24
nuclear_speckles_srrm2,SRRM2,Intensity extrema/range,0.8590379787326378,18,0.1271641227759117,0.619391207547443,5.4437963334098916,24
nuclear_speckles_srrm2,SRRM2,Intensity level,0.8797846669112729,6,0.1271641227759117,0.619391207547443,5.4437963334098916,24
nuclei_hoechst,Hoechst*,Integrated intensity,0.7896680730364322,5,0.0336417096133922,0.187063345712023,5.047559110643657,60
nuclei_hoechst,Hoechst*,Intensity dispersion,0.6659477547723952,20,0.0336417096133922,0.187063345712023,5.047559110643657,60
nuclei_hoechst,Hoechst*,Intensity extrema/range,0.7814483667206865,15,0.0336417096133922,0.187063345712023,5.047559110643657,60
nuclei_hoechst,Hoechst*,Intensity level,0.8221585537631458,20,0.0336417096133922,0.187063345712023,5.047559110643657,60
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,Intensity extrema/range,0.8144772685628936,18,0.1252689441625706,0.6299969683630331,5.430281506079044,24
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,Intensity level,0.844008569116692,6,0.1252689441625706,0.6299969683630331,5.430281506079044,24
nucleoli_npm1,NPM1*,Integrated intensity,0.45878170784636435,6,0.0473940152773191,0.2156298259088717,5.047559110643657,72
nucleoli_npm1,NPM1*,Intensity dispersion,0.5134854439048238,24,0.0473940152773191,0.2156298259088717,5.047559110643657,72
nucleoli_npm1,NPM1*,Intensity extrema/range,0.5622112164532519,18,0.0473940152773191,0.2156298259088717,5.047559110643657,72
nucleoli_npm1,NPM1*,Intensity level,0.5794782223461304,24,0.0473940152773191,0.2156298259088717,5.047559110643657,72
nucleolus-dfc_fbl,FBL,Intensity extrema/range,0.7899065214043078,18,0.078618466167216,0.2774818093462274,5.351026723284182,24
nucleolus-dfc_fbl,FBL,Intensity level,0.815345637262825,6,0.078618466167216,0.2774818093462274,5.351026723284182,24
nucleolus-gc_npm3,NPM3,Intensity extrema/range,0.8202229343006436,18,0.1078536815419884,0.4003235836780205,5.32862013188473,24
nucleolus-gc_npm3,NPM3,Intensity level,0.8709193651806798,6,0.1078536815419884,0.4003235836780205,5.32862013188473,24
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,Intensity extrema/range,0.6541864379849229,18,0.056937695670675,0.566358845982032,5.43078109716359,24
