endpoint_superfamily,mean,bootstrap_ci_low,bootstrap_ci_high,n_reporters,n_reporter_family_rows,bootstrap_draws
Sub-object distribution,0.5252518194160145,0.42343722821600444,0.5883272505068601,6,6,10000
Spatial displacement,0.5408918028440449,0.3950387885351169,0.6804822214001413,6,6,10000
Integrated intensity,0.5833341945985487,0.5088407866337129,0.6672292477322,7,7,10000
Intensity dispersion,0.6620103655940877,0.6084212305307322,0.6993954798331059,7,7,10000
Intensity extrema/range,0.7909742149669797,0.7631260932110565,0.817154103267467,46,46,10000
Intensity level,0.8219679622970453,0.7936482569489413,0.8494380707750785,46,46,10000
