reporter_index,metric_index,reporter_slug,short_name,tier,metric,source_column,value,threshold,scaled_margin,passes
7,0,plasma_membrane_slc3a2,SLC3A2,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9125596810075852,0.7,0.7085322700252841,True
7,1,plasma_membrane_slc3a2,SLC3A2,quantitative_proxy,Rank,magnitude_spearman,0.9344774504774508,0.7,0.7815915015915027,True
7,2,plasma_membrane_slc3a2,SLC3A2,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.8999707561799031,"[0.5, 1.5]",0.7999415123598062,True
7,3,plasma_membrane_slc3a2,SLC3A2,quantitative_proxy,Top-5%,top5pct_recall,0.88,0.6,0.7000000000000001,True
7,4,plasma_membrane_slc3a2,SLC3A2,quantitative_proxy,Reliability,reliability,0.4535912492305982,0.3,0.219416070329426,True
8,0,clathrin_vesicles_clta,CLTA,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9145526433041556,0.7,0.7151754776805188,True
8,1,clathrin_vesicles_clta,CLTA,quantitative_proxy,Rank,magnitude_spearman,0.9554859914859912,0.7,0.8516199716199708,True
8,2,clathrin_vesicles_clta,CLTA,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.985584518519466,"[0.5, 1.5]",0.9711690370389321,True
8,3,clathrin_vesicles_clta,CLTA,quantitative_proxy,Top-5%,top5pct_recall,0.92,0.6,0.8000000000000002,True
8,4,clathrin_vesicles_clta,CLTA,quantitative_proxy,Reliability,reliability,0.5686643877978657,0.3,0.3838062682826653,True
9,0,autophagosome_map1lc3b,MAP1LC3B,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9001608299252496,0.7,0.6672027664174986,True
9,1,autophagosome_map1lc3b,MAP1LC3B,quantitative_proxy,Rank,magnitude_spearman,0.9305271065271066,0.7,0.7684236884236886,True
9,2,autophagosome_map1lc3b,MAP1LC3B,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.9347263774201356,"[0.5, 1.5]",0.8694527548402713,True
9,3,autophagosome_map1lc3b,MAP1LC3B,quantitative_proxy,Top-5%,top5pct_recall,0.86,0.6,0.65,True
9,4,autophagosome_map1lc3b,MAP1LC3B,quantitative_proxy,Reliability,reliability,0.4661954595673966,0.3,0.2374220850962809,True
10,0,fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,quantitative_proxy,Recovery,ensemble_recoverability_r,0.9095895901510402,0.7,0.6986319671701342,True
10,1,fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,quantitative_proxy,Rank,magnitude_spearman,0.93401305001305,0.7,0.7800435000435001,True
10,2,fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.7370803755819276,"[0.5, 1.5]",0.47416075116385525,True
10,3,fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,quantitative_proxy,Top-5%,top5pct_recall,0.86,0.6,0.65,True
10,4,fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,quantitative_proxy,Reliability,reliability,0.6070291514177555,0.3,0.43861307345393646,True
11,0,recycling_endosome_tfrc,TFRC,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8749470277911986,0.7,0.5831567593039954,True
11,1,recycling_endosome_tfrc,TFRC,quantitative_proxy,Rank,magnitude_spearman,0.9551779391779394,0.7,0.8505931305931312,True
11,2,recycling_endosome_tfrc,TFRC,quantitative_proxy,Amplitude,magnitude_variance_ratio,1.0244270122384225,"[0.5, 1.5]",0.951145975523155,True
11,3,recycling_endosome_tfrc,TFRC,quantitative_proxy,Top-5%,top5pct_recall,0.92,0.6,0.8000000000000002,True
11,4,recycling_endosome_tfrc,TFRC,quantitative_proxy,Reliability,reliability,0.591056052462748,0.3,0.41579436066106856,True
12,0,er_golgi_cope,COPE,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8337829869186318,0.7,0.4459432897287729,True
12,1,er_golgi_cope,COPE,quantitative_proxy,Rank,magnitude_spearman,0.854032154032154,0.7,0.5134405134405136,True
12,2,er_golgi_cope,COPE,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.7655537577096397,"[0.5, 1.5]",0.5311075154192795,True
12,3,er_golgi_cope,COPE,quantitative_proxy,Top-5%,top5pct_recall,0.78,0.6,0.4500000000000001,True
12,4,er_golgi_cope,COPE,quantitative_proxy,Reliability,reliability,0.5671140969254439,0.3,0.38159156703634844,True
13,0,chaperones_hspa1b,HSPA1B,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8331724455604629,0.7,0.4439081518682097,True
13,1,chaperones_hspa1b,HSPA1B,quantitative_proxy,Rank,magnitude_spearman,0.8072720072720073,0.7,0.35757335757335784,True
13,2,chaperones_hspa1b,HSPA1B,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.932221391997017,"[0.5, 1.5]",0.8644427839940341,True
13,3,chaperones_hspa1b,HSPA1B,quantitative_proxy,Top-5%,top5pct_recall,0.84,0.6,0.6,True
13,4,chaperones_hspa1b,HSPA1B,quantitative_proxy,Reliability,reliability,0.3807492021518412,0.3,0.1153560030740589,True
14,0,nucleolus-gc_npm3,NPM3,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8345335517417443,0.7,0.44844517247248095,True
14,1,nucleolus-gc_npm3,NPM3,quantitative_proxy,Rank,magnitude_spearman,0.8472391992391993,0.7,0.4907973307973312,True
14,2,nucleolus-gc_npm3,NPM3,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.8011097295184371,"[0.5, 1.5]",0.6022194590368741,True
14,3,nucleolus-gc_npm3,NPM3,quantitative_proxy,Top-5%,top5pct_recall,0.86,0.6,0.65,True
14,4,nucleolus-gc_npm3,NPM3,quantitative_proxy,Reliability,reliability,0.4003235836780205,0.3,0.14331940525431505,True
15,0,nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8274654823751895,0.7,0.42488494125063164,True
15,1,nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,quantitative_proxy,Rank,magnitude_spearman,0.8531728331728332,0.7,0.5105761105761107,True
15,2,nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.7928864032456882,"[0.5, 1.5]",0.5857728064913763,True
15,3,nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,quantitative_proxy,Top-5%,top5pct_recall,0.84,0.6,0.6,True
15,4,nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,quantitative_proxy,Reliability,reliability,0.6299969683630331,0.3,0.47142424051861875,True
16,0,endosome_vps35,VPS35,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8287198369034531,0.7,0.42906612301151037,True
16,1,endosome_vps35,VPS35,quantitative_proxy,Rank,magnitude_spearman,0.84987312987313,0.7,0.4995770995771001,True
16,2,endosome_vps35,VPS35,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.8053327690277692,"[0.5, 1.5]",0.6106655380555384,True
16,3,endosome_vps35,VPS35,quantitative_proxy,Top-5%,top5pct_recall,0.7,0.6,0.24999999999999994,True
16,4,endosome_vps35,VPS35,quantitative_proxy,Reliability,reliability,0.3519252152106765,0.3,0.07417887887239501,True
17,0,er_sec61b,SEC61B,quantitative_proxy,Recovery,ensemble_recoverability_r,0.8119267301316617,0.7,0.3730891004388725,True
17,1,er_sec61b,SEC61B,quantitative_proxy,Rank,magnitude_spearman,0.9014797934797936,0.7,0.671599311599312,True
17,2,er_sec61b,SEC61B,quantitative_proxy,Amplitude,magnitude_variance_ratio,0.5989096388069226,"[0.5, 1.5]",0.1978192776138452,True
