coverage_rank	assay_key	reporter_slug	display_name	biological_category	screen_id	gene_guide_concordant_exact_links
27	lipid_droplet_plin2::Biohub_OPS0022	lipid_droplet_plin2	PLIN2	Lysosome	Biohub_OPS0022	87785
28	trans-golgi_vamp3::Biohub_OPS0030	trans-golgi_vamp3	VAMP3	ER/Golgi	Biohub_OPS0030	87806
29	nucleolus-gc_npm3::Biohub_OPS0042	nucleolus-gc_npm3	NPM3	Nucleus	Biohub_OPS0042	88463
30	b-catenin::Biohub_OPS0077	b-catenin	b-catenin	Signaling	Biohub_OPS0077	90286
31	c-myc::Biohub_OPS0077	c-myc	c-Myc	Signaling	Biohub_OPS0077	90286
32	p21::Biohub_OPS0077	p21	p21	Signaling	Biohub_OPS0077	90286
33	p53::Biohub_OPS0077	p53	p53	Signaling	Biohub_OPS0077	90286
34	prb::Biohub_OPS0077	prb	pRb	Signaling	Biohub_OPS0077	90286
35	ps6::Biohub_OPS0077	ps6	pS6	Signaling	Biohub_OPS0077	90286
36	endocytic_vesicle_ph_phrodo-dextran_live_cell_dye::Biohub_OPS0053	endocytic_vesicle_ph_phrodo-dextran_live_cell_dye	pHrodo-dextran	Signaling	Biohub_OPS0053	92592
37	actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0065	actin_filament_fastact_spy555_live_cell_dye	FastAct	Cytoskeleton	Biohub_OPS0065	92947
38	lipid_droplet_plin2::Biohub_OPS0065	lipid_droplet_plin2	PLIN2	Lysosome	Biohub_OPS0065	93009
39	lipid_droplet_bodipy_live_cell_dye::Biohub_OPS0066	lipid_droplet_bodipy_live_cell_dye	BODIPY	Lysosome	Biohub_OPS0066	95146
40	recycling_endosome_tfrc::Biohub_OPS0027	recycling_endosome_tfrc	TFRC	Endosome	Biohub_OPS0027	96125
41	proteasome_psmb7::Biohub_OPS0029	proteasome_psmb7	PSMB7	Stress/PQC	Biohub_OPS0029	96411
42	nuclei_nucleolive_live_cell_dye::Biohub_OPS0062	nuclei_nucleolive_live_cell_dye	NucleoLIVE	Nucleus	Biohub_OPS0062	97262
43	nucleolus-dfc_fbl::Biohub_OPS0062	nucleolus-dfc_fbl	FBL	Nucleus	Biohub_OPS0062	97262
44	autophagosome_atg101::Biohub_OPS0031	autophagosome_atg101	ATG101	Lysosome	Biohub_OPS0031	97336
45	endosome_vps35::Biohub_OPS0025	endosome_vps35	VPS35	Endosome	Biohub_OPS0025	97931
46	cell_proliferation_marker_mki67::Biohub_OPS0045	cell_proliferation_marker_mki67	MKI67	Nucleus	Biohub_OPS0045	98157
47	peroxisome_peroxi_spy650_live_cell_dye::Biohub_OPS0045	peroxisome_peroxi_spy650_live_cell_dye	Peroxi	Peroxisome	Biohub_OPS0045	98157
48	cell_proliferation_marker_mki67::Biohub_OPS0057	cell_proliferation_marker_mki67	MKI67	Nucleus	Biohub_OPS0057	99468
49	peroxisome_peroxi_spy650_live_cell_dye::Biohub_OPS0057	peroxisome_peroxi_spy650_live_cell_dye	Peroxi	Peroxisome	Biohub_OPS0057	99468
50	proteasome_psmb7::Biohub_OPS0070	proteasome_psmb7	PSMB7	Stress/PQC	Biohub_OPS0070	101203
51	er_golgi_bridge_vapa::Biohub_OPS0020	er_golgi_bridge_vapa	VAPA	ER/Golgi	Biohub_OPS0020	101670
52	lysosome_lysotracker_live-cell_dye::Biohub_OPS0056	lysosome_lysotracker_live-cell_dye	LysoTracker	Lysosome	Biohub_OPS0056	102030
53	plasma_membrane_slc3a2::Biohub_OPS0004	plasma_membrane_slc3a2	SLC3A2	Plasma Membrane	Biohub_OPS0004	102853
54	mitochondria_chromalive_561_excitation::Biohub_OPS0063	mitochondria_chromalive_561_excitation	ChromaLIVE 561	Mitochondria	Biohub_OPS0063	103307
