method_id,method,method_color,method_family,method_order,split,split_label,screen_id,n_assays,ko_pearson
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0045,2,0.664062750801313
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0046,1,0.750872251371906
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0047,1,0.8722259825883586
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0048,1,0.7160676245344767
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0050,1,0.5706501121363537
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0051,1,0.6941343108204757
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0052,1,0.5677053269094984
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0053,1,0.5892689928493062
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0054,1,0.6271116412747705
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0055,1,0.909017263593873
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0056,1,0.8936008216955876
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0057,2,0.7225672908430186
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0058,1,0.7573373780200945
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0059,1,0.5897038127101587
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0060,1,0.8393227513797851
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0061,2,0.6680087508500565
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0062,2,0.6965682726795019
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0063,1,0.7242630830346591
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0064,2,0.6709681292024771
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0065,2,0.7078252928222135
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0066,1,0.8834396385056106
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0067,1,0.3548888565680831
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0068,1,0.6363460290623746
catboost_multirmse,CatBoost,#79A8C9,Classical tabular,3,field_holdout_sanity,Field,Biohub_OPS0069,2,0.603830694331362
