target,screen,gene,representation,n_cells,n_guides,cross_guide_constraint,median_neighbour_phase_distance,median_neighbour_raw_fluor_difference,median_random_raw_fluor_difference,raw_fluor_discrepancy_ratio,median_neighbour_endpoint_rms,median_random_endpoint_rms,endpoint_discrepancy_ratio
FeRhoNox,Biohub_OPS0047,AACS,phase172,24,4,True,0.8008215840607662,0.7403687434706585,0.8959418809358741,0.826358002929042,1.0940661430358887,1.5505480766296387,0.7055996060371399
FeRhoNox,Biohub_OPS0047,AACS,raw_thumbnail,24,4,True,0.9152715172335542,0.6827238205996198,0.8959418809358741,0.7620179780930286,1.699824333190918,1.5505480766296387,1.0962731838226318
FeRhoNox,Biohub_OPS0047,AARS,phase172,24,4,True,0.8225120259353479,1.1586956306786464,0.9887982587032519,1.17182207844723,1.2356120347976685,1.7175796031951904,0.719391405582428
FeRhoNox,Biohub_OPS0047,AARS,raw_thumbnail,24,4,True,0.8330700890064165,1.7084147946854293,0.9887982587032519,1.7277688139599985,1.7500818967819214,1.7175796031951904,1.018923282623291
FeRhoNox,Biohub_OPS0047,AATF,phase172,24,4,True,0.8283793077720398,0.9974347934941132,1.5038770298219388,0.6632422556598334,0.8191040754318237,1.3057390451431274,0.6273106932640076
FeRhoNox,Biohub_OPS0047,AATF,raw_thumbnail,24,4,True,0.8738142766798818,1.173621664804763,1.5038770298219388,0.7803973606430584,1.1042695045471191,1.3057390451431274,0.8457046151161194
FeRhoNox,Biohub_OPS0047,ABCE1,phase172,24,4,True,0.9337032560223448,0.2619064755223781,0.6032736968854966,0.43414204344481616,0.8310824036598206,1.4490402936935425,0.5735399127006531
FeRhoNox,Biohub_OPS0047,ABCE1,raw_thumbnail,24,4,True,1.106377753205647,0.39512836077991886,0.6032736968854966,0.6549736261001208,1.4530975818634033,1.4490402936935425,1.0027999877929688
FeRhoNox,Biohub_OPS0047,ABHD10,phase172,24,4,True,0.8094469494381773,0.6450005257521755,0.6240312607914555,1.0336029078641424,0.87563157081604,1.421126365661621,0.6161531805992126
FeRhoNox,Biohub_OPS0047,ABHD10,raw_thumbnail,24,4,True,0.8975685790485204,0.6706794562616805,0.6240312607914555,1.0747529785784469,1.4967057704925537,1.421126365661621,1.0531827211380005
FeRhoNox,Biohub_OPS0047,ABHD16A,phase172,24,4,True,0.9466429749517422,0.8357906720831555,0.8241598454370964,1.0141123432674528,1.1024315357208252,1.4140605926513672,0.7796211242675781
