method_id,reporter_slug,destination_screen,gene_macro_feature_pearson,gene_response_magnitude_spearman
ridge,nuclear_speckles_srrm2,Biohub_OPS0036,0.5815940704196692,0.7685826725826725
ridge,nuclear_speckles_srrm2,Biohub_OPS0061,0.5507744035373131,0.4249491242239716
ridge,nuclei_nucleolive_live_cell_dye,Biohub_OPS0061,0.3229975945626696,0.7717660357660358
ridge,nuclei_nucleolive_live_cell_dye,Biohub_OPS0062,0.4124346803097675,0.4856684816684816
ridge,nucleolus-dfc_fbl,Biohub_OPS0041,0.4240805166773498,0.7383913623913624
ridge,nucleolus-dfc_fbl,Biohub_OPS0062,0.4033166056809326,0.2285882405882406
ridge,nucleolus-gc_npm3,Biohub_OPS0042,0.8104040448864301,0.7313111513111513
ridge,nucleolus-gc_npm3,Biohub_OPS0058,0.81961773087581,0.8052690972690972
ridge,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0048,0.6479844297670448,0.7937023817023817
ridge,oxidative_stress_cellrox_live-cell_dye,Biohub_OPS0069,0.3231423342755685,-0.0315908715908715
ridge,peroxisome_peroxi_spy650_live_cell_dye,Biohub_OPS0045,0.7072054818272591,0.7173830493830494
ridge,peroxisome_peroxi_spy650_live_cell_dye,Biohub_OPS0057,0.7752190257112185,0.8365439485439485
ridge,plasma_membrane_atp1b3,Biohub_OPS0032,0.7555930477877458,0.7590822270822271
ridge,plasma_membrane_atp1b3,Biohub_OPS0071,0.7528426249821981,0.7128234768234768
ridge,plasma_membrane_slc3a2,Biohub_OPS0003,0.9062848736842474,0.904065484065484
ridge,plasma_membrane_slc3a2,Biohub_OPS0004,0.9236267184217772,0.9108436548436548
ridge,proteasome_psmb7,Biohub_OPS0029,0.6593426118294398,0.777968493968494
ridge,proteasome_psmb7,Biohub_OPS0070,0.5479367785155773,0.1213791613791613
ridge,recycling_endosome_tfrc,Biohub_OPS0027,0.8438462987542152,0.93385200985201
ridge,recycling_endosome_tfrc,Biohub_OPS0060,0.8729886213938395,0.9205751245751246
ridge,trans-golgi_vamp3,Biohub_OPS0030,0.5634724178041021,0.5401673761673762
ridge,trans-golgi_vamp3,Biohub_OPS0059,0.5560305919498205,0.4794304554304554
mlp,5xupre,Biohub_OPS0001,0.7907318830490112,0.7932594252594253
mlp,5xupre,Biohub_OPS0005,0.7871167421340942,0.7461107661107661
mlp,5xupre,Biohub_OPS0006,0.7629974097013473,0.7066000426000426
mlp,5xupre,Biohub_OPS0007,0.7164236038923264,0.757027117027117
mlp,5xupre,Biohub_OPS0008,0.7641004920005798,0.7412797292797293
mlp,5xupre,Biohub_OPS0009,0.7478211522102356,0.6825039345039345
mlp,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0033,0.918668815245231,0.8925454365454365
mlp,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0065,0.9000826887786388,0.8972706812706813
mlp,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0072,0.9289363026618958,0.9344716064716064
mlp,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0074,0.9106787058214346,0.945992757992758
mlp,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0076,0.8678360419968764,0.8911510591510592
mlp,autophagosome_atg101,Biohub_OPS0031,0.7277673544983069,0.6697039897039897
mlp,autophagosome_atg101,Biohub_OPS0054,0.6985505148768425,0.6666149466149466
mlp,autophagosome_map1lc3b,Biohub_OPS0016,0.7154058075199524,0.52205799005799
mlp,autophagosome_map1lc3b,Biohub_OPS0017,0.7191172981013855,0.5796002796002796
mlp,autophagosome_map1lc3b,Biohub_OPS0040,0.6519902854536971,0.4764574764574764
mlp,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0050,0.5792809209475914,0.6271428871428871
mlp,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0073,0.5375272938981652,0.4366517806517807
mlp,cell_proliferation_marker_mki67,Biohub_OPS0045,0.5115240603142107,0.466097326097326
mlp,cell_proliferation_marker_mki67,Biohub_OPS0057,0.5658675984789928,0.5027855867855868
mlp,chaperones_hspa1b,Biohub_OPS0028,0.8185872000952562,0.6954182394182394
mlp,chaperones_hspa1b,Biohub_OPS0072,0.7129254974424839,0.5432492912492912
mlp,chromalive_488_excitation,Biohub_OPS0002,0.6261354877303044,0.3500616860616861
mlp,chromalive_488_excitation,Biohub_OPS0051,0.6689551050464312,0.6337810177810178
mlp,chromatin_h2bc21,Biohub_OPS0064,0.6811770511170229,0.6923227643227643
mlp,chromatin_h2bc21,Biohub_OPS0069,0.7083582729101181,0.7094172614172615
mlp,clathrin_vesicles_clta,Biohub_OPS0018,0.9001283633212248,0.8968982515889463
mlp,clathrin_vesicles_clta,Biohub_OPS0019,0.9242304265499116,0.9567724047724048
mlp,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0053,0.2330873234119887,0.6941297501297501
mlp,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0064,0.2393131089920643,0.4357673437673438
mlp,endosome_vps35,Biohub_OPS0013,0.7334803317983946,0.4394120834120834
mlp,endosome_vps35,Biohub_OPS0025,0.7991723182300726,0.7490843090843091
mlp,er_golgi_bridge_vapa,Biohub_OPS0020,0.8174035586416721,0.8936525696525697
mlp,er_golgi_bridge_vapa,Biohub_OPS0021,0.7991099494198958,0.7875694515694516
mlp,er_golgi_cope,Biohub_OPS0023,0.5155447507277131,0.657042441042441
mlp,er_golgi_cope,Biohub_OPS0074,0.4328269536296527,0.552984516984517
mlp,er_sec61b,Biohub_OPS0001,0.9429471418261528,0.807964035964036
