metric,control,mean_exact_minus_control,ci95_low,ci95_high,n_reporters
Cell Pearson,gene_screen_deranged,0.4067302504336967,0.3706746818710101,0.4427874993148559,52
Cell Pearson,covariate_matched_deranged,0.2294777788578173,0.2100315489722422,0.2491154965181947,52
Cell Pearson,size_shape_only,0.4329497949847241,0.3897310876974144,0.475245895534536,52
Cell Pearson,remove_size_shape,-4.0436056820660885e-05,-0.0003856407691058,0.0003402030289772,52
KO Pearson,gene_screen_deranged,0.464777323387957,0.4350710268935959,0.4937539224007928,52
KO Pearson,covariate_matched_deranged,0.2652990308599059,0.2445124947711075,0.2865372681314931,52
KO Pearson,size_shape_only,0.4262960898602229,0.3850960133542486,0.4670881158811123,52
KO Pearson,remove_size_shape,0.0004247855660694,-0.0003978527984346,0.0012657453006181,52
