gene,n_targeting_cells
IER3IP1,202
IGBP1,193
ILF3,179
IMP4,194
IMPA2,163
IMPDH1,192
IMPDH2,193
INCENP,186
INO80D,224
INO80E,173
INPPL1,218
INTS1,207
INTS10,199
INTS11,156
INTS2,211
INTS5,194
INTS7,216
ITGB1,191
ITPR1,223
IVL,217
IZUMO2,221
JUNB,190
KANSL1,163
KATNBL1,195
KCNG1,225
KCNG4,204
KCTD16,218
KDM4A,230
KDM6A,210
KIAA1958,213
KIF11,158
KIF14,174
KIF17,246
KIF20A,194
KIF23,228
KIN,208
KLHL7,247
KPNB1,176
KRAS,194
KRI1,200
KRT10,223
KRT18,203
KRT8,236
KRTAP2-3,222
KRTAP2-4,192
KRTAP4-2,206
LAMTOR1,230
LAMTOR2,196
LAMTOR3,223
LAMTOR4,238
LARP7,222
LARS,192
LCE3A,208
LDLR,223
LENG8,209
LIAS,214
LIMD2,174
LIMS1,257
LIN37,194
LIN9,189
LMX1B,198
LRP1B,209
LSM4,150
LSM5,143
LSM6,155
LTB4R,182
LTN1,174
LTV1,221
LYPD2,192
LYSMD1,235
MAD2L2,206
MAFA,225
MANF,191
MAP2K7,212
MAP7D1,298
MAPK1,204
MAPRE3,186
MARS,208
MAX,197
MBD5,195
MBTD1,240
MCEE,200
MCM3,172
MCM5,213
MCM7,222
MCRS1,200
MCTS1,188
MDN1,193
MEAF6,239
MED13L,218
MED18,218
MED21,180
MED6,192
METAP1,200
METTL3,171
METTL7A,325
METTL7B,203
MEX3C,217
MFAP1,179
MGAM,213
MICOS13,221
MIEN1,216
MIOS,228
MLLT1,204
MMP17,207
MOB4,157
MRGBP,202
MRM1,157
MROH6,209
MRPL20,268
MRPL34,184
MRPL39,214
MRPL40,176
MRPL42,194
MRPL52,194
MSANTD4,199
MSH3,190
MTA2,207
MTBP,168
MTHFD1,224
MTOR,205
MUC13,180
MUCL1,204
MXRA8,310
MYBPHL,206
MYCL,216
NACC1,207
NAE1,177
NAMPT,179
NAPA,201
NAPG,194
NBEAL1,192
NBPF15,163
NCAN,182
NCAPG2,179
NCBP2,112
NCDN,198
NCKIPSD,215
NCL,187
NCOA1,232
NCOA4,192
NDUFC1,198
NEDD8,175
NEK1,197
NHSL1,203
NLE1,172
NMT1,198
NOB1,179
NOL10,237
NOL6,217
NOL7,203
NOL8,215
NOLC1,183
NOP16,202
NOP56,174
NOP58,191
NOP9,195
NPRL2,210
NR2C2AP,182
NR2E1,233
NR2F2,249
NRAS,207
NSA2,184
NUDCD1,203
NUDT21,202
NUFIP2,213
NUP214,174
NUP37,200
NUP54,253
NUP98,167
OAZ1,229
OGT,173
OR2T5,247
ORC6,168
OSBPL7,211
OST4,182
OTOP1,205
P4HB,164
PAICS,144
PAN2,188
PARP1,195
PARP12,195
PATL1,206
PCF11,198
PCID2,195
PCYT1A,191
PDCD7,256
PDGFRA,181
PDIA6,269
PDPK1,176
PDZK1IP1,205
PEF1,187
PEX19,201
PFDN2,179
PFN1,217
PGK1,187
PHB,188
PHB2,161
PHF23,205
PIAS1,201
PIGS,160
PIM2,212
PKMYT1,232
PLA2G4A,213
PLEKHM2,200
PLGLB2,195
PLOD3,206
POLA1,142
POLA2,225
POLE,175
POLE2,160
POLE4,210
POLR1B,174
POLR1C,233
POLR1E,156
POLR2B,188
POLR2C,185
POLR2D,177
POLR2E,201
POLR2F,174
POLR2H,171
POLR2I,180
POLR2M,183
POLR3A,219
POLR3B,183
POLR3E,174
POLR3F,266
POP4,193
POU3F1,191
PPAN,190
PPAT,205
PPCS,217
PPIA,188
PPIAL4D,177
PPIE,160
PPP1CA,212
PPP1R15B,201
PPP1R2,219
PPP2CA,186
PPWD1,214
PPY,204
PRAMEF6,221
PRCC,234
PRDM13,199
