unit,split,entity_id,rank_low_to_high,rank_percentile,component_index,n_components,biological_category,category_color
Reporter,Gene,lipid_droplet_plin2,15,27.45098039215686,1,1,Lysosome,#E8943A
Reporter,Gene,autophagosome_atg101,16,29.41176470588235,1,1,Lysosome,#E8943A
Reporter,Gene,er_cona,17,31.372549019607842,1,1,ER/Golgi,#4F9A70
Reporter,Gene,microtubules_tubulin,18,33.33333333333333,1,1,Cytoskeleton,#4FA7B8
Reporter,Gene,nuclei_hoechst,19,35.29411764705882,1,1,Nucleus,#3E6F9C
Reporter,Gene,lysosome_lamp1,20,37.25490196078431,1,1,Lysosome,#E8943A
Reporter,Gene,mitochondria_tomm70a,21,39.2156862745098,1,1,Mitochondria,#C85A3C
Reporter,Gene,f-actin_phalloidin,22,41.17647058823529,1,1,Cytoskeleton,#4FA7B8
Reporter,Gene,plasma_membrane_wga,23,43.13725490196078,1,1,Plasma Membrane,#9C8C72
Reporter,Gene,5xupre,24,45.09803921568627,1,1,Stress/PQC,#CC79A7
Reporter,Gene,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,25,47.05882352941176,1,1,Signaling,#7B6597
Reporter,Gene,plasma_membrane_atp1b3,26,49.01960784313725,1,1,Plasma Membrane,#9C8C72
Reporter,Gene,chromatin_h2bc21,27,50.98039215686274,1,1,Nucleus,#3E6F9C
Reporter,Gene,chromalive_488_excitation,28,52.94117647058823,1,1,Mitochondria,#C85A3C
Reporter,Gene,nucleolus-dfc_fbl,29,54.90196078431372,1,1,Nucleus,#3E6F9C
Reporter,Gene,peroxisome_peroxi_spy650_live_cell_dye,30,56.86274509803921,1,1,Peroxisome,#D56C75
Reporter,Gene,mitochondria_chromalive_561_excitation,31,58.8235294117647,1,1,Mitochondria,#C85A3C
Reporter,Gene,er_golgi_bridge_vapa,32,60.78431372549019,1,1,ER/Golgi,#4F9A70
Reporter,Gene,er_sec61b,33,62.745098039215684,1,1,ER/Golgi,#4F9A70
Reporter,Gene,endosome_vps35,34,64.70588235294117,1,1,Endosome,#C6A16A
Reporter,Gene,microtubules_map4,35,66.66666666666666,1,1,Cytoskeleton,#4FA7B8
Reporter,Gene,nuclei_nucleolive_live_cell_dye,36,68.62745098039215,1,1,Nucleus,#3E6F9C
Reporter,Gene,nucleolus-gc_npm3,37,70.58823529411764,1,1,Nucleus,#3E6F9C
Reporter,Gene,chaperones_hspa1b,38,72.54901960784314,1,1,Stress/PQC,#CC79A7
Reporter,Gene,er_golgi_cope,39,74.50980392156862,1,1,ER/Golgi,#4F9A70
Reporter,Gene,nuclear_speckles_srrm2,40,76.47058823529412,1,1,Nucleus,#3E6F9C
Reporter,Gene,recycling_endosome_tfrc,41,78.4313725490196,1,1,Endosome,#C6A16A
Reporter,Gene,fe2+_ferhonox_live-cell_dye,42,80.3921568627451,1,1,Signaling,#7B6597
Reporter,Gene,autophagosome_map1lc3b,43,82.35294117647058,1,1,Lysosome,#E8943A
Reporter,Gene,clathrin_vesicles_clta,44,84.31372549019608,1,1,Lysosome,#E8943A
Reporter,Gene,plasma_membrane_slc3a2,45,86.27450980392156,1,1,Plasma Membrane,#9C8C72
Reporter,Gene,actin_filament_fastact_spy555_live_cell_dye,46,88.23529411764706,1,1,Cytoskeleton,#4FA7B8
Reporter,Gene,late_endosome_rab7a,47,90.19607843137254,1,1,Endosome,#C6A16A
Reporter,Gene,lipid_droplet_bodipy_live_cell_dye,48,92.15686274509804,1,1,Lysosome,#E8943A
Reporter,Gene,early_endosome_eea1,49,94.11764705882352,1,1,Endosome,#C6A16A
Reporter,Gene,er_golgi_cop-ii_sec23a,50,96.07843137254902,1,1,ER/Golgi,#4F9A70
Reporter,Gene,lysosome_lysotracker_live-cell_dye,51,98.0392156862745,1,1,Lysosome,#E8943A
Reporter,Gene,stress_granule_g3bp1,52,100.0,1,1,Stress/PQC,#CC79A7
Reporter,Whole-screen,fe2+_ferhonox_live-cell_dye,1,0.0,1,1,Signaling,#7B6597
Reporter,Whole-screen,lipid_droplet_plin2,2,3.0303030303030303,1,1,Lysosome,#E8943A
Reporter,Whole-screen,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,3,6.0606060606060606,1,1,Signaling,#7B6597
