split,split_label,reporter_slug,consensus_ko_pearson,q25,q75,n_methods,difficulty,short_name,biological_category,category_color
field_holdout_sanity,Field,nuclei_nucleolive_live_cell_dye,0.7112641281758746,0.612963619424651,0.7281693229451776,10,Intermediate (0.60–0.75),NucleoLIVE Live Cell dye,Nucleus,#3E6F9C
field_holdout_sanity,Field,nucleoli_npm1,0.4764506484899256,0.4339645627886056,0.48344916333961807,10,Hard (<0.60),NPM1*,Nucleus,#3E6F9C
field_holdout_sanity,Field,nucleolus-dfc_fbl,0.716385401537021,0.6843882965234419,0.7323347559198737,10,Intermediate (0.60–0.75),FBL,Nucleus,#3E6F9C
field_holdout_sanity,Field,nucleolus-gc_npm3,0.7428000982850791,0.6621289713618655,0.7456213698411981,10,Intermediate (0.60–0.75),NPM3,Nucleus,#3E6F9C
field_holdout_sanity,Field,oxidative_stress_cellrox_live-cell_dye,0.6254525619869431,0.6194477216651042,0.6329549488611519,10,Intermediate (0.60–0.75),CellROX live-cell dye,Signaling,#7B6597
field_holdout_sanity,Field,p21,0.5056495690842469,0.4949636815488338,0.5137907552470764,10,Hard (<0.60),p21*,Signaling,#7B6597
field_holdout_sanity,Field,p53,0.4411170380127927,0.41305741882572566,0.44860804248601194,10,Hard (<0.60),p53*,Signaling,#7B6597
field_holdout_sanity,Field,peroxisome_peroxi_spy650_live_cell_dye,0.7431798908238609,0.7095927272302409,0.7637124719098211,10,Intermediate (0.60–0.75),Peroxi_SPY650 live cell dye,Peroxisome,#D56C75
field_holdout_sanity,Field,plasma_membrane_atp1b3,0.6609284587825338,0.6438186222997804,0.6678437089857956,10,Intermediate (0.60–0.75),ATP1B3,Plasma Membrane,#9C8C72
field_holdout_sanity,Field,plasma_membrane_slc3a2,0.8851629294455051,0.8839526336640119,0.8898700618495544,10,Readable (≥0.75),SLC3A2,Plasma Membrane,#9C8C72
field_holdout_sanity,Field,plasma_membrane_wga,0.6683984223339292,0.6386252153457866,0.675970804794795,10,Intermediate (0.60–0.75),WGA*,Plasma Membrane,#9C8C72
field_holdout_sanity,Field,prb,0.4162977550978151,0.4030895921836296,0.4704530073453982,10,Hard (<0.60),pRb*,Signaling,#7B6597
field_holdout_sanity,Field,proteasome_psmb7,0.5132790093620618,0.4928549170300054,0.5212585124963274,10,Hard (<0.60),PSMB7,Stress/PQC,#CC79A7
field_holdout_sanity,Field,ps6,0.5579764489845063,0.5009590413227124,0.566012030078952,10,Hard (<0.60),pS6*,Signaling,#7B6597
field_holdout_sanity,Field,recycling_endosome_tfrc,0.8178502604365349,0.805077600106597,0.8332307813689113,10,Readable (≥0.75),TFRC,Endosome,#C6A16A
field_holdout_sanity,Field,stress_granule_g3bp1,0.9024642951786518,0.8957432871684432,0.9083815313875675,10,Readable (≥0.75),G3BP1,Stress/PQC,#CC79A7
field_holdout_sanity,Field,trans-golgi_vamp3,0.625759382856389,0.5978636753745377,0.6314987656970819,10,Intermediate (0.60–0.75),VAMP3,ER/Golgi,#4F9A70
gene_holdout_main,Gene,5xupre,0.7441053985059262,0.7408209896087646,0.7490266735851765,10,Intermediate (0.60–0.75),5xUPRE,Stress/PQC,#CC79A7
gene_holdout_main,Gene,actin_filament_fastact_spy555_live_cell_dye,0.9096364724139372,0.904576336281995,0.9173740795503061,10,Readable (≥0.75),FastAct_SPY555 Live Cell Dye,Cytoskeleton,#4FA7B8
gene_holdout_main,Gene,autophagosome_atg101,0.7028304977342487,0.676445413256685,0.7112052418291568,10,Intermediate (0.60–0.75),ATG101,Lysosome,#E8943A
gene_holdout_main,Gene,autophagosome_map1lc3b,0.889691340426604,0.8146069689343374,0.8974074385439357,10,Readable (≥0.75),MAP1LC3B,Lysosome,#E8943A
gene_holdout_main,Gene,b-catenin,0.5556902340302865,0.5022781746981975,0.5607073326191555,10,Hard (<0.60),b-catenin*,Signaling,#7B6597
gene_holdout_main,Gene,c-myc,0.5492729490498702,0.5320675969993075,0.5576327691723904,10,Hard (<0.60),c-Myc*,Signaling,#7B6597
gene_holdout_main,Gene,caspase_activity_cellevent-caspase_live-cell_dye,0.5755442526589225,0.5086362968916849,0.5868077847873792,10,Hard (<0.60),CellEvent-Caspase live-cell dye,Stress/PQC,#CC79A7
gene_holdout_main,Gene,cell_proliferation_marker_mki67,0.6683644772817692,0.6546911027592917,0.6887414747849108,10,Intermediate (0.60–0.75),MKI67*,Nucleus,#3E6F9C
gene_holdout_main,Gene,chaperones_hspa1b,0.8219783624013265,0.8180346062406897,0.8268207647527258,10,Readable (≥0.75),HSPA1B,Stress/PQC,#CC79A7
gene_holdout_main,Gene,chromalive_488_excitation,0.765586062396566,0.7334745656078061,0.7714992854123315,10,Readable (≥0.75),ChromaLIVE 488 excitation,Mitochondria,#C85A3C
gene_holdout_main,Gene,chromatin_h2bc21,0.757968520745635,0.7294836614901821,0.7722719497357806,10,Readable (≥0.75),H2BC21,Nucleus,#3E6F9C
gene_holdout_main,Gene,clathrin_vesicles_clta,0.9066772521783909,0.9027985197802385,0.9154031493390601,10,Readable (≥0.75),CLTA,Lysosome,#E8943A
