unit,split,entity_id,rank_low_to_high,rank_percentile,consensus_ko_pearson,q25,q75,difficulty
Reporter,Field,prb,1,0.0,0.4162977550978151,0.4030895921836296,0.4704530073453982,Hard (<0.60)
Reporter,Field,p53,2,1.9607843137254901,0.4411170380127927,0.4130574188257256,0.4486080424860119,Hard (<0.60)
Reporter,Field,nucleoli_npm1,3,3.9215686274509802,0.4764506484899256,0.4339645627886056,0.483449163339618,Hard (<0.60)
Reporter,Field,c-myc,4,5.88235294117647,0.4987877166643739,0.4849264669169981,0.5097949931025505,Hard (<0.60)
Reporter,Field,p21,5,7.8431372549019605,0.5056495690842469,0.4949636815488338,0.5137907552470764,Hard (<0.60)
Reporter,Field,proteasome_psmb7,6,9.80392156862745,0.5132790093620618,0.4928549170300054,0.5212585124963274,Hard (<0.60)
Reporter,Field,b-catenin,7,11.76470588235294,0.5188180790965755,0.4684423170452161,0.5232395219352717,Hard (<0.60)
Reporter,Field,caspase_activity_cellevent-caspase_live-cell_dye,8,13.72549019607843,0.5379191406381627,0.4749267760766087,0.5432045907713472,Hard (<0.60)
Reporter,Field,ps6,9,15.686274509803921,0.5579764489845063,0.5009590413227124,0.566012030078952,Hard (<0.60)
Reporter,Field,er_ncln,10,17.64705882352941,0.570571902487427,0.5572679216973484,0.5770305798389017,Hard (<0.60)
Reporter,Field,mitochondria_tomm20,11,19.6078431372549,0.5951888979309136,0.5643029912167953,0.6029522235919204,Hard (<0.60)
Reporter,Field,er_cona,12,21.56862745098039,0.6199518177244399,0.5882625140974092,0.6267449509869847,Intermediate (0.60–0.75)
Reporter,Field,cell_proliferation_marker_mki67,13,23.52941176470588,0.624722146615386,0.6042413239056865,0.6341481429835161,Intermediate (0.60–0.75)
Reporter,Field,oxidative_stress_cellrox_live-cell_dye,14,25.49019607843137,0.6254525619869431,0.6194477216651042,0.6329549488611519,Intermediate (0.60–0.75)
Reporter,Field,trans-golgi_vamp3,15,27.45098039215686,0.625759382856389,0.5978636753745377,0.6314987656970819,Intermediate (0.60–0.75)
Reporter,Field,autophagosome_atg101,16,29.41176470588235,0.6373124998062849,0.6088305574220916,0.6443984945925574,Intermediate (0.60–0.75)
Reporter,Field,microtubules_tubulin,17,31.372549019607842,0.6387486072257161,0.6050938989035786,0.6461108091701236,Intermediate (0.60–0.75)
Reporter,Field,f-actin_phalloidin,18,33.33333333333333,0.6582754052761528,0.6270506032018198,0.6662041124991245,Intermediate (0.60–0.75)
Reporter,Field,plasma_membrane_atp1b3,19,35.29411764705882,0.6609284587825338,0.6438186222997804,0.6678437089857956,Intermediate (0.60–0.75)
Reporter,Field,plasma_membrane_wga,20,37.25490196078431,0.6683984223339292,0.6386252153457866,0.675970804794795,Intermediate (0.60–0.75)
Reporter,Field,mitochondria_tomm70a,21,39.2156862745098,0.6759884233276048,0.6656739868223667,0.6855826119581859,Intermediate (0.60–0.75)
Reporter,Field,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,22,41.17647058823529,0.6763323400169611,0.6588579730751614,0.6888095691179236,Intermediate (0.60–0.75)
Reporter,Field,lipid_droplet_plin2,23,43.13725490196078,0.676765742401282,0.6647079519617061,0.6813310437835752,Intermediate (0.60–0.75)
Reporter,Field,chromatin_h2bc21,24,45.09803921568627,0.6814348686486482,0.6585716769099235,0.6941733120630185,Intermediate (0.60–0.75)
Reporter,Field,nuclei_hoechst,25,47.05882352941176,0.6957462410628795,0.6789327946056922,0.7125332527856032,Intermediate (0.60–0.75)
Reporter,Field,lysosome_lamp1,26,49.01960784313725,0.6980090825508038,0.6820655705407263,0.7055953898156683,Intermediate (0.60–0.75)
Reporter,Field,chromalive_488_excitation,27,50.98039215686274,0.6984138523538908,0.6719996383103233,0.7095305449018876,Intermediate (0.60–0.75)
Reporter,Field,5xupre,28,52.94117647058823,0.70341640740633,0.6989355605095625,0.7071260246634483,Intermediate (0.60–0.75)
Reporter,Field,nuclei_nucleolive_live_cell_dye,29,54.90196078431372,0.7112641281758746,0.612963619424651,0.7281693229451776,Intermediate (0.60–0.75)
Reporter,Field,nucleolus-dfc_fbl,30,56.86274509803921,0.716385401537021,0.6843882965234419,0.7323347559198737,Intermediate (0.60–0.75)
Reporter,Field,mitochondria_chromalive_561_excitation,31,58.8235294117647,0.7225716152538856,0.7152020034690698,0.7414002647002539,Intermediate (0.60–0.75)
Reporter,Field,nucleolus-gc_npm3,32,60.78431372549019,0.7428000982850791,0.6621289713618655,0.7456213698411981,Intermediate (0.60–0.75)
Reporter,Field,peroxisome_peroxi_spy650_live_cell_dye,33,62.745098039215684,0.7431798908238609,0.7095927272302409,0.7637124719098211,Intermediate (0.60–0.75)
Reporter,Field,microtubules_map4,34,64.70588235294117,0.75613337593774,0.71959108132869,0.7614748507738114,Readable (≥0.75)
Reporter,Field,er_golgi_bridge_vapa,35,66.66666666666666,0.7636038941020766,0.7385193419332305,0.7745660079332689,Readable (≥0.75)
