display_order,reporter_slug,scientific_utility_index,magnitude_spearman,top5pct_recall,go_bp_top10_jaccard,go_cc_top10_jaccard,ebi_complex_top10_jaccard,short_name,biological_category,substitutability_tier,selected_label
36,mitochondria_tomm20,0.3629807692307692,0.7201066441066442,0.52,0.25,0.1111111111111111,1.0,TOMM20,Mitochondria,ranking_proxy,False
37,microtubules_map4,0.2980769230769231,0.6780510060510061,0.66,0.4285714285714285,0.4285714285714285,0.5384615384615384,MAP4,Cytoskeleton,unresolved,False
38,p53,0.2932692307692308,0.6648243888243889,0.4,0.4285714285714285,0.5384615384615384,0.6666666666666666,p53,Signaling,measurement_required,True
39,er_ncln,0.2764423076923077,0.7536111576111576,0.58,0.5384615384615384,0.3333333333333333,0.5384615384615384,NCLN,ER/Golgi,ranking_proxy,False
40,nucleoli_npm1,0.2740384615384615,0.4887014367014367,0.42,0.5384615384615384,0.6666666666666666,0.1764705882352941,NPM1,Nucleus,not_identifiable,False
41,proteasome_psmb7,0.2716346153846153,0.8499032139032139,0.78,0.25,0.1764705882352941,0.5384615384615384,PSMB7,Stress/PQC,ranking_proxy,False
42,microtubules_tubulin,0.2692307692307692,0.7399994599994602,0.6,0.1764705882352941,0.25,0.6666666666666666,Tubulin,Cytoskeleton,not_identifiable,False
43,endosome_vps35,0.2475961538461538,0.84987312987313,0.7,0.0,0.1764705882352941,0.6666666666666666,VPS35,Endosome,quantitative_proxy,False
44,plasma_membrane_wga,0.2307692307692307,0.7645170085170087,0.6,0.0,0.25,0.6666666666666666,WGA,Plasma Membrane,not_identifiable,False
45,f-actin_phalloidin,0.2019230769230769,0.7647367407367408,0.62,0.0,0.3333333333333333,0.5384615384615384,Phalloidin,Cytoskeleton,quantitative_proxy,False
46,er_cona,0.173076923076923,0.7217280977280978,0.56,0.1111111111111111,0.3333333333333333,0.4285714285714285,ConA,ER/Golgi,not_identifiable,False
47,b-catenin,0.1586538461538461,0.6645843525843527,0.5,0.0,0.3333333333333333,0.5384615384615384,b-catenin,Signaling,not_identifiable,False
48,nuclei_hoechst,0.141826923076923,0.670925242925243,0.52,0.0,0.1764705882352941,0.5384615384615384,Hoechst,Nucleus,not_identifiable,False
49,ps6,0.1081730769230769,0.6643925683925684,0.28,0.0526315789473684,0.1111111111111111,0.5384615384615384,pS6,Signaling,measurement_required,False
50,lipid_droplet_plin2,0.09375,0.5638696318696319,0.44,0.1111111111111111,0.0,0.4285714285714285,PLIN2,Lysosome,unresolved,False
51,caspase_activity_cellevent-caspase_live-cell_dye,0.0889423076923076,0.5789962469962471,0.42,0.0526315789473684,0.1111111111111111,0.4285714285714285,CellEvent-Caspase live-cell dye,Stress/PQC,measurement_required,False
52,c-myc,0.0841346153846153,0.6272016392016392,0.5,0.0,0.1111111111111111,0.4285714285714285,c-Myc,Signaling,not_identifiable,False
