reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
late_endosome_rab7a,RAB7A,checkpoint_average,coherent_median_ensemble,common_control,0.9199228804921062,0.5437250794222616,0.9536693216693218,0.8287993930605021,0.96,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
late_endosome_rab7a,RAB7A,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9199228804921062,0.5437250794222616,0.9465020985020985,0.8226625574780446,0.94,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,checkpoint_average,coherent_median_ensemble,common_control,0.9186551056294157,0.4815571491092879,0.9713158073158075,0.9340087217490141,0.94,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9186551056294157,0.4815571491092879,0.9673620193620195,0.9366398537243336,0.94,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
plasma_membrane_slc3a2,SLC3A2,checkpoint_average,coherent_median_ensemble,common_control,0.9125596810075851,0.4535912492305982,0.9344774504774507,0.899970756179903,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
plasma_membrane_slc3a2,SLC3A2,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9125596810075851,0.4535912492305982,0.9349104589104589,0.9078363529296685,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
clathrin_vesicles_clta,CLTA,checkpoint_average,coherent_median_ensemble,common_control,0.9145526433041555,0.5686643877978657,0.9554859914859913,0.985584518519466,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
clathrin_vesicles_clta,CLTA,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9145526433041555,0.5686643877978657,0.9473652353652354,1.012409952033208,0.92,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
autophagosome_map1lc3b,MAP1LC3B,checkpoint_average,coherent_median_ensemble,common_control,0.9001608299252496,0.4661954595673966,0.9305271065271066,0.9347263774201356,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
autophagosome_map1lc3b,MAP1LC3B,checkpoint_average,coherent_median_ensemble,fold_standardized,0.9001608299252496,0.4661954595673966,0.9181452661452663,0.9309694178127517,0.8,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
