reporter_slug,reporter_short_name,biological_category_x,destination_screen,n_source_screens,n_source_control_cells,n_destination_control_cells,n_common_genes,phase_ntc_shift_rms_smd,phase_ntc_shift_median_abs_smd,phase_ntc_shift_p90_abs_smd,phenotype_ntc_shift_rms_smd,phenotype_ntc_shift_median_abs_smd,true_ko_response_rms_shift,true_ko_profile_cross_screen_pearson,true_ko_magnitude_cross_screen_spearman,consensus10_strict_gene_pearson,consensus10_strict_magnitude_spearman,consensus10_strict_cell_pearson,consensus10_gene_holdout_pearson,consensus10_gene_holdout_cell_pearson,short_name,biological_category_y,consensus10_screen_penalty_gene,consensus10_screen_penalty_cell,statistical_unit,inference_cluster,consensus_aggregation,gene_minus_strict_screen_pearson
5xupre,5xUPRE,Stress/PQC,Biohub_OPS0001,5,7994,2911,1000,0.3262829680719803,0.2533344378011717,0.5178901959716645,0.0888673980811338,0.0807047165775933,0.1619968170598312,0.3258698746456929,0.3306446106446106,0.78638836145401,0.7867109107109107,0.6816665902733803,0.7441053985059262,0.6852997669577598,5xUPRE,Stress/PQC,0.0422829629480838,-0.0036331766843795,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.0422829629480838
5xupre,5xUPRE,Stress/PQC,Biohub_OPS0005,5,8707,2198,1000,0.0495340281448296,0.037043526333612,0.076348552108702,0.0430386698774052,0.0329766272743923,0.1756837237685155,0.2922828806469955,0.2886851406851407,0.7781560339033604,0.744981288981289,0.6788049429655074,0.7441053985059262,0.6852997669577598,5xUPRE,Stress/PQC,0.0340506353974342,-0.0064948239922524,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.0340506353974342
5xupre,5xUPRE,Stress/PQC,Biohub_OPS0006,5,8646,2259,1000,0.2569102473149096,0.2269426929969689,0.4348231476903784,0.2445448073898356,0.2136557442922096,0.169122175981063,0.2696987877336102,0.2374017214017214,0.7539705835282802,0.7093777873777873,0.6716093853116035,0.7441053985059262,0.6852997669577598,5xUPRE,Stress/PQC,0.009865185022354,-0.0136903816461563,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.009865185022354
5xupre,5xUPRE,Stress/PQC,Biohub_OPS0007,5,10156,749,1000,0.2038133300221924,0.1328805115580602,0.3604272000861857,0.1952694201114682,0.1688239179108029,0.3051226450990287,0.1936843718620263,0.1763861363861364,0.7097535341978074,0.755059727059727,0.6823485270142555,0.7441053985059262,0.6852997669577598,5xUPRE,Stress/PQC,-0.0343518643081187,-0.0029512399435043,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0343518643081187
5xupre,5xUPRE,Stress/PQC,Biohub_OPS0008,5,9206,1699,1000,0.1841795669816605,0.0944676261409994,0.1943291503521234,0.0428203839337251,0.0416089685204825,0.1909391360858357,0.2666577507796664,0.2225248745248745,0.7534272700548172,0.733942963942964,0.6898351460695267,0.7441053985059262,0.6852997669577598,5xUPRE,Stress/PQC,0.009321871548891,0.0045353791117668,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.009321871548891
5xupre,5xUPRE,Stress/PQC,Biohub_OPS0009,5,9816,1089,1000,0.2111645464930553,0.1935561604731883,0.3144797877044717,0.2542531384333426,0.2510632331482992,0.249612520168935,0.1922099037588942,0.15406627006627,0.741415198147297,0.6746746826746827,0.6925266794860363,0.7441053985059262,0.6852997669577598,5xUPRE,Stress/PQC,-0.0026902003586292,0.0072269125282764,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0026902003586292
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,Biohub_OPS0033,4,18059,7776,1000,0.544526066705311,0.3986516961166329,0.8227742988347395,0.7300505629379261,0.6093444708900669,0.1252186116403463,0.2777644199471262,0.4246989166989167,0.9132349422822396,0.893100893100893,0.8403450890133779,0.9096364724139372,0.8888243601967891,FastAct_SPY555 Live Cell Dye,Cytoskeleton,0.0035984698683024,-0.0484792711834112,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.0035984698683024
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,Biohub_OPS0065,4,20000,4653,1000,0.169431632904119,0.1040905860724801,0.2692160945681472,0.2163842212381315,0.1663314059727314,0.1161982930405656,0.3086301475199031,0.3286291846291846,0.8891118677953879,0.8883733863733864,0.846878057345748,0.9096364724139372,0.8888243601967891,FastAct_SPY555 Live Cell Dye,Cytoskeleton,-0.0205246046185493,-0.0419463028510411,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0205246046185493
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,Biohub_OPS0072,4,20000,5689,1000,0.6382878029645443,0.1922964754167856,1.3694726627046565,1.1672049245227525,0.4843654783182824,0.2079018579750751,0.4192165172069565,0.3642524442524443,0.9082053881138562,0.9236049236049236,0.863715539375941,0.9096364724139372,0.8888243601967891,FastAct_SPY555 Live Cell Dye,Cytoskeleton,-0.0014310843000809,-0.025108820820848,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0014310843000809
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,Biohub_OPS0074,4,20000,5220,1000,0.2342121797281505,0.1007045637750554,0.4815779823447204,0.1397185418150473,0.1139015945624108,0.1071477758432379,0.4830184922013974,0.3821004461004461,0.8992468838890393,0.9223590403590404,0.8520312029868364,0.9096364724139372,0.8888243601967891,FastAct_SPY555 Live Cell Dye,Cytoskeleton,-0.0103895885248979,-0.0367931572099526,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0103895885248979
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,Biohub_OPS0076,4,20000,2497,1000,0.3137625274989387,0.139847305564757,0.5978727554286033,0.4929036412372599,0.3955201441256566,0.1103413339755771,0.394593837940922,0.3771274611274611,0.8513300462315481,0.8666996606996606,0.8155470782270035,0.9096364724139372,0.8888243601967891,FastAct_SPY555 Live Cell Dye,Cytoskeleton,-0.0583064261823891,-0.0732772819697856,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0583064261823891
autophagosome_atg101,ATG101,Lysosome,Biohub_OPS0031,1,2825,3829,1000,0.7465175450771893,0.3527390897732915,1.5438960325370643,0.8399916603431359,0.6090283860897551,0.2121890024325086,0.1309115268732477,0.2346129306129306,0.7229415097584326,0.6678108318108318,0.5925252325832844,0.7028304977342487,0.6487031785771251,ATG101,Lysosome,0.0201110120241839,-0.0561779459938407,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,-0.0201110120241839
autophagosome_atg101,ATG101,Lysosome,Biohub_OPS0054,1,3829,2825,1000,0.6840367862421158,0.4600208401987634,1.2886493218056825,0.7348767651172413,0.5014807042765361,0.1918061733354458,0.1268638749871118,0.2317081477081477,0.690906960517168,0.6564811764811764,0.5791203286498785,0.7028304977342487,0.6487031785771251,ATG101,Lysosome,-0.0119235372170806,-0.0695828499272466,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0119235372170806
autophagosome_map1lc3b,MAP1LC3B,Lysosome,Biohub_OPS0016,2,11281,5363,1000,0.4233490790119734,0.1787170733945133,0.8035152117362238,0.631988161078306,0.606593170990704,0.1192062758771206,0.1844229635959956,0.2229611589611589,0.6784491299962003,0.5033512673512673,0.6174662650252383,0.889691340426604,0.8836353864520787,MAP1LC3B,Lysosome,-0.2112422104304037,-0.2661691214268404,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.2112422104304037
autophagosome_map1lc3b,MAP1LC3B,Lysosome,Biohub_OPS0017,2,11045,5599,1000,0.4334040668779483,0.117229698692638,0.8058026827321402,0.681225855576616,0.6919754279348923,0.1104256106286396,0.2978302215935259,0.2297273657273657,0.6846310732265313,0.5641419661419662,0.5992965176701546,0.889691340426604,0.8836353864520787,MAP1LC3B,Lysosome,-0.2050602672000727,-0.2843388687819241,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.2050602672000727
autophagosome_map1lc3b,MAP1LC3B,Lysosome,Biohub_OPS0040,2,10962,5682,1000,2.7828995592119403,0.2621726672498627,5.950035503165464,4.380417901743864,3.461563496111708,0.7720526456628402,0.3373237608112813,0.354950970950971,0.7339980508356045,0.6107802047802048,0.6762949257002522,0.889691340426604,0.8836353864520787,MAP1LC3B,Lysosome,-0.1556932895909994,-0.2073404607518265,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.1556932895909994
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Stress/PQC,Biohub_OPS0050,1,2260,4766,1000,0.2386694254578191,0.1513174037630238,0.3734395375761472,0.2021544727413409,0.1230612456879527,0.2436538777660407,0.1069368089513711,0.0831455031455031,0.5623491830192506,0.6003669483669484,0.4952385857080419,0.5755442526589225,0.5309765861059229,CellEvent-Caspase live-cell dye,Stress/PQC,-0.0131950696396718,-0.035738000397881,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0131950696396718
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Stress/PQC,Biohub_OPS0073,1,4766,2260,1000,0.6910028913780702,0.1659213053309796,0.4038875741916197,0.1569723165283651,0.1403004087817579,0.212909593916436,0.1266880461018161,0.1148625428625428,0.5395899851185579,0.4344548364548364,0.4853772609494626,0.5755442526589225,0.5309765861059229,CellEvent-Caspase live-cell dye,Stress/PQC,-0.0359542675403645,-0.0455993251564603,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0359542675403645
cell_proliferation_marker_mki67,MKI67*,Nucleus,Biohub_OPS0045,1,2109,3708,1000,127.78619686175917,0.15014144561062,6.136501050134483,2.561607172363669,1.5611756889477426,0.2890743825564084,0.0666589735268045,0.2009096729096729,0.5436262895042697,0.5188316548316548,0.496278813884904,0.6683644772817692,0.7243373315781355,MKI67*,Nucleus,-0.1247381877774994,-0.2280585176932315,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.1247381877774994
cell_proliferation_marker_mki67,MKI67*,Nucleus,Biohub_OPS0057,1,3708,2109,1000,1.8853895297132308,0.1396570771639798,3.7853578383188062,2.063628598113468,0.9611988360058604,0.23420258336176,0.0466922613518862,0.2119558279558279,0.5641398479541143,0.5137677457677458,0.5529954188192885,0.6683644772817692,0.7243373315781355,MKI67*,Nucleus,-0.1042246293276548,-0.171341912758847,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.1042246293276548
chaperones_hspa1b,HSPA1B,Stress/PQC,Biohub_OPS0028,1,5037,2957,1000,0.9287305285620544,0.2037061181192229,1.9928088887637616,1.2345783650678397,0.7768967274753535,0.1436190476544635,0.179868948805925,0.1415431895431895,0.8148920262853305,0.6773219753219754,0.7405349891632795,0.8219783624013265,0.7886588118970395,HSPA1B,Stress/PQC,-0.0070863361159959,-0.0481238227337599,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0070863361159959
chaperones_hspa1b,HSPA1B,Stress/PQC,Biohub_OPS0072,1,2957,5037,1000,1.7573222599646678,0.2625284268307148,2.9801196712366385,2.120401014905777,2.0607681905570208,0.3017607061613094,0.2103235741072674,0.1636441156441156,0.71668716147542,0.5668151248151247,0.5955396198357146,0.8219783624013265,0.7886588118970395,HSPA1B,Stress/PQC,-0.1052912009259064,-0.1931191920613248,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.1052912009259064
chromalive_488_excitation,ChromaLIVE 488 excitation,Mitochondria,Biohub_OPS0002,1,6666,2288,1000,0.4321898826427126,0.1767469973489429,0.7113058312128129,2.424609705307659,0.761963962671492,0.7620828894266436,0.3368298361064231,0.2472784032784032,0.6403458146378398,0.4643112743112743,0.594391729682684,0.765586062396566,0.7601024006803832,ChromaLIVE 488 excitation,Mitochondria,-0.1252402477587262,-0.1657106709976992,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.1252402477587262
chromalive_488_excitation,ChromaLIVE 488 excitation,Mitochondria,Biohub_OPS0051,1,2288,6666,1000,0.3523959713864262,0.166836595275025,0.6200567139355504,1.7771229897067906,1.1111850770897007,0.3511118392516354,0.2786933078530069,0.1876155076155076,0.6887106969952583,0.6597629757629757,0.5933987237513065,0.765586062396566,0.7601024006803832,ChromaLIVE 488 excitation,Mitochondria,-0.0768753654013076,-0.1667036769290766,directed_reporter_destination_screen,reporter_slug,unweighted_median_10_models,0.0768753654013076
