method_id,split,reporter_slug,metric,legacy_partition_median,corrected_partition_mean,n_partitions,mean_minus_legacy_median
catboost_multirmse,field_holdout_sanity,peroxisome_peroxi_spy650_live_cell_dye,gene_macro_feature_pearson,0.7681678781906763,0.7676395252346992,5,-0.000528352955977085
catboost_multirmse,field_holdout_sanity,plasma_membrane_atp1b3,gene_macro_feature_pearson,0.6563830226659775,0.656593977039059,5,0.00021095437308149556
catboost_multirmse,field_holdout_sanity,plasma_membrane_slc3a2,gene_macro_feature_pearson,0.8816148340702057,0.8836989338199297,5,0.002084099749724011
catboost_multirmse,field_holdout_sanity,plasma_membrane_wga,gene_macro_feature_pearson,0.6710486263036728,0.6709137878484196,5,-0.0001348384552531945
catboost_multirmse,field_holdout_sanity,prb,gene_macro_feature_pearson,0.4106728742520014,0.4223143929739793,5,0.01164151872197794
catboost_multirmse,field_holdout_sanity,proteasome_psmb7,gene_macro_feature_pearson,0.5065085032644371,0.5071096620211999,5,0.0006011587567628096
catboost_multirmse,field_holdout_sanity,ps6,gene_macro_feature_pearson,0.5554288321485122,0.5570375604213526,5,0.0016087282728403096
catboost_multirmse,field_holdout_sanity,recycling_endosome_tfrc,gene_macro_feature_pearson,0.8187917172908783,0.8196666985750198,5,0.0008749812841415405
catboost_multirmse,field_holdout_sanity,stress_granule_g3bp1,gene_macro_feature_pearson,0.9021807188789048,0.9005004465579987,5,-0.0016802723209061732
catboost_multirmse,field_holdout_sanity,trans-golgi_vamp3,gene_macro_feature_pearson,0.6288743975261847,0.631146337216099,5,0.0022719396899143485
catboost_multirmse,gene_holdout_main,5xupre,gene_macro_feature_pearson,0.7410239025950431,0.7433959648013115,5,0.0023720622062683994
catboost_multirmse,gene_holdout_main,actin_filament_fastact_spy555_live_cell_dye,gene_macro_feature_pearson,0.9076213439305624,0.9089513582487901,5,0.001330014318227768
catboost_multirmse,gene_holdout_main,autophagosome_atg101,gene_macro_feature_pearson,0.679748373106122,0.7041879372050365,5,0.024439564098914457
catboost_multirmse,gene_holdout_main,autophagosome_map1lc3b,gene_macro_feature_pearson,0.894645002981027,0.8951330972214541,5,0.0004880942404270616
catboost_multirmse,gene_holdout_main,b-catenin,gene_macro_feature_pearson,0.565275160719951,0.5613137228786945,5,-0.0039614378412564655
catboost_multirmse,gene_holdout_main,c-myc,gene_macro_feature_pearson,0.5422919606169064,0.5588747488458952,5,0.016582788228988732
catboost_multirmse,gene_holdout_main,caspase_activity_cellevent-caspase_live-cell_dye,gene_macro_feature_pearson,0.59837263263762,0.5931642334306767,5,-0.0052083992069432705
catboost_multirmse,gene_holdout_main,cell_proliferation_marker_mki67,gene_macro_feature_pearson,0.6917477895816168,0.6914825342595577,5,-0.00026525532205901037
catboost_multirmse,gene_holdout_main,chaperones_hspa1b,gene_macro_feature_pearson,0.8178844923774401,0.8219408864776293,5,0.004056394100189209
catboost_multirmse,gene_holdout_main,chromalive_488_excitation,gene_macro_feature_pearson,0.7312115083138148,0.7352123362322649,5,0.004000827918450134
catboost_multirmse,gene_holdout_main,chromatin_h2bc21,gene_macro_feature_pearson,0.7574557662010193,0.754556168615818,5,-0.002899597585201308
