reporter_slug,short_name,biological_category_y,n_directions,minimum,median,maximum,metric,metric_label,range,status,reporter_order,display_label
autophagosome_atg101,ATG101,Lysosome,2,0.690906960517168,0.7069242351378003,0.7229415097584326,consensus10_strict_gene_pearson,Recovery across screens,0.03203454924126459,crosses_gate,16,ATG101
autophagosome_atg101,ATG101,Lysosome,2,0.6564811764811764,0.6621460041460041,0.6678108318108318,consensus10_strict_magnitude_spearman,Rank across screens,0.011329655329655353,stable_below,16,ATG101
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxisome,2,0.6147565112138788,0.6524992068298161,0.6902419024457533,consensus10_strict_gene_pearson,Recovery across screens,0.07548539123187459,stable_below,17,Peroxi-SPY650
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxisome,2,0.6543299403299403,0.7144673854673854,0.7746048306048305,consensus10_strict_magnitude_spearman,Rank across screens,0.12027489027489024,crosses_gate,17,Peroxi-SPY650
endosome_vps35,VPS35,Endosome,2,0.730993963778019,0.7654445335889856,0.7998951033999522,consensus10_strict_gene_pearson,Recovery across screens,0.06890113962193323,stable_above,18,VPS35
endosome_vps35,VPS35,Endosome,2,0.4394320694320693,0.5836971556971556,0.727962241962242,consensus10_strict_magnitude_spearman,Rank across screens,0.2885301725301727,crosses_gate,18,VPS35
nucleolus-gc_npm3,NPM3,Nucleus,2,0.6736511383205652,0.693603549269028,0.7135559602174908,consensus10_strict_gene_pearson,Recovery across screens,0.03990482189692557,crosses_gate,19,NPM3
nucleolus-gc_npm3,NPM3,Nucleus,2,0.5455328875328875,0.6186343866343866,0.6917358857358857,consensus10_strict_magnitude_spearman,Rank across screens,0.1462029982029982,stable_below,19,NPM3
autophagosome_map1lc3b,MAP1LC3B,Lysosome,3,0.6784491299962003,0.6846310732265313,0.7339980508356045,consensus10_strict_gene_pearson,Recovery across screens,0.055548920839404214,crosses_gate,20,MAP1LC3B
autophagosome_map1lc3b,MAP1LC3B,Lysosome,3,0.5033512673512673,0.5641419661419662,0.6107802047802048,consensus10_strict_magnitude_spearman,Rank across screens,0.10742893742893744,stable_below,20,MAP1LC3B
nuclear_speckles_srrm2,SRRM2,Nucleus,2,0.6105499522139628,0.635221740269723,0.6598935283254832,consensus10_strict_gene_pearson,Recovery across screens,0.049343576111520404,stable_below,21,SRRM2
nuclear_speckles_srrm2,SRRM2,Nucleus,2,0.4726394880574065,0.612075258784218,0.7515110295110294,consensus10_strict_magnitude_spearman,Rank across screens,0.2788715414536229,crosses_gate,21,SRRM2
chromalive_488_excitation,ChromaLIVE 488 excitation,Mitochondria,2,0.6403458146378398,0.6645282558165491,0.6887106969952583,consensus10_strict_gene_pearson,Recovery across screens,0.04836488235741854,stable_below,22,ChromaLIVE 488
