reporter_slug,short_name,display_label,biological_category,destination_screen,display_screen,metric,metric_label,value,reporter_order,status
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,FastAct-SPY555,Cytoskeleton,Biohub_OPS0076,OPS0076,consensus10_strict_magnitude_spearman,Rank across screens,0.8666996606996606,6,stable_above
recycling_endosome_tfrc,TFRC,TFRC,Endosome,Biohub_OPS0027,OPS0027,consensus10_strict_gene_pearson,Recovery across screens,0.8283504365632932,7,stable_above
recycling_endosome_tfrc,TFRC,TFRC,Endosome,Biohub_OPS0060,OPS0060,consensus10_strict_gene_pearson,Recovery across screens,0.8744581596304973,7,stable_above
recycling_endosome_tfrc,TFRC,TFRC,Endosome,Biohub_OPS0027,OPS0027,consensus10_strict_magnitude_spearman,Rank across screens,0.9328050928050928,7,stable_above
recycling_endosome_tfrc,TFRC,TFRC,Endosome,Biohub_OPS0060,OPS0060,consensus10_strict_magnitude_spearman,Rank across screens,0.9048405948405948,7,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0001,OPS0001,consensus10_strict_gene_pearson,Recovery across screens,0.937248277167479,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0005,OPS0005,consensus10_strict_gene_pearson,Recovery across screens,0.8922984513143698,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0006,OPS0006,consensus10_strict_gene_pearson,Recovery across screens,0.7998452552904686,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0007,OPS0007,consensus10_strict_gene_pearson,Recovery across screens,0.7891836023579042,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0008,OPS0008,consensus10_strict_gene_pearson,Recovery across screens,0.8765254722287257,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0009,OPS0009,consensus10_strict_gene_pearson,Recovery across screens,0.8434317881862323,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0001,OPS0001,consensus10_strict_magnitude_spearman,Rank across screens,0.8006075666075667,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0005,OPS0005,consensus10_strict_magnitude_spearman,Rank across screens,0.8107889107889108,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0006,OPS0006,consensus10_strict_magnitude_spearman,Rank across screens,0.7668521201526766,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0007,OPS0007,consensus10_strict_magnitude_spearman,Rank across screens,0.7354520254520255,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0008,OPS0008,consensus10_strict_magnitude_spearman,Rank across screens,0.8058521742697309,8,stable_above
er_sec61b,SEC61B,SEC61B,ER/Golgi,Biohub_OPS0009,OPS0009,consensus10_strict_magnitude_spearman,Rank across screens,0.7741667461667462,8,stable_above
er_golgi_bridge_vapa,VAPA,VAPA,ER/Golgi,Biohub_OPS0020,OPS0020,consensus10_strict_gene_pearson,Recovery across screens,0.8045435467114052,9,stable_above
er_golgi_bridge_vapa,VAPA,VAPA,ER/Golgi,Biohub_OPS0021,OPS0021,consensus10_strict_gene_pearson,Recovery across screens,0.8006095308810472,9,stable_above
er_golgi_bridge_vapa,VAPA,VAPA,ER/Golgi,Biohub_OPS0020,OPS0020,consensus10_strict_magnitude_spearman,Rank across screens,0.8813605013605014,9,stable_above
er_golgi_bridge_vapa,VAPA,VAPA,ER/Golgi,Biohub_OPS0021,OPS0021,consensus10_strict_magnitude_spearman,Rank across screens,0.7830850470850471,9,stable_above
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,ChromaLIVE 561,Mitochondria,Biohub_OPS0063,OPS0063,consensus10_strict_gene_pearson,Recovery across screens,0.7001154460012913,10,stable_above
