screen_id	screen_number	screen_group	n_reporter_targets	reporter_targets	figure_column
Biohub_OPS0075	75	Single-reporter	1	mitochondria_chromalive_561_excitation	41
Biohub_OPS0015	15	Single-reporter	1	mitochondria_tomm70a	42
Biohub_OPS0068	68	Single-reporter	1	mitochondria_tomm70a	43
Biohub_OPS0032	32	Single-reporter	1	plasma_membrane_atp1b3	44
Biohub_OPS0071	71	Single-reporter	1	plasma_membrane_atp1b3	45
Biohub_OPS0003	3	Single-reporter	1	plasma_membrane_slc3a2	46
Biohub_OPS0004	4	Single-reporter	1	plasma_membrane_slc3a2	47
Biohub_OPS0041	41	Single-reporter	1	nucleolus-dfc_fbl	48
Biohub_OPS0042	42	Single-reporter	1	nucleolus-gc_npm3	49
Biohub_OPS0058	58	Single-reporter	1	nucleolus-gc_npm3	50
Biohub_OPS0036	36	Single-reporter	1	nuclear_speckles_srrm2	51
Biohub_OPS0048	48	Single-reporter	1	oxidative_stress_cellrox_live-cell_dye	52
Biohub_OPS0047	47	Single-reporter	1	fe2+_ferhonox_live-cell_dye	53
Biohub_OPS0067	67	Single-reporter	1	fe2+_ferhonox_live-cell_dye	54
Biohub_OPS0053	53	Single-reporter	1	endocytic_vesicle_ph_phrodo-dextran_live_cell_dye	55
Biohub_OPS0065	65	Multi-reporter	2	actin_filament_fastact_spy555_live_cell_dye;lipid_droplet_plin2	56
Biohub_OPS0074	74	Multi-reporter	2	actin_filament_fastact_spy555_live_cell_dye;er_golgi_cope	57
Biohub_OPS0001	1	Multi-reporter	2	5xupre;er_sec61b	58
Biohub_OPS0005	5	Multi-reporter	2	5xupre;er_sec61b	59
Biohub_OPS0006	6	Multi-reporter	2	5xupre;er_sec61b	60
Biohub_OPS0007	7	Multi-reporter	2	5xupre;er_sec61b	61
Biohub_OPS0008	8	Multi-reporter	2	5xupre;er_sec61b	62
Biohub_OPS0009	9	Multi-reporter	2	5xupre;er_sec61b	63
Biohub_OPS0072	72	Multi-reporter	2	actin_filament_fastact_spy555_live_cell_dye;chaperones_hspa1b	64
Biohub_OPS0043	43	Multi-reporter	7	er_cona;f-actin_phalloidin;microtubules_tubulin;mitochondria_tomm20;nuclei_hoechst;nucleoli_npm1;plasma_membrane_wga	65
Biohub_OPS0045	45	Multi-reporter	2	cell_proliferation_marker_mki67;peroxisome_peroxi_spy650_live_cell_dye	66
Biohub_OPS0057	57	Multi-reporter	2	cell_proliferation_marker_mki67;peroxisome_peroxi_spy650_live_cell_dye	67
Biohub_OPS0062	62	Multi-reporter	2	nuclei_nucleolive_live_cell_dye;nucleolus-dfc_fbl	68
Biohub_OPS0061	61	Multi-reporter	2	nuclear_speckles_srrm2;nuclei_nucleolive_live_cell_dye	69
Biohub_OPS0069	69	Multi-reporter	2	chromatin_h2bc21;oxidative_stress_cellrox_live-cell_dye	70
Biohub_OPS0064	64	Multi-reporter	2	chromatin_h2bc21;endocytic_vesicle_ph_phrodo-dextran_live_cell_dye	71
Biohub_OPS0077	77	Multi-reporter	6	b-catenin;c-myc;p21;p53;prb;ps6	72
