row_key,quantity,replicate_kind,replicate_id,value
oasis:mtt_viability,recoverability_r,gene fold,0,0.8069997113123252
oasis:mtt_viability,recoverability_r,gene fold,1,0.8227241590308585
oasis:mtt_viability,recoverability_r,gene fold,2,0.8653606599960662
oasis:mtt_viability,recoverability_r,gene fold,3,0.8260944035613961
oasis:mtt_viability,recoverability_r,gene fold,4,0.8504553008732998
oasis:mtt_viability,magnitude_spearman,gene fold,0,0.6041505188442152
oasis:mtt_viability,magnitude_spearman,gene fold,1,0.5137837812445685
oasis:mtt_viability,magnitude_spearman,gene fold,2,0.6799736467537593
oasis:mtt_viability,magnitude_spearman,gene fold,3,0.5992932538508152
oasis:mtt_viability,magnitude_spearman,gene fold,4,0.6189231340163568
oasis:mtt_viability,variance_ratio,gene fold,0,0.6864953367983923
oasis:mtt_viability,variance_ratio,gene fold,1,1.201885713423415
oasis:mtt_viability,variance_ratio,gene fold,2,0.7742027997458811
oasis:mtt_viability,variance_ratio,gene fold,3,0.89703992643403
oasis:mtt_viability,variance_ratio,gene fold,4,1.003033532764525
oasis:mtt_viability,top5pct_recall,gene fold,0,0.5454545454545454
oasis:mtt_viability,top5pct_recall,gene fold,1,0.7272727272727273
oasis:mtt_viability,top5pct_recall,gene fold,2,0.9090909090909092
oasis:mtt_viability,top5pct_recall,gene fold,3,0.8181818181818182
oasis:mtt_viability,top5pct_recall,gene fold,4,0.7272727272727273
oasis:ldh_release,recoverability_r,gene fold,0,0.6913626861475632
oasis:ldh_release,recoverability_r,gene fold,1,0.6703210612939914
oasis:ldh_release,recoverability_r,gene fold,2,0.44852418837907887
oasis:ldh_release,recoverability_r,gene fold,3,0.6771649594201052
oasis:ldh_release,recoverability_r,gene fold,4,0.6451462324392637
oasis:ldh_release,magnitude_spearman,gene fold,0,0.6325800814554884
oasis:ldh_release,magnitude_spearman,gene fold,1,0.6886488441682286
oasis:ldh_release,magnitude_spearman,gene fold,2,0.7590932792175764
oasis:ldh_release,magnitude_spearman,gene fold,3,0.5344518195953532
oasis:ldh_release,magnitude_spearman,gene fold,4,0.6223817039886883
oasis:ldh_release,variance_ratio,gene fold,0,0.7360849367366954
oasis:ldh_release,variance_ratio,gene fold,1,0.9091279285989126
oasis:ldh_release,variance_ratio,gene fold,2,0.6746004905134219
oasis:ldh_release,variance_ratio,gene fold,3,0.9699564592491956
oasis:ldh_release,variance_ratio,gene fold,4,0.7321936637393641
oasis:ldh_release,top5pct_recall,gene fold,0,0.7272727272727273
oasis:ldh_release,top5pct_recall,gene fold,1,0.8181818181818182
oasis:ldh_release,top5pct_recall,gene fold,2,0.5454545454545454
oasis:ldh_release,top5pct_recall,gene fold,3,0.6363636363636364
oasis:ldh_release,top5pct_recall,gene fold,4,0.8181818181818182
periscope_cells:tomm20_mito,recoverability_r,gene fold,0,0.761929629433425
periscope_cells:tomm20_mito,recoverability_r,gene fold,1,0.7662321158684254
periscope_cells:tomm20_mito,recoverability_r,gene fold,2,0.758830326388038
periscope_cells:tomm20_mito,recoverability_r,gene fold,3,0.7602489189323185
periscope_cells:tomm20_mito,recoverability_r,gene fold,4,0.7597664147670482
periscope_cells:tomm20_mito,magnitude_spearman,gene fold,0,0.8495966977987586
periscope_cells:tomm20_mito,magnitude_spearman,gene fold,1,0.8515795085501604
periscope_cells:tomm20_mito,magnitude_spearman,gene fold,2,0.8510519839105145
periscope_cells:tomm20_mito,magnitude_spearman,gene fold,3,0.8570971440210912
periscope_cells:tomm20_mito,magnitude_spearman,gene fold,4,0.8533424168185966
periscope_cells:tomm20_mito,variance_ratio,gene fold,0,0.6104860952520907
periscope_cells:tomm20_mito,variance_ratio,gene fold,1,0.549540251825092
periscope_cells:tomm20_mito,variance_ratio,gene fold,2,0.4834019187008433
periscope_cells:tomm20_mito,variance_ratio,gene fold,3,0.4721292461391745
periscope_cells:tomm20_mito,variance_ratio,gene fold,4,0.5092803360785861
periscope_cells:tomm20_mito,top5pct_recall,gene fold,0,0.5637254901960784
periscope_cells:tomm20_mito,top5pct_recall,gene fold,1,0.6519607843137255
periscope_cells:tomm20_mito,top5pct_recall,gene fold,2,0.6274509803921569
periscope_cells:tomm20_mito,top5pct_recall,gene fold,3,0.5784313725490197
periscope_cells:tomm20_mito,top5pct_recall,gene fold,4,0.6470588235294118
periscope_cells:tomm20_mito,reliability,screen,CP186A,0.0035987458106306
periscope_cells:tomm20_mito,reliability,screen,CP186B,0.003929058667412
periscope_cells:tomm20_mito,reliability,screen,CP186C,0.007888250696979
periscope_cells:tomm20_mito,reliability,screen,CP186D,0.0051509934755871
periscope_cells:tomm20_mito,reliability,screen,CP186E,0.0023666018063143
periscope_cells:tomm20_mito,reliability,screen,CP186F,0.0026468417691555
periscope_cells:tomm20_mito,reliability,screen,CP186G,0.0057544502376551
periscope_cells:tomm20_mito,reliability,screen,CP186H,0.0059831745017522
periscope_cells:tomm20_mito,reliability,screen,CP186N,0.0071063176792899
periscope_guide:tomm20_mito,recoverability_r,gene fold,0,0.7244846405595476
periscope_guide:tomm20_mito,recoverability_r,gene fold,1,0.7328513165792643
periscope_guide:tomm20_mito,recoverability_r,gene fold,2,0.722636327345412
periscope_guide:tomm20_mito,recoverability_r,gene fold,3,0.7282551691229453
periscope_guide:tomm20_mito,recoverability_r,gene fold,4,0.7017564535183967
periscope_guide:tomm20_mito,magnitude_spearman,gene fold,0,0.9121262360959742
