method_id,method,split,reporter_slug,cell_pearson,split_label,method_color,method_order,method_family
catboost_multirmse,CatBoost,field_holdout_sanity,peroxisome_peroxi_spy650_live_cell_dye,0.8574338706831137,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,plasma_membrane_atp1b3,0.6433531490465005,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,plasma_membrane_slc3a2,0.850751967728138,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,plasma_membrane_wga,0.6015415005385876,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,prb,0.40066034470995265,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,proteasome_psmb7,0.6458263044555983,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,ps6,0.5177138930062453,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,recycling_endosome_tfrc,0.8472767184178034,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,stress_granule_g3bp1,0.8650411926209927,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,trans-golgi_vamp3,0.6348577645917735,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,5xupre,0.681316092312336,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,actin_filament_fastact_spy555_live_cell_dye,0.8874257380763689,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,autophagosome_atg101,0.6488105821112791,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,autophagosome_map1lc3b,0.8856411459545294,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,b-catenin,0.4865442032615344,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,c-myc,0.4622400055329005,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,caspase_activity_cellevent-caspase_live-cell_dye,0.5447681238253911,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,cell_proliferation_marker_mki67,0.7311463341116905,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,chaperones_hspa1b,0.7909676017860571,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,chromalive_488_excitation,0.7490686429043611,Gene,#79A8C9,3,Classical tabular
