target,test,replicate_or_draw,pearson_r,statistical_role
pRb,Random cell halves,93,0.1627725250793606,resampling draw
pRb,Random cell halves,94,0.1546282273619271,resampling draw
pRb,Random cell halves,95,0.1736112933304062,resampling draw
pRb,Random cell halves,96,0.2093059269072242,resampling draw
pRb,Random cell halves,97,0.1529391406947782,resampling draw
pRb,Random cell halves,98,0.1475344751865093,resampling draw
pRb,Random cell halves,99,0.2068889840903427,resampling draw
NPM1,Well pairs,0,0.0560233624160479,observed partition
NPM1,Well pairs,1,0.0801578228208597,observed partition
NPM1,Well pairs,2,0.0693038288058879,observed partition
NPM1,Independent guide halves,0,0.0535583340294323,observed partition
NPM1,Independent guide halves,1,0.0323873209757852,observed partition
NPM1,Independent guide halves,2,0.0945068510459352,observed partition
NPM1,Random cell halves,0,0.2066451282322545,resampling draw
NPM1,Random cell halves,1,0.2116210204642378,resampling draw
NPM1,Random cell halves,2,0.2010989512522953,resampling draw
NPM1,Random cell halves,3,0.1899851114098049,resampling draw
NPM1,Random cell halves,4,0.1557528777799398,resampling draw
NPM1,Random cell halves,5,0.2164948602755185,resampling draw
NPM1,Random cell halves,6,0.2203899430903433,resampling draw
NPM1,Random cell halves,7,0.2170909520460122,resampling draw
NPM1,Random cell halves,8,0.2207425702856006,resampling draw
NPM1,Random cell halves,9,0.201493315022554,resampling draw
NPM1,Random cell halves,10,0.1968909352817481,resampling draw
NPM1,Random cell halves,11,0.1642515837540471,resampling draw
NPM1,Random cell halves,12,0.2516124645987683,resampling draw
NPM1,Random cell halves,13,0.185166691448075,resampling draw
NPM1,Random cell halves,14,0.2049638595672112,resampling draw
NPM1,Random cell halves,15,0.2016904598737348,resampling draw
NPM1,Random cell halves,16,0.199299654481903,resampling draw
NPM1,Random cell halves,17,0.2250060321398166,resampling draw
NPM1,Random cell halves,18,0.2028560374217702,resampling draw
NPM1,Random cell halves,19,0.1958015893562487,resampling draw
NPM1,Random cell halves,20,0.1897126070791479,resampling draw
NPM1,Random cell halves,21,0.1883233590243087,resampling draw
NPM1,Random cell halves,22,0.1540733821111279,resampling draw
NPM1,Random cell halves,23,0.1888232047580398,resampling draw
NPM1,Random cell halves,24,0.2001120169904789,resampling draw
NPM1,Random cell halves,25,0.1846212866336691,resampling draw
NPM1,Random cell halves,26,0.1556585984084051,resampling draw
NPM1,Random cell halves,27,0.2187043007528658,resampling draw
NPM1,Random cell halves,28,0.2182546337857766,resampling draw
NPM1,Random cell halves,29,0.1869618648075002,resampling draw
