case,test,n,median,q25,q75
pRb,Well pairs,3,-0.0153553197807242,-0.0233392032484096,0.0283696639557208
pRb,Independent guide halves,3,-0.0196065331916808,-0.020612857491671,-0.0050387191327176
pRb,Random cell halves,100,0.1577451927491176,0.143975938819419,0.1727731566186687
NPM1,Well pairs,3,0.0693038288058879,0.0626635956109679,0.0747308258133738
NPM1,Independent guide halves,3,0.0535583340294323,0.0429728275026087,0.0740325925376837
NPM1,Random cell halves,100,0.1969091790668775,0.1856771690185747,0.2100717044615875
