method_id,method,split,reporter_slug,ko_pearson,split_label,method_color,method_order,method_family
catboost_multirmse,CatBoost,field_holdout_sanity,ps6,0.5570375604213526,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,recycling_endosome_tfrc,0.8196666985750198,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,stress_granule_g3bp1,0.9005004465579987,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,field_holdout_sanity,trans-golgi_vamp3,0.631146337216099,Field,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,5xupre,0.7433959648013115,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,actin_filament_fastact_spy555_live_cell_dye,0.9089513582487901,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,autophagosome_atg101,0.7041879372050365,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,autophagosome_map1lc3b,0.8951330972214541,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,b-catenin,0.5613137228786945,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,c-myc,0.5588747488458952,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,caspase_activity_cellevent-caspase_live-cell_dye,0.5931642334306767,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,cell_proliferation_marker_mki67,0.6914825342595577,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,chaperones_hspa1b,0.8219408864776293,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,chromalive_488_excitation,0.7352123362322649,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,chromatin_h2bc21,0.754556168615818,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,clathrin_vesicles_clta,0.9050473429262638,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,early_endosome_eea1,0.9213477820158005,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7465382352471351,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,endosome_vps35,0.8167662858963013,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_cona,0.7044975499312083,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_golgi_bridge_vapa,0.8051802605390549,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_golgi_cop-ii_sec23a,0.9238661025961241,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_golgi_cope,0.8248018515606722,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_ncln,0.657123943294088,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,er_sec61b,0.8013500787317753,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,f-actin_phalloidin,0.7380212187767029,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,fe2+_ferhonox_live-cell_dye,0.9037910985449951,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,late_endosome_rab7a,0.9115305915474892,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lipid_droplet_bodipy_live_cell_dye,0.9133095048367977,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lipid_droplet_plin2,0.7035802006721497,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lysosome_lamp1,0.7343881219625473,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,lysosome_lysotracker_live-cell_dye,0.9270110649367174,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,microtubules_map4,0.8164603213469187,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,microtubules_tubulin,0.7189405300550991,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,mitochondria_chromalive_561_excitation,0.7941682619353135,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,mitochondria_tomm20,0.6810985234669513,Gene,#79A8C9,3,Classical tabular
catboost_multirmse,CatBoost,gene_holdout_main,mitochondria_tomm70a,0.7388504502673944,Gene,#79A8C9,3,Classical tabular
