reporter_slug,ridge,gbdt,catboost_multirmse,mlp,tabm_specialists,scbutterfly_ops_b,resmlp_52head,multitab_pilot,midas_ops,scpair_ops,coherent_median_ensemble
stress_granule_g3bp1,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
lysosome_lysotracker_live-cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
er_golgi_cop-ii_sec23a,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
early_endosome_eea1,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
lipid_droplet_bodipy_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
late_endosome_rab7a,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
actin_filament_fastact_spy555_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
plasma_membrane_slc3a2,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
clathrin_vesicles_clta,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
autophagosome_map1lc3b,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
fe2+_ferhonox_live-cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,quantitative_proxy
recycling_endosome_tfrc,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
er_golgi_cope,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
chaperones_hspa1b,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
nucleolus-gc_npm3,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,measurement_required,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy
nuclei_nucleolive_live_cell_dye,ranking_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,measurement_required,quantitative_proxy,quantitative_proxy
endosome_vps35,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,quantitative_proxy
er_sec61b,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
er_golgi_bridge_vapa,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
mitochondria_chromalive_561_excitation,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
peroxisome_peroxi_spy650_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
chromalive_488_excitation,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,quantitative_proxy
chromatin_h2bc21,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,measurement_required,quantitative_proxy,quantitative_proxy
plasma_membrane_atp1b3,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,measurement_required,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
5xupre,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
f-actin_phalloidin,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,unresolved,quantitative_proxy,quantitative_proxy
mitochondria_tomm70a,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy,measurement_required,quantitative_proxy,quantitative_proxy
lysosome_lamp1,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,measurement_required,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,quantitative_proxy
autophagosome_atg101,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,unresolved,measurement_required,ranking_proxy,quantitative_proxy,measurement_required,ranking_proxy,quantitative_proxy
nuclear_speckles_srrm2,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,quantitative_proxy,ranking_proxy,quantitative_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
proteasome_psmb7,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
oxidative_stress_cellrox_live-cell_dye,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy
er_ncln,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy
trans-golgi_vamp3,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,measurement_required,ranking_proxy,ranking_proxy,measurement_required,unresolved,ranking_proxy
p21,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy
mitochondria_tomm20,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,ranking_proxy,unresolved,ranking_proxy,measurement_required,ranking_proxy,ranking_proxy
p53,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required
caspase_activity_cellevent-caspase_live-cell_dye,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required
ps6,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required,measurement_required
prb,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
nuclei_hoechst,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
nucleoli_npm1,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
b-catenin,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
c-myc,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
er_cona,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
microtubules_tubulin,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
nucleolus-dfc_fbl,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
plasma_membrane_wga,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable,not_identifiable
microtubules_map4,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved
lipid_droplet_plin2,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,unresolved,measurement_required,unresolved,unresolved
cell_proliferation_marker_mki67,unresolved,unresolved,unresolved,unresolved,unresolved,measurement_required,unresolved,unresolved,measurement_required,unresolved,unresolved
