run_state,reporter_slug,method_id,reference_state,reference_method_id,reference_tier,tier,transition,exact_tier_changed,proxy_status_changed,reliability_pass,changed_gate_flags,n_changed_gate_flags,delta_recoverability_r,delta_magnitude_spearman,delta_variance_ratio,delta_top5pct_recall,delta_reliability
checkpoint_average,stress_granule_g3bp1,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.009857415885347165,-0.012617508617508544,-9.524422825979428e-07,0.0,0.0
checkpoint_average,lysosome_lysotracker_live-cell_dye,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.005343784060466983,-0.001522057522057585,0.03190252228467716,0.0,0.0
checkpoint_average,er_golgi_cop-ii_sec23a,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.007334876822747249,0.001430305430305645,0.19517765208818194,0.0,0.0
checkpoint_average,early_endosome_eea1,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.008191105127761,-0.0010752010752008712,0.032101666791097605,0.020000000000000018,0.0
checkpoint_average,lipid_droplet_bodipy_live_cell_dye,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.010934208789665556,-0.007094023094023072,0.005890338144679874,-0.020000000000000018,0.0
checkpoint_average,late_endosome_rab7a,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.01494606460410719,-0.008650220650220808,0.03984591811896987,-0.039999999999999925,0.0
checkpoint_average,actin_filament_fastact_spy555_live_cell_dye,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.01480646258467,-0.009391833391833582,0.05112487023693768,-0.039999999999999925,0.0
checkpoint_average,plasma_membrane_slc3a2,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.0059664622431035985,-0.0048981648981651915,0.020449520093819507,-0.020000000000000018,0.0
checkpoint_average,clathrin_vesicles_clta,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.012108536956406457,-0.009031461031460797,0.061000746922501126,-0.020000000000000018,0.0
checkpoint_average,autophagosome_map1lc3b,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.028681145606196168,-0.004405468405468405,0.20737079173359774,0.020000000000000018,0.0
checkpoint_average,fe2+_ferhonox_live-cell_dye,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.016339550788830648,-0.009965097965098035,0.06654004631374899,0.0,0.0
checkpoint_average,recycling_endosome_tfrc,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.02073510981927673,-0.012011976011976011,0.01711716366943583,-0.040000000000000036,0.0
checkpoint_average,er_golgi_cope,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.018093616450594707,-0.003941943941943804,0.06169903333669846,0.039999999999999925,0.0
checkpoint_average,chaperones_hspa1b,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.014548680447411422,-0.010212718212718186,0.07439545372468048,-0.020000000000000018,0.0
checkpoint_average,nucleolus-gc_npm3,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,quantitative_proxy,unchanged,False,False,True,,0,-0.007096548004424386,-0.015203091203091157,0.04171749249269552,0.020000000000000018,0.0
checkpoint_average,nuclei_nucleolive_live_cell_dye,ridge,checkpoint_average,coherent_median_ensemble,quantitative_proxy,ranking_proxy,Q_to_R,True,False,True,recovery;measurement_recovery,2,-0.2733630939390811,-0.06938512538512542,-0.1692810526806039,-0.07999999999999996,0.0
