reporter_slug,method_id,recoverability_r__checkpoint_average,recoverability_r__single,magnitude_spearman__checkpoint_average,magnitude_spearman__single,variance_ratio__checkpoint_average,variance_ratio__single,top5pct_recall__checkpoint_average,top5pct_recall__single,reliability__checkpoint_average,reliability__single,tier__checkpoint_average,tier__single,exact_tier_changed,proxy_status_changed
5xupre,catboost_multirmse,0.7433959538275605,0.7433959538275605,0.8642605322605323,0.8642605322605323,0.9231681277657394,0.9231681277657394,0.88,0.88,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
5xupre,gbdt,0.7477423026804624,0.7477423026804624,0.8697844377844377,0.8697844377844377,0.9622735911084808,0.9622735911084808,0.86,0.86,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
5xupre,midas_ops,0.6862439576897644,0.6831719356401347,0.8187045387045389,0.8165725565725567,0.6639329271021824,0.6852698687792689,0.78,0.84,0.4085795923758126,0.4085795923758126,ranking_proxy,ranking_proxy,False,False
5xupre,mlp,0.7511599872640886,0.7511599872640886,0.8652617772617772,0.8652617772617772,1.019175124932572,1.019175124932572,0.88,0.88,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
5xupre,multitab_pilot,0.7446011236792092,0.7447360818119522,0.8636465996465996,0.8635193635193636,0.8889327062496817,0.8937756025438014,0.9,0.88,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
5xupre,resmlp_52head,0.7511566438386318,0.7494548042736573,0.8633977073977075,0.8606966726966726,0.8079331137461839,0.8644481656986471,0.86,0.84,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
5xupre,ridge,0.7399626411106548,0.7399626411106548,0.8698139938139938,0.8698139938139938,1.0168409326834482,1.0168409326834482,0.88,0.88,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
5xupre,scbutterfly_ops_b,0.6714951850507245,0.6690254730476092,0.8109946869946869,0.8077897597897598,0.7557832176870004,0.7512870544005491,0.74,0.76,0.4085795923758126,0.4085795923758126,ranking_proxy,ranking_proxy,False,False
5xupre,scpair_ops,0.7434904142566264,0.7434746607199006,0.8648918168918168,0.8643954483954485,0.9281986358213268,0.944469901015841,0.86,0.86,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
5xupre,tabm_specialists,0.7427345973450461,0.7529669201823571,0.8674683034683035,0.8694915774915776,1.0024185485039023,1.0050483907338,0.92,0.9,0.4085795923758126,0.4085795923758126,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,0.908951381758394,0.908951381758394,0.9637808917808918,0.9637808917808918,0.973174606006214,0.973174606006214,0.94,0.94,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,gbdt,0.9224854648436154,0.9224854648436154,0.9717137637137638,0.9717137637137638,0.9795131647452382,0.9795131647452382,0.94,0.94,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,midas_ops,0.8076541044541894,0.8067811950010361,0.8817807417807418,0.8815919815919816,0.4883686358518914,0.5066106163537457,0.88,0.9,0.4815571491092879,0.4815571491092879,ranking_proxy,quantitative_proxy,True,False
actin_filament_fastact_spy555_live_cell_dye,mlp,0.924350815597586,0.924350815597586,0.9721802161802164,0.9721802161802164,0.982828695372167,0.982828695372167,0.9,0.9,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,multitab_pilot,0.906742851631626,0.906759258267996,0.9636692076692078,0.9633501993501994,0.9671716024494992,0.9729119090917984,0.9,0.92,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,resmlp_52head,0.9166184852681136,0.9155011208943094,0.9683462483462484,0.964778356778357,0.96381082932265,0.9837080712964384,0.94,0.94,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,ridge,0.9038486430447452,0.9038486430447452,0.961923973923974,0.961923973923974,0.9851335919859516,0.9851335919859516,0.9,0.9,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,scbutterfly_ops_b,0.8899769636670861,0.8913162415030508,0.9357477597477598,0.9323238803238804,0.7218906355216312,0.8034654320817884,0.84,0.82,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,scpair_ops,0.9100743122326368,0.9103214612095668,0.9684642324642324,0.9685646605646604,0.921199768227944,0.9168223068341598,0.94,0.96,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,0.9105251949935356,0.9179983367307392,0.9700786300786304,0.9736320016320016,0.974230467855965,0.9677323048933782,0.92,0.94,0.4815571491092879,0.4815571491092879,quantitative_proxy,quantitative_proxy,False,False
autophagosome_atg101,catboost_multirmse,0.7041879586590583,0.7041879586590583,0.7464969864969866,0.7464969864969866,0.9143929017195128,0.9143929017195128,0.82,0.82,0.5696557950339326,0.5696557950339326,quantitative_proxy,quantitative_proxy,False,False
autophagosome_atg101,gbdt,0.7116441288272017,0.7116441288272017,0.7514094914094915,0.7514094914094915,0.8310250563402715,0.8310250563402715,0.8,0.8,0.5696557950339326,0.5696557950339326,quantitative_proxy,quantitative_proxy,False,False
