reporter_slug,oxidative_stress_cellrox_live-cell_dye,fe2+_ferhonox_live-cell_dye,b-catenin,c-myc,p21,p53,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,prb,ps6,nucleolus-dfc_fbl,chromatin_h2bc21,nuclei_hoechst,cell_proliferation_marker_mki67,nucleoli_npm1,nucleolus-gc_npm3,nuclei_nucleolive_live_cell_dye,nuclear_speckles_srrm2,er_golgi_cope,er_cona,er_ncln,er_golgi_cop-ii_sec23a,er_sec61b,trans-golgi_vamp3,er_golgi_bridge_vapa,chromalive_488_excitation,mitochondria_chromalive_561_excitation,mitochondria_tomm20,mitochondria_tomm70a,actin_filament_fastact_spy555_live_cell_dye,microtubules_map4,f-actin_phalloidin,microtubules_tubulin,autophagosome_atg101,lipid_droplet_bodipy_live_cell_dye,clathrin_vesicles_clta,lysosome_lamp1,lysosome_lysotracker_live-cell_dye,autophagosome_map1lc3b,lipid_droplet_plin2,early_endosome_eea1,late_endosome_rab7a,recycling_endosome_tfrc,endosome_vps35,plasma_membrane_atp1b3,plasma_membrane_slc3a2,plasma_membrane_wga,peroxisome_peroxi_spy650_live_cell_dye,5xupre,caspase_activity_cellevent-caspase_live-cell_dye,stress_granule_g3bp1,chaperones_hspa1b,proteasome_psmb7
oxidative_stress_cellrox_live-cell_dye,0.9999999999999998,0.5419886904935911,0.23312218312259378,0.019318111658871887,0.5182559653810441,0.4500473699919115,0.30407366789438195,-0.1785736390751985,0.27885200577968755,0.21310276423478902,0.36812098480770394,0.0037123945641488643,0.17658170053694647,0.185237584296454,0.16079226473685804,0.5032028367735237,0.33388989388614054,0.4516359148595326,0.21029199131370524,0.35946279467793973,0.4826018045308891,0.44550806561145884,0.47979727126548166,0.509544844180721,0.23295087776803633,0.588317246215237,0.4124554729955274,0.4554217182561807,0.4058821549184123,0.3215613116705151,0.3196328628387647,0.25480379139445375,0.3252095624006746,0.5715335458696656,0.5149107469312132,0.45758073772167507,0.6333228680998052,0.3821672463727288,0.40577505416795495,0.5212526222874004,0.4472449226804453,0.5210398949274097,0.3793552758773643,0.322486698239863,0.2496093699792231,0.261988568277091,0.43809409718401227,0.5124718651604195,0.40289796476415374,0.34504329667930916,0.2753275178074202,0.3483266025768392
fe2+_ferhonox_live-cell_dye,0.5419886904935911,1.0,0.2334518937385281,0.01652214234266944,0.47789432246714186,0.47069753165722245,0.30318933655105823,-0.11766703094534423,0.2082323779335415,0.17670500369488995,0.29931012243926985,0.07675721175029167,0.10155250289404663,0.16023211325507145,0.18961911834555256,0.5318038463902013,0.34241917093762997,0.44592100588985684,0.2518574775213855,0.34440515881290823,0.4761960577146339,0.4246750971256528,0.5238332329285784,0.5232864682827805,0.23213190458823668,0.5438902866551153,0.4505562902188536,0.45972028790432,0.40649126223237875,0.3301783161099483,0.36270926868964976,0.33825843532773403,0.323155056962625,0.6130498944402653,0.4802894056542049,0.464813575892973,0.6122511258023395,0.34915317860223827,0.38247688783355865,0.510162286185376,0.4196042167740579,0.5696265543140374,0.3902071879688701,0.3251054658076117,0.29690824406232813,0.32438722729829317,0.3795390429707168,0.484267588288846,0.3889749178468391,0.38451482568257067,0.22901445736886475,0.3079128688649038
b-catenin,0.23312218312259378,0.2334518937385281,0.9999999999999998,0.34312077025292265,0.3430222194810427,0.39779220479921273,0.12373115509664036,0.10208363737343268,0.538513980351662,0.15827733901152918,0.13958710532596477,0.055929441772043925,0.10426825931544417,0.07760459559386734,0.08790281322024984,0.24002701592536158,0.21237782978570602,0.21358598898056674,0.1203718440862762,0.15808903619327394,0.22060020560944313,0.20345698852588728,0.21015812036857423,0.24137370240486292,0.1306996079106146,0.26849402800932626,0.19648273911438766,0.24886336596703795,0.21837105658902978,0.10608058837712545,0.16093045987516436,0.13164339717226353,0.14372019636476546,0.2591211088034852,0.18753652466937099,0.25839263732029033,0.23542409636717163,0.14725632497594718,0.2026236705162441,0.23726865637558597,0.20709631577403945,0.28319313249966344,0.1929114235977964,0.12799683622462363,0.17457065919137787,0.139244310564578,0.25260038679302665,0.2172747736051225,0.2556651866986894,0.156188150401654,0.16171826026594607,0.14404477597955545
c-myc,0.019318111658871887,0.01652214234266944,0.34312077025292265,0.9999999999999998,0.12325132920907123,0.2930468465256685,0.07683178235315864,0.4279073248451311,0.3963245494211337,0.037903627908917666,0.13622671600260727,0.02969777876645945,0.10902367095712831,0.026523829045356176,0.08186216253592424,0.028209221117455472,0.003072002645912877,0.02896394373884729,0.04177924211754191,0.055213747655344765,0.053678132597615266,0.057567090401221856,0.06614916494159742,0.031920870035560135,0.0656197262951678,0.041206180321676715,0.05203859272827356,0.06740225484106771,0.044690781691292654,0.03524266632193547,0.050532649954743616,0.027882569161905676,0.056387660221621345,0.04162464528837936,0.07287872637735407,0.04750195200887393,-0.038426463295833733,0.06730752568181919,0.035756113165476805,-0.0025215979083192596,0.08853061315220724,-0.012460344959347199,0.024740582378969308,0.024257519621847013,0.0505160423622175,0.046327756409291224,0.07638186704286387,0.06997060742079025,0.01572119208987351,0.02424847213094565,0.12495123864476894,0.06678517631369625
p21,0.5182559653810441,0.47789432246714186,0.3430222194810428,0.12325132920907123,1.0,0.7224538088911089,0.2649268102109476,-0.1855101642048533,0.4028084848479281,0.2256201200905356,0.21086799439973514,-0.019502538715392023,0.17145842821695334,0.17202218576281644,0.13543089917198603,0.504194412057721,0.38911915936264285,0.465093617794113,0.14965114499969429,0.3286010313140835,0.44279090348344735,0.42294878794913904,0.4550773782264597,0.5150787461079606,0.26013805881477153,0.5750979125861198,0.3969464046746404,0.46465573922128545,0.43489682763981513,0.2304599795776126,0.30079429359781346,0.2271271071542346,0.3137437381487148,0.542543185603089,0.4536817304588051,0.4566683527119148,0.6145746872869369,0.33135483224645823,0.32998952029376655,0.5075083368855404,0.46274042089892453,0.5339211515515588,0.3167376159319645,0.32970429015292546,0.2457618201058489,0.2353304487365501,0.4703891816826711,0.5053539715857025,0.3162578232070843,0.2931312200965323,0.2627003480619693,0.2672456795299066
p53,0.4500473699919115,0.47069753165722245,0.3977922047992128,0.2930468465256685,0.7224538088911089,0.9999999999999998,0.26633173353352296,-0.003284904893198763,0.45252805900931115,0.1759794426456762,0.25906886094548365,0.025453383519671642,0.1670412077895475,0.12336048075478777,0.1982492097149111,0.46529228093046127,0.35372592336496267,0.3811877121062903,0.1662842041547713,0.2804625618422579,0.45352899409684905,0.3727990074208666,0.4710179050406554,0.46470382310028613,0.24234568949479066,0.47100383024400555,0.3477194750614292,0.3933088623215525,0.3459003069553789,0.22929314539197518,0.28340682597604244,0.2131162154412601,0.3328300777759176,0.4867228864498699,0.4517992741057584,0.43262703745353503,0.5445319127524452,0.29549489578437815,0.35148650548404503,0.45278266602096706,0.42887291747998996,0.4512775496187549,0.3211953698702524,0.36223663261258077,0.25573547169095023,0.22564386843910447,0.3805789286676957,0.4331631468566389,0.27740551741783115,0.3066799883689668,0.3219920106840763,0.2997496281158465
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.30407366789438195,0.30318933655105823,0.12373115509664036,0.07683178235315864,0.2649268102109476,0.26633173353352296,1.0,-0.02745172046685449,0.17610495219170738,0.17941932264428945,0.30045632328990485,-0.001914097916128576,0.1760207494105433,0.09810828377321044,0.16691460970157873,0.37033520360450617,0.2069293708980967,0.31280553924272836,0.15046606438510218,0.24975848395413963,0.32544009397331525,0.3177594903698836,0.31290804098878383,0.3572651999806891,0.240719161020254,0.3282157846816879,0.25477006071665875,0.2645833875250324,0.33463564673843965,0.25439298195692267,0.22619304293994533,0.17845328174849423,0.2019305621669145,0.3194756949891045,0.31390975272836064,0.29642413961374264,0.3829341123970528,0.29576438074490263,0.28076582509503134,0.2706023480151478,0.29917200100060753,0.28986853252749833,0.193187064491467,0.28619682865495705,0.23263305165268336,0.18871791250105244,0.3164777591814658,0.33239946823363414,0.21803190363148492,0.22957310532019712,0.20317450738671988,0.26700292649533197
prb,-0.1785736390751985,-0.11766703094534423,0.10208363737343266,0.4279073248451311,-0.1855101642048533,-0.003284904893198763,-0.02745172046685449,1.0,0.149674373453421,-0.0753920386175589,0.02888244266833422,0.05638130298110302,-0.025368953756930886,-0.06886964218006983,0.00870677574465845,-0.10991103793199017,-0.10099380667207102,-0.10383393516818115,0.013396309887705068,-0.10530950071068829,-0.13674607509033285,-0.09869671332772512,-0.11838821678337481,-0.17725236805269487,-0.012233169204458471,-0.20090619357661751,-0.08956410636426614,-0.10657529680646165,-0.10757114671917485,-0.018320754574403263,-0.041008256879404105,-0.02421173937319344,-0.008377732098705104,-0.17594363765040394,-0.09336881504018368,-0.11314830297859732,-0.24824700703827274,-0.027675950953330593,-0.09138293059775926,-0.14032847518029182,-0.1103875125007168,-0.1605579164574469,-0.07240954587786931,-0.10471954052914408,-0.037936548029674236,-0.004366802195501506,-0.1034074149252897,-0.1322974313091986,-0.1086585381387909,-0.06156261806286239,0.03445382059467552,-0.02542585434475525
ps6,0.27885200577968755,0.20823237793354152,0.538513980351662,0.3963245494211337,0.40280848484792814,0.4525280590093111,0.17610495219170738,0.149674373453421,1.0,0.15991210936523398,0.20296728222542776,0.02216378367045277,0.1606003014548158,0.1313446666636079,0.14470845811066763,0.28607542543150366,0.2635246879804806,0.30186163979712866,0.1633466237626689,0.20963442218317058,0.23431236795955254,0.2119653425729785,0.23630938332496548,0.2595801935133321,0.20099723671095948,0.3064263409339946,0.23452471771140637,0.262844037917147,0.25742832419241485,0.1261919562379851,0.20389525441224854,0.16235246763181102,0.17387335958996963,0.22289747633949047,0.2496877287207262,0.2729340688243283,0.24493070746593104,0.19686109622503767,0.15462545841051253,0.24765947502504104,0.24401846604484112,0.26216663562970516,0.1661223831340872,0.16501137443362837,0.06988221671649902,0.18208526508257852,0.2998998611226918,0.29028847258770824,0.2133597442318811,0.1415102519511183,0.17459609415188368,0.17937729200027178
nucleolus-dfc_fbl,0.21310276423478902,0.17670500369488992,0.1582773390115292,0.037903627908917666,0.22562012009053561,0.1759794426456762,0.17941932264428945,-0.0753920386175589,0.15991210936523395,1.0,0.15595680208284576,-0.03146724443302117,0.12029991896274428,0.11892720772549932,0.15418322675363513,0.385205921644432,0.22028336116553718,0.21904357067986227,0.11340877744533927,0.1617384587589126,0.18225491468889501,0.21358887129712875,0.23279360415012634,0.22772994750026618,0.13765450754027217,0.25151416127231657,0.17839984675151663,0.19824653384527444,0.21157554418641486,0.13140966466536272,0.1403258806221317,0.13688095769781494,0.14729095887188612,0.18323164334950257,0.169022066502912,0.243225806898319,0.23630977327924235,0.20224454564575847,0.1702863147076526,0.24513118656426258,0.19357689026903754,0.22488952262316914,0.20006212309615154,0.16068296418271397,0.10474743941493248,0.14231504015116145,0.27028580004515124,0.272763930683331,0.14588131836449184,0.10755519421211884,0.10559844251259366,0.11910291049456592
