reporter_slug,marker,short_name,biological_category,category_color,category_rank,n_screens,screen_ids,is_repeated_target,n_exact_assay_cell_links,n_targeting_links,n_control_links,n_target_kos,n_target_guides,n_target_features,n_technical_core_features,source_fluorescence_object_rows,rows_with_mappable_well_tile,duplicate_fluorescence_coordinate_rows_excluded,phase_unique_coordinate_rows_across_assays,coordinate_matches,op_matches,coordinate_match_fraction_of_phase_unique_rows,op_match_fraction_of_coordinate_matches,gene_guide_concordance_fraction_of_op_matches,target_feature_schema,selected_organelles,feature_selection_rule,remote_source_size_gib,cache_size_mib,cache_sha256
cell_proliferation_marker_mki67,"cell proliferation marker, MKI67",MKI67*,Nucleus,#3E6F9C,2,2,Biohub_OPS0045;Biohub_OPS0057,True,197625,187562,10063,1000,3999,72,24,1556607,1556607,119592,211221,197907,197625,0.9369664948087548,0.9985750882990496,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.509435785003007,13.914666175842283,a596c5fb983c9bc58831239ef2970c9fcc10ace7513271729ce4f4424a500157
nucleoli_npm1,"nucleoli, NPM1 (cp)",NPM1*,Nucleus,#3E6F9C,2,1,Biohub_OPS0043,False,111573,105887,5686,1000,3991,72,72,1069734,1069734,0,147192,147192,111573,1.0,0.7580099461927279,1.0,OrganelleProfiler,cp2_nucleoli_npm1,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.3595658782869577,24.71699047088623,d87783d92d73d96385565feac514c737aa1b625c4019e091fb6ce88b9052826c
nucleolus-gc_npm3,"nucleolus-GC, NPM3",NPM3,Nucleus,#3E6F9C,2,2,Biohub_OPS0042;Biohub_OPS0058,True,213118,202597,10521,1000,4000,72,24,1712060,1712060,175650,234087,213432,213118,0.9117635750810597,0.9985288054274898,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.894115471281111,20.16557502746582,4d7f737ca84225ae3c7358472a04a64271f8c6a4d541c977a6a9a08f1dc47fdb
nuclei_nucleolive_live_cell_dye,"nucleus, NucleoLIVE Live Cell dye",NucleoLIVE Live Cell dye,Nucleus,#3E6F9C,2,2,Biohub_OPS0061;Biohub_OPS0062,True,269328,256173,13155,1000,3998,72,24,2059543,2059543,133574,284976,269711,269328,0.9464340856773904,0.9985799615143616,1.0,OrganelleProfiler,mcherry,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,6.26831572689116,28.03188705444336,d53b055eb0de36d6d2f368749bacd93371cb1978df6cb164fc1ba58ccbb30b50
nuclear_speckles_srrm2,"nuclear speckles, SRRM2",SRRM2,Nucleus,#3E6F9C,2,2,Biohub_OPS0036;Biohub_OPS0061,True,277841,264072,13769,1000,3998,72,24,2116829,2116829,120505,291853,278106,277841,0.952897520327014,0.9990471259160176,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,6.413254609331489,28.98809051513672,765c755a2027fae36d1aebde73a497122d50060870a18f3a965e2305c87d1e30
er_golgi_cope,"ER/Golgi, COPE",COPE,ER/Golgi,#4F9A70,5,2,Biohub_OPS0023;Biohub_OPS0074,True,226855,215642,11213,1000,3997,24,24,1771993,1771993,147634,243939,227096,226855,0.9309540499879068,0.9989387747912776,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,4.841353166848421,20.42861843109131,de8772bb9360df92e2f0b16b419a307bcb15c0c4e69577558c00481c6ea2b001
er_cona,"ER, ConA (cp)",ConA*,ER/Golgi,#4F9A70,5,1,Biohub_OPS0043,False,111573,105887,5686,1000,3991,72,72,1069734,1069734,0,147192,147192,111573,1.0,0.7580099461927279,1.0,OrganelleProfiler,cp2_er_cona,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,2.4705165149644017,25.795784950256348,8b1e01d5c190d2596753258f1843d8f59f8413d9eca66ae8bad863e192dfc903
er_ncln,"ER, NCLN",NCLN,ER/Golgi,#4F9A70,5,1,Biohub_OPS0052,False,132163,125564,6599,1000,3998,24,24,1000561,1000561,64760,139985,132442,132163,0.9461156552487766,0.9978934174959604,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.635407062247396,11.396998405456545,3a6d3720c9775b3d12f299f66dccc671e99e7200a5018fbc45059e937033461a
er_golgi_cop-ii_sec23a,"ER/Golgi COP-II, SEC23A",SEC23A,ER/Golgi,#4F9A70,5,1,Biohub_OPS0035,False,130846,124430,6416,1000,3999,24,24,1030382,1030382,53994,136827,130900,130846,0.9566825261096128,0.9995874713521772,1.0,OrganelleProfiler,gfp,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,3.463282103650272,11.720444679260254,d62614e19c8e9df17ae094b167fd4727f0cc912f16b8855e154cf26ea4bf76fd
er_sec61b,"ER, SEC61B",SEC61B,ER/Golgi,#4F9A70,5,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,True,433351,413297,20054,1000,3998,72,24,3322148,3322148,248933,462828,434563,433352,0.9389297968143672,0.9972132924340084,0.9999976924070964,OrganelleProfiler,mcherry,organelle_profiler intensity; prefer non-nuclear organelles when a counterstain and a reporter organelle coexist,10.026130879297853,43.43303394317627,e4b6a28de3d1957c7e0ca0fd69d271fdb80de3f6bd00a020cfcc12fb441f91c1
