reporter_slug,fold,ensemble_recoverability_r,n_gene_screen_pairs,n_endpoints,n_methods,evaluation_state
nuclei_nucleolive_live_cell_dye,4,0.8111296603439105,444,24,10,checkpoint_average
endosome_vps35,0,0.8580478630610758,422,24,10,checkpoint_average
endosome_vps35,1,0.8316783384110032,374,24,10,checkpoint_average
endosome_vps35,2,0.8244782123975707,366,24,10,checkpoint_average
endosome_vps35,3,0.8277851926886038,394,24,10,checkpoint_average
endosome_vps35,4,0.8016095779590121,444,24,10,checkpoint_average
er_sec61b,0,0.8052302014407507,1266,24,10,checkpoint_average
er_sec61b,1,0.7657405502978668,1122,24,10,checkpoint_average
er_sec61b,2,0.9052622480053021,1098,24,10,checkpoint_average
er_sec61b,3,0.7788374097085217,1182,24,10,checkpoint_average
er_sec61b,4,0.8045632412058664,1332,24,10,checkpoint_average
er_golgi_bridge_vapa,0,0.8316253736286425,422,24,10,checkpoint_average
er_golgi_bridge_vapa,1,0.7864996009543413,374,24,10,checkpoint_average
er_golgi_bridge_vapa,2,0.8070373869597504,366,24,10,checkpoint_average
er_golgi_bridge_vapa,3,0.8244137418825067,394,24,10,checkpoint_average
er_golgi_bridge_vapa,4,0.8171531979876123,444,24,10,checkpoint_average
mitochondria_chromalive_561_excitation,0,0.7988378940175004,422,24,10,checkpoint_average
mitochondria_chromalive_561_excitation,1,0.8295741802356273,374,24,10,checkpoint_average
mitochondria_chromalive_561_excitation,2,0.8008312121900638,366,24,10,checkpoint_average
mitochondria_chromalive_561_excitation,3,0.7917575947262486,394,24,10,checkpoint_average
mitochondria_chromalive_561_excitation,4,0.8099425977869538,444,24,10,checkpoint_average
peroxisome_peroxi_spy650_live_cell_dye,0,0.8112942005091037,422,24,10,checkpoint_average
peroxisome_peroxi_spy650_live_cell_dye,1,0.8074933733489679,374,24,10,checkpoint_average
peroxisome_peroxi_spy650_live_cell_dye,2,0.8147459888542569,366,24,10,checkpoint_average
peroxisome_peroxi_spy650_live_cell_dye,3,0.8150125783516353,394,24,10,checkpoint_average
peroxisome_peroxi_spy650_live_cell_dye,4,0.8015194625992219,444,24,10,checkpoint_average
chromalive_488_excitation,0,0.7632367419611561,422,24,10,checkpoint_average
chromalive_488_excitation,1,0.7876194718634517,374,24,10,checkpoint_average
chromalive_488_excitation,2,0.784807081743882,366,24,10,checkpoint_average
chromalive_488_excitation,3,0.7603950272251722,394,24,10,checkpoint_average
chromalive_488_excitation,4,0.7772489866428316,444,24,10,checkpoint_average
chromatin_h2bc21,0,0.7360017474100036,422,24,10,checkpoint_average
chromatin_h2bc21,1,0.7834179106443653,374,24,10,checkpoint_average
