gene,n_targeting_cells
IER3IP1,128
IGBP1,108
ILF3,117
IMP4,118
IMPA2,126
IMPDH1,103
IMPDH2,104
INCENP,93
INO80D,102
INO80E,152
INPPL1,96
INTS1,137
INTS10,137
INTS11,118
INTS2,120
INTS5,144
INTS7,119
ITGB1,127
ITPR1,138
IVL,122
IZUMO2,97
JUNB,98
KANSL1,136
KATNBL1,132
KCNG1,119
KCNG4,131
KCTD16,88
KDM4A,105
KDM6A,150
KIAA1958,98
KIF11,138
KIF14,112
KIF17,143
KIF20A,111
KIF23,140
KIN,100
KLHL7,128
KPNB1,123
KRAS,107
KRI1,130
KRT10,93
KRT18,108
KRT8,107
KRTAP2-3,118
KRTAP2-4,129
KRTAP4-2,129
LAMTOR1,133
LAMTOR2,108
LAMTOR3,115
LAMTOR4,118
LARP7,129
LARS,127
LCE3A,108
LDLR,135
LENG8,110
LIAS,131
LIMD2,98
LIMS1,150
LIN37,128
LIN9,130
LMX1B,152
LRP1B,107
LSM4,161
LSM5,89
LSM6,142
LTB4R,124
LTN1,128
LTV1,143
LYPD2,123
LYSMD1,137
MAD2L2,126
MAFA,119
MANF,131
MAP2K7,97
MAP7D1,133
MAPK1,126
MAPRE3,110
MARS,140
MAX,116
MBD5,74
MBTD1,114
MCEE,114
MCM3,149
MCM5,125
MCM7,117
MCRS1,113
MCTS1,135
MDN1,149
MEAF6,118
MED13L,117
MED18,114
MED21,110
MED6,137
METAP1,121
METTL3,107
METTL7A,176
METTL7B,122
MEX3C,135
MFAP1,112
MGAM,114
MICOS13,113
MIEN1,135
MIOS,121
MLLT1,108
MMP17,96
MOB4,101
MRGBP,120
MRM1,111
MROH6,137
MRPL20,125
MRPL34,113
MRPL39,94
MRPL40,144
MRPL42,118
MRPL52,117
MSANTD4,120
MSH3,123
MTA2,129
MTBP,114
MTHFD1,122
MTOR,115
MUC13,193
MUCL1,101
MXRA8,115
MYBPHL,86
MYCL,103
NACC1,110
NAE1,127
NAMPT,128
NAPA,111
NAPG,108
NBEAL1,145
NBPF15,123
NCAN,129
NCAPG2,126
NCBP2,113
NCDN,124
NCKIPSD,111
NCL,146
NCOA1,143
NCOA4,106
NDUFC1,115
NEDD8,114
NEK1,110
NHSL1,113
NLE1,125
NMT1,99
NOB1,125
NOL10,117
NOL6,130
NOL7,143
NOL8,121
NOLC1,128
NOP16,110
NOP56,133
NOP58,137
NOP9,141
NPRL2,115
NR2C2AP,111
NR2E1,133
NR2F2,74
NRAS,119
NSA2,121
NUDCD1,119
NUDT21,122
