gene,n_targeting_cells
IER3IP1,72
IGBP1,101
ILF3,97
IMP4,85
IMPA2,94
IMPDH1,95
IMPDH2,83
INCENP,108
INO80D,100
INO80E,42
INPPL1,82
INTS1,74
INTS10,113
INTS11,96
INTS2,83
INTS5,99
INTS7,89
ITGB1,64
ITPR1,85
IVL,90
IZUMO2,99
JUNB,97
KANSL1,72
KATNBL1,97
KCNG1,93
KCNG4,70
KCTD16,98
KDM4A,99
KDM6A,96
KIAA1958,80
KIF11,64
KIF14,96
KIF17,87
KIF20A,82
KIF23,63
KIN,83
KLHL7,92
KPNB1,66
KRAS,90
KRI1,98
KRT10,128
KRT18,50
KRT8,84
KRTAP2-3,103
KRTAP2-4,103
KRTAP4-2,87
LAMTOR1,86
LAMTOR2,83
LAMTOR3,75
LAMTOR4,83
LARP7,95
LARS,62
LCE3A,91
LDLR,80
LENG8,89
LIAS,108
LIMD2,94
LIMS1,50
LIN37,74
LIN9,78
LMX1B,96
LRP1B,107
LSM4,71
LSM5,75
LSM6,63
LTB4R,129
LTN1,100
LTV1,89
LYPD2,114
LYSMD1,93
MAD2L2,68
MAFA,87
MANF,83
MAP2K7,85
MAP7D1,79
MAPK1,72
MAPRE3,86
MARS,87
MAX,83
MBD5,112
MBTD1,64
MCEE,84
MCM3,94
MCM5,95
MCM7,96
MCRS1,115
MCTS1,92
MDN1,90
MEAF6,61
MED13L,93
MED18,97
MED21,86
MED6,95
METAP1,78
METTL3,67
METTL7A,80
METTL7B,104
MEX3C,98
MFAP1,55
MGAM,73
MICOS13,94
MIEN1,106
MIOS,81
MLLT1,68
MMP17,89
MOB4,74
MRGBP,98
MRM1,80
MROH6,67
MRPL20,90
MRPL34,89
MRPL39,103
MRPL40,72
MRPL42,96
MRPL52,95
MSANTD4,92
MSH3,106
MTA2,77
MTBP,63
MTHFD1,98
MTOR,72
MUC13,82
MUCL1,76
MXRA8,85
MYBPHL,90
MYCL,87
NACC1,85
NAE1,102
NAMPT,88
NAPA,78
NAPG,57
NBEAL1,78
NBPF15,77
NCAN,121
NCAPG2,79
NCBP2,66
NCDN,83
NCKIPSD,101
NCL,102
NCOA1,92
NCOA4,88
NDUFC1,61
NEDD8,58
NEK1,103
NHSL1,104
NLE1,72
NMT1,52
NOB1,81
NOL10,64
NOL6,86
NOL7,78
NOL8,83
NOLC1,90
NOP16,60
NOP56,99
NOP58,76
NOP9,90
NPRL2,92
NR2C2AP,107
NR2E1,100
NR2F2,93
NRAS,96
NSA2,72
NUDCD1,108
NUDT21,97
NUFIP2,59
NUP214,90
NUP37,80
NUP54,100
NUP98,92
OAZ1,106
OGT,100
OR2T5,91
ORC6,57
OSBPL7,104
OST4,91
OTOP1,67
P4HB,91
PAICS,91
PAN2,74
PARP1,83
PARP12,94
PATL1,99
PCF11,69
PCID2,104
PCYT1A,85
PDCD7,47
PDGFRA,81
PDIA6,90
PDPK1,88
PDZK1IP1,96
PEF1,88
PEX19,82
PFDN2,83
PFN1,73
PGK1,114
PHB,89
PHB2,63
PHF23,83
PIAS1,102
PIGS,56
PIM2,81
PKMYT1,74
