reporter_slug,modality,display_column,feature_class
fe2+_ferhonox_live-cell_dye,phase,82,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,83,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,84,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,85,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,86,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,87,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,88,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,89,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,90,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,91,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,92,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,93,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,94,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,95,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,96,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,97,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,98,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,99,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,100,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,101,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,102,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,103,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,104,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,105,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,106,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,107,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,108,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,109,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,110,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,111,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,112,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,113,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,114,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,115,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,116,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,117,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,118,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,119,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,120,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,121,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,122,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,123,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,124,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,125,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,126,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,127,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,128,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,129,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,130,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,131,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,132,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,133,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,134,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,135,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,136,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,137,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,138,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,139,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,140,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,141,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,142,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,143,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,144,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,145,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,146,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,147,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,148,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,149,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,150,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,151,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,152,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,153,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,154,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,155,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,156,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,157,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,158,phase2d_vesicular_dark
fe2+_ferhonox_live-cell_dye,phase,159,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,160,phase2d_vesicular
fe2+_ferhonox_live-cell_dye,phase,161,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,162,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,163,cell
fe2+_ferhonox_live-cell_dye,phase,164,cell
fe2+_ferhonox_live-cell_dye,phase,165,cell
fe2+_ferhonox_live-cell_dye,phase,166,cell
fe2+_ferhonox_live-cell_dye,phase,167,cell
fe2+_ferhonox_live-cell_dye,phase,168,cell
fe2+_ferhonox_live-cell_dye,phase,169,cell
fe2+_ferhonox_live-cell_dye,phase,170,phase2d_tubular
fe2+_ferhonox_live-cell_dye,phase,171,phase2d_tubular
fe2+_ferhonox_live-cell_dye,target,0,Extrema/range
fe2+_ferhonox_live-cell_dye,target,1,Extrema/range
fe2+_ferhonox_live-cell_dye,target,2,Extrema/range
fe2+_ferhonox_live-cell_dye,target,3,Extrema/range
fe2+_ferhonox_live-cell_dye,target,4,Extrema/range
fe2+_ferhonox_live-cell_dye,target,5,Extrema/range
fe2+_ferhonox_live-cell_dye,target,6,Level
fe2+_ferhonox_live-cell_dye,target,7,Extrema/range
fe2+_ferhonox_live-cell_dye,target,8,Extrema/range
fe2+_ferhonox_live-cell_dye,target,9,Level
fe2+_ferhonox_live-cell_dye,target,10,Extrema/range
fe2+_ferhonox_live-cell_dye,target,11,Extrema/range
fe2+_ferhonox_live-cell_dye,target,12,Extrema/range
fe2+_ferhonox_live-cell_dye,target,13,Extrema/range
fe2+_ferhonox_live-cell_dye,target,14,Extrema/range
fe2+_ferhonox_live-cell_dye,target,15,Dispersion
fe2+_ferhonox_live-cell_dye,target,16,Dispersion
fe2+_ferhonox_live-cell_dye,target,17,Dispersion
fe2+_ferhonox_live-cell_dye,target,18,Extrema/range
fe2+_ferhonox_live-cell_dye,target,19,Dispersion
fe2+_ferhonox_live-cell_dye,target,20,Integrated
fe2+_ferhonox_live-cell_dye,target,21,Integrated
fe2+_ferhonox_live-cell_dye,target,22,Integrated
fe2+_ferhonox_live-cell_dye,target,23,Integrated
lysosome_lamp1,phase,0,cell
lysosome_lamp1,phase,1,cell
lysosome_lamp1,phase,2,cell
lysosome_lamp1,phase,3,cell
lysosome_lamp1,phase,4,cell
lysosome_lamp1,phase,5,cell
lysosome_lamp1,phase,6,cell
lysosome_lamp1,phase,7,phase2d_vesicular
lysosome_lamp1,phase,8,phase2d_vesicular
lysosome_lamp1,phase,9,phase2d_tubular
lysosome_lamp1,phase,10,phase2d_tubular
lysosome_lamp1,phase,11,phase2d_vesicular_dark
lysosome_lamp1,phase,12,phase2d_tubular
lysosome_lamp1,phase,13,phase2d_vesicular
lysosome_lamp1,phase,14,phase2d_vesicular_dark
lysosome_lamp1,phase,15,phase2d_vesicular_dark
lysosome_lamp1,phase,16,phase2d_vesicular_dark
lysosome_lamp1,phase,17,phase2d_vesicular_dark
lysosome_lamp1,phase,18,phase2d_vesicular_dark
lysosome_lamp1,phase,19,phase2d_vesicular_dark
lysosome_lamp1,phase,20,phase2d_vesicular_dark
lysosome_lamp1,phase,21,phase2d_vesicular_dark
lysosome_lamp1,phase,22,phase2d_vesicular_dark
lysosome_lamp1,phase,23,phase2d_vesicular_dark
lysosome_lamp1,phase,24,phase2d_vesicular_dark
lysosome_lamp1,phase,25,phase2d_vesicular_dark
lysosome_lamp1,phase,26,phase2d_vesicular_dark
lysosome_lamp1,phase,27,cell
lysosome_lamp1,phase,28,cell
lysosome_lamp1,phase,29,cell
lysosome_lamp1,phase,30,phase2d_tubular
lysosome_lamp1,phase,31,phase2d_tubular
lysosome_lamp1,phase,32,phase2d_vesicular
lysosome_lamp1,phase,33,phase2d_vesicular
lysosome_lamp1,phase,34,phase2d_vesicular
lysosome_lamp1,phase,35,phase2d_vesicular
lysosome_lamp1,phase,36,phase2d_tubular
lysosome_lamp1,phase,37,phase2d_tubular
lysosome_lamp1,phase,38,phase2d_vesicular
lysosome_lamp1,phase,39,phase2d_vesicular
lysosome_lamp1,phase,40,phase2d_tubular
lysosome_lamp1,phase,41,phase2d_tubular
lysosome_lamp1,phase,42,phase2d_vesicular_dark
lysosome_lamp1,phase,43,phase2d_vesicular_dark
lysosome_lamp1,phase,44,phase2d_tubular
lysosome_lamp1,phase,45,phase2d_tubular
lysosome_lamp1,phase,46,phase2d_vesicular
lysosome_lamp1,phase,47,phase2d_vesicular
lysosome_lamp1,phase,48,phase2d_tubular
lysosome_lamp1,phase,49,phase2d_tubular
lysosome_lamp1,phase,50,phase2d_tubular
lysosome_lamp1,phase,51,phase2d_tubular
lysosome_lamp1,phase,52,phase2d_tubular
lysosome_lamp1,phase,53,phase2d_tubular
lysosome_lamp1,phase,54,phase2d_tubular
lysosome_lamp1,phase,55,phase2d_tubular
lysosome_lamp1,phase,56,phase2d_tubular
lysosome_lamp1,phase,57,phase2d_tubular
lysosome_lamp1,phase,58,phase2d_tubular
lysosome_lamp1,phase,59,phase2d_tubular
lysosome_lamp1,phase,60,phase2d_vesicular
lysosome_lamp1,phase,61,phase2d_vesicular
lysosome_lamp1,phase,62,phase2d_vesicular
lysosome_lamp1,phase,63,phase2d_vesicular
lysosome_lamp1,phase,64,phase2d_vesicular
lysosome_lamp1,phase,65,phase2d_vesicular
lysosome_lamp1,phase,66,phase2d_vesicular
lysosome_lamp1,phase,67,phase2d_vesicular
lysosome_lamp1,phase,68,phase2d_vesicular
lysosome_lamp1,phase,69,phase2d_vesicular
lysosome_lamp1,phase,70,phase2d_vesicular
lysosome_lamp1,phase,71,phase2d_vesicular
lysosome_lamp1,phase,72,phase2d_vesicular_dark
lysosome_lamp1,phase,73,phase2d_vesicular_dark
lysosome_lamp1,phase,74,phase2d_vesicular_dark
lysosome_lamp1,phase,75,cell
lysosome_lamp1,phase,76,phase2d_vesicular_dark
lysosome_lamp1,phase,77,phase2d_vesicular
lysosome_lamp1,phase,78,phase2d_tubular
lysosome_lamp1,phase,79,phase2d_tubular
lysosome_lamp1,phase,80,phase2d_vesicular
lysosome_lamp1,phase,81,phase2d_vesicular
lysosome_lamp1,phase,82,phase2d_vesicular
lysosome_lamp1,phase,83,phase2d_tubular
lysosome_lamp1,phase,84,phase2d_tubular
lysosome_lamp1,phase,85,phase2d_vesicular_dark
lysosome_lamp1,phase,86,phase2d_vesicular_dark
lysosome_lamp1,phase,87,phase2d_vesicular_dark
lysosome_lamp1,phase,88,phase2d_vesicular_dark
lysosome_lamp1,phase,89,phase2d_vesicular_dark
lysosome_lamp1,phase,90,phase2d_tubular
lysosome_lamp1,phase,91,phase2d_tubular
lysosome_lamp1,phase,92,phase2d_tubular
lysosome_lamp1,phase,93,phase2d_tubular
lysosome_lamp1,phase,94,phase2d_tubular
lysosome_lamp1,phase,95,phase2d_tubular
lysosome_lamp1,phase,96,phase2d_vesicular
lysosome_lamp1,phase,97,phase2d_vesicular
lysosome_lamp1,phase,98,phase2d_tubular
lysosome_lamp1,phase,99,phase2d_tubular
lysosome_lamp1,phase,100,phase2d_vesicular
lysosome_lamp1,phase,101,phase2d_vesicular
lysosome_lamp1,phase,102,phase2d_vesicular
lysosome_lamp1,phase,103,phase2d_vesicular
lysosome_lamp1,phase,104,phase2d_vesicular
lysosome_lamp1,phase,105,phase2d_vesicular
lysosome_lamp1,phase,106,phase2d_vesicular_dark
lysosome_lamp1,phase,107,phase2d_vesicular_dark
lysosome_lamp1,phase,108,phase2d_vesicular_dark
lysosome_lamp1,phase,109,phase2d_vesicular_dark
lysosome_lamp1,phase,110,phase2d_vesicular_dark
lysosome_lamp1,phase,111,phase2d_vesicular_dark
lysosome_lamp1,phase,112,phase2d_vesicular_dark
