reporter_slug,control,metric,exact_minus_control
p53,remove_size_shape,KO,-0.010314051906267774
peroxisome_peroxi_spy650_live_cell_dye,remove_size_shape,KO,-0.003909890602032395
plasma_membrane_atp1b3,remove_size_shape,KO,-0.0018801515301067884
plasma_membrane_slc3a2,remove_size_shape,KO,8.62181186689348e-06
plasma_membrane_wga,remove_size_shape,KO,0.0008153643045161196
prb,remove_size_shape,KO,0.012049616276441688
proteasome_psmb7,remove_size_shape,KO,-0.0034226980060338974
ps6,remove_size_shape,KO,-0.0013252241273100651
recycling_endosome_tfrc,remove_size_shape,KO,-0.0017315119504928145
stress_granule_g3bp1,remove_size_shape,KO,0.0005018572012581712
trans-golgi_vamp3,remove_size_shape,KO,0.003510236491759633
