reporter_slug,control,metric,exact_minus_control
lysosome_lysotracker_live-cell_dye,gene_screen_deranged,KO,0.248785585029206
microtubules_map4,gene_screen_deranged,KO,0.5040324641546855
microtubules_tubulin,gene_screen_deranged,KO,0.5754070614519556
mitochondria_chromalive_561_excitation,gene_screen_deranged,KO,0.3798151735682041
mitochondria_tomm20,gene_screen_deranged,KO,0.5102238331881787
mitochondria_tomm70a,gene_screen_deranged,KO,0.4384253734625721
nuclear_speckles_srrm2,gene_screen_deranged,KO,0.44806584583129744
nuclei_hoechst,gene_screen_deranged,KO,0.6436159842876563
nuclei_nucleolive_live_cell_dye,gene_screen_deranged,KO,0.5716712496398638
nucleoli_npm1,gene_screen_deranged,KO,0.4649266891003815
nucleolus-dfc_fbl,gene_screen_deranged,KO,0.5024108361142378
nucleolus-gc_npm3,gene_screen_deranged,KO,0.41687379858146123
oxidative_stress_cellrox_live-cell_dye,gene_screen_deranged,KO,0.3047895725877121
p21,gene_screen_deranged,KO,0.26338275785868365
p53,gene_screen_deranged,KO,0.32129109079173473
peroxisome_peroxi_spy650_live_cell_dye,gene_screen_deranged,KO,0.6463016012605901
plasma_membrane_atp1b3,gene_screen_deranged,KO,0.38260906593253224
plasma_membrane_slc3a2,gene_screen_deranged,KO,0.4451241615907444
plasma_membrane_wga,gene_screen_deranged,KO,0.5694843947028858
prb,gene_screen_deranged,KO,0.2904656917454364
proteasome_psmb7,gene_screen_deranged,KO,0.3449278626668577
ps6,gene_screen_deranged,KO,0.4286891119438225
recycling_endosome_tfrc,gene_screen_deranged,KO,0.555458022983415
stress_granule_g3bp1,gene_screen_deranged,KO,0.5863756613262618
trans-golgi_vamp3,gene_screen_deranged,KO,0.6022144304970426
5xupre,covariate_matched_deranged,Cell,0.30651956960558896
actin_filament_fastact_spy555_live_cell_dye,covariate_matched_deranged,Cell,0.30012447200715553
autophagosome_atg101,covariate_matched_deranged,Cell,0.24008155514796592
autophagosome_map1lc3b,covariate_matched_deranged,Cell,0.171734204639991
