reporter_slug,arm,cell_pearson,gene_pearson
5xupre,covariate_matched_deranged,0.3861687959730625,0.469789752960205
5xupre,crossfit_gene_screen_residual,0.6550969305634499,
5xupre,exact_pair,0.6926883655786514,0.7499490767717362
5xupre,gene_screen_deranged,0.2804057255759835,0.3873513471335172
5xupre,remove_size_shape,0.6924128013849258,0.75151202917099
5xupre,size_shape_only,0.2391441844403743,0.3146945828199387
actin_filament_fastact_spy555_live_cell_dye,covariate_matched_deranged,0.6040001368770996,0.572793503726522
actin_filament_fastact_spy555_live_cell_dye,crossfit_gene_screen_residual,0.8613642811775207,
actin_filament_fastact_spy555_live_cell_dye,exact_pair,0.9041246088842552,0.9232436217367648
actin_filament_fastact_spy555_live_cell_dye,gene_screen_deranged,0.4243103057766954,0.2842518873823185
actin_filament_fastact_spy555_live_cell_dye,remove_size_shape,0.9037832086284956,0.9234826199710368
actin_filament_fastact_spy555_live_cell_dye,size_shape_only,0.2851316096261144,0.3623611502038935
autophagosome_atg101,covariate_matched_deranged,0.4185701904197533,0.4608496142240861
autophagosome_atg101,crossfit_gene_screen_residual,0.5797818457086882,
autophagosome_atg101,exact_pair,0.6586517455677192,0.7170203780134519
autophagosome_atg101,gene_screen_deranged,0.3064177672145888,0.3170558213256299
autophagosome_atg101,remove_size_shape,0.6591259814798832,0.7162848678727944
autophagosome_atg101,size_shape_only,0.2488347734014192,0.2706195809839603
autophagosome_map1lc3b,covariate_matched_deranged,0.7231861819823584,0.6597016366819541
autophagosome_map1lc3b,crossfit_gene_screen_residual,0.7818709942201773,
autophagosome_map1lc3b,exact_pair,0.8949203866223494,0.9069968024889628
autophagosome_map1lc3b,gene_screen_deranged,0.645345177128911,0.5609982855618
autophagosome_map1lc3b,remove_size_shape,0.895066250115633,0.906082351009051
autophagosome_map1lc3b,size_shape_only,0.2607112143188715,0.2345401237369514
b-catenin,covariate_matched_deranged,0.2959403015870339,0.3808569282169143
b-catenin,crossfit_gene_screen_residual,0.4788670066992441,
b-catenin,exact_pair,0.4865698561320702,0.558221155020098
b-catenin,gene_screen_deranged,0.0656021413047952,0.150377827376457
b-catenin,remove_size_shape,0.4888212132950624,0.5582218439939122
b-catenin,size_shape_only,0.2499742261366918,0.3164878826743612
c-myc,covariate_matched_deranged,0.2930560119201739,0.3808800256787799
c-myc,crossfit_gene_screen_residual,0.4474016050994396,
c-myc,exact_pair,0.458046290030082,0.5650585860013961
c-myc,gene_screen_deranged,0.0525151762090778,0.1273774027203519
c-myc,remove_size_shape,0.4598502127826213,0.5602195498347282
c-myc,size_shape_only,0.2781748835121592,0.3460367401128557
caspase_activity_cellevent-caspase_live-cell_dye,covariate_matched_deranged,0.2282952537634021,0.2850161570298951
caspase_activity_cellevent-caspase_live-cell_dye,crossfit_gene_screen_residual,0.5199874856819708,
caspase_activity_cellevent-caspase_live-cell_dye,exact_pair,0.5375786899278562,0.5904897607552508
caspase_activity_cellevent-caspase_live-cell_dye,gene_screen_deranged,0.0992328140739118,0.1747704881195507
caspase_activity_cellevent-caspase_live-cell_dye,remove_size_shape,0.5385318918774525,0.5883303369395435
caspase_activity_cellevent-caspase_live-cell_dye,size_shape_only,0.2304772747447713,0.2565306977267292
cell_proliferation_marker_mki67,covariate_matched_deranged,0.5001171994954348,0.3303755364070336
cell_proliferation_marker_mki67,crossfit_gene_screen_residual,0.5995526724805434,
cell_proliferation_marker_mki67,exact_pair,0.7315242397288481,0.6970430443684259
cell_proliferation_marker_mki67,gene_screen_deranged,0.4651527046846846,0.2165107049552412
cell_proliferation_marker_mki67,remove_size_shape,0.7322314793864886,0.6982483054200809
cell_proliferation_marker_mki67,size_shape_only,0.1597216529150803,0.1751817925755555
chaperones_hspa1b,covariate_matched_deranged,0.5636610558877388,0.5116601117576163
chaperones_hspa1b,crossfit_gene_screen_residual,0.7075882859528064,
chaperones_hspa1b,exact_pair,0.78846741716067,0.8258301466703415
chaperones_hspa1b,gene_screen_deranged,0.4750190671533346,0.3324985888476173
chaperones_hspa1b,remove_size_shape,0.7888051964342594,0.8266154838105043
chaperones_hspa1b,size_shape_only,0.2524429348607858,0.3302531021142688
chromalive_488_excitation,covariate_matched_deranged,0.4372214742004871,0.4309090272213021
chromalive_488_excitation,crossfit_gene_screen_residual,0.6845896470050017,
chromalive_488_excitation,exact_pair,0.7679530719916026,0.7782034076750278
chromalive_488_excitation,gene_screen_deranged,0.3624945969010392,0.2325396631509647
