id,name,category,tier,recovery,rank,variance,hitRecall,reliability,goBP,domainSensitive,displayOrder
stress_granule_g3bp1,G3BP1,Stress/PQC,quantitative_proxy,0.9324876788211308,0.9342547302547302,1.043912150978496,0.88,0.5489821526032832,0.25,False,1
lysosome_lysotracker_live-cell_dye,LysoTracker live-cell dye,Lysosome,quantitative_proxy,0.93490548931505,0.9877188397188398,0.93033168340503,0.92,0.8118267526031067,0.8181818181818182,False,2
er_golgi_cop-ii_sec23a,SEC23A,ER/Golgi,quantitative_proxy,0.9308613195197672,0.9429933669933668,0.874519085676562,0.92,0.7963114253629393,0.6666666666666666,False,3
early_endosome_eea1,EEA1,Endosome,quantitative_proxy,0.923219694743772,0.9728429768429768,1.0018714671850175,0.96,0.7784811755482057,1.0,False,4
lipid_droplet_bodipy_live_cell_dye,BODIPY live cell dye,Lysosome,quantitative_proxy,0.9235090597591196,0.960959316959317,0.794749466510299,0.96,0.693173451270225,0.8181818181818182,False,5
late_endosome_rab7a,RAB7A,Endosome,quantitative_proxy,0.9199228804921062,0.9536693216693218,0.8287993930605023,0.96,0.5437250794222616,0.8181818181818182,False,6
actin_filament_fastact_spy555_live_cell_dye,FastAct_SPY555 Live Cell Dye,Cytoskeleton,quantitative_proxy,0.9186551056294152,0.9713158073158076,0.934008721749014,0.94,0.4815571491092879,0.8181818181818182,False,7
plasma_membrane_slc3a2,SLC3A2,Plasma Membrane,quantitative_proxy,0.9125596810075852,0.9344774504774508,0.8999707561799031,0.88,0.4535912492305982,0.5384615384615384,False,8
clathrin_vesicles_clta,CLTA,Lysosome,quantitative_proxy,0.9145526433041556,0.9554859914859912,0.985584518519466,0.92,0.5686643877978657,0.6666666666666666,False,9
autophagosome_map1lc3b,MAP1LC3B,Lysosome,quantitative_proxy,0.9001608299252496,0.9305271065271066,0.9347263774201356,0.86,0.4661954595673966,0.8181818181818182,True,10
fe2+_ferhonox_live-cell_dye,FeRhoNox live-cell dye,Signaling,quantitative_proxy,0.9095895901510402,0.93401305001305,0.7370803755819276,0.86,0.6070291514177555,0.8181818181818182,False,11
recycling_endosome_tfrc,TFRC,Endosome,quantitative_proxy,0.8749470277911986,0.9551779391779394,1.0244270122384225,0.92,0.591056052462748,1.0,False,12
er_golgi_cope,COPE,ER/Golgi,quantitative_proxy,0.8337829869186318,0.854032154032154,0.7655537577096397,0.78,0.5671140969254439,0.8181818181818182,True,13
chaperones_hspa1b,HSPA1B,Stress/PQC,quantitative_proxy,0.8331724455604629,0.8072720072720073,0.932221391997017,0.84,0.3807492021518412,0.6666666666666666,False,14
nucleolus-gc_npm3,NPM3,Nucleus,quantitative_proxy,0.8345335517417443,0.8472391992391993,0.8011097295184371,0.86,0.4003235836780205,1.0,False,15
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,Nucleus,quantitative_proxy,0.8274654823751895,0.8531728331728332,0.7928864032456882,0.84,0.6299969683630331,0.8181818181818182,True,16
endosome_vps35,VPS35,Endosome,quantitative_proxy,0.8287198369034531,0.84987312987313,0.8053327690277692,0.7,0.3519252152106765,0.0,False,17
er_sec61b,SEC61B,ER/Golgi,quantitative_proxy,0.8119267301316617,0.9014797934797936,0.5989096388069226,0.86,0.4571854056007768,0.4285714285714285,False,18
er_golgi_bridge_vapa,VAPA,ER/Golgi,quantitative_proxy,0.8133458602825705,0.9081841521841524,0.7683852696346999,0.88,0.6864386449976475,0.8181818181818182,False,19
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,Mitochondria,quantitative_proxy,0.806188695791279,0.9472878352878352,0.7999771592606584,0.88,0.7231375976605061,0.8181818181818182,False,20
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,Peroxisome,quantitative_proxy,0.8100131207326374,0.8792889512889513,0.8830879531925239,0.78,0.491094238791797,0.6666666666666666,False,21
chromalive_488_excitation,ChromaLIVE 488 excitation,Mitochondria,quantitative_proxy,0.7746614618872987,0.8282332562332563,0.8162227429190112,0.72,0.3255015696911665,0.8181818181818182,False,22
chromatin_h2bc21,H2BC21,Nucleus,quantitative_proxy,0.7667328332766998,0.8261045621045622,0.61796238750515,0.74,0.580774506626757,0.8181818181818182,False,23
plasma_membrane_atp1b3,ATP1B3,Plasma Membrane,quantitative_proxy,0.7553579532449395,0.787051375051375,0.810088999533144,0.8,0.5016975413704213,0.6666666666666666,False,24
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,pHrodo-dextran Live Cell Dye,Signaling,quantitative_proxy,0.7581907603760246,0.7996151716151716,0.9039930888567946,0.86,0.4110300664564122,0.6666666666666666,False,25
5xupre,5xUPRE,Stress/PQC,quantitative_proxy,0.7517535811802963,0.8691121491121492,0.901870450508552,0.9,0.4085795923758126,0.8181818181818182,False,26
f-actin_phalloidin,Phalloidin*,Cytoskeleton,quantitative_proxy,0.7509903596059767,0.7647367407367408,0.5555329806518493,0.62,0.3996475172727066,0.0,False,27
mitochondria_tomm70a,TOMM70A,Mitochondria,quantitative_proxy,0.749968655494523,0.8310551190551191,0.8071671781490796,0.8,0.3915349809035072,0.1764705882352941,False,28
lysosome_lamp1,LAMP1,Lysosome,quantitative_proxy,0.7512566414208901,0.8246867246867248,0.7882504923139584,0.72,0.4475988330251703,0.6666666666666666,False,29
autophagosome_atg101,ATG101,Lysosome,quantitative_proxy,0.713638245878343,0.7562580362580363,0.7354794724560444,0.8,0.5696557950339326,0.5384615384615384,False,30
nuclear_speckles_srrm2,SRRM2,Nucleus,ranking_proxy,0.865553630356042,0.8712907272907273,0.4952132737175836,0.76,0.619391207547443,0.4285714285714285,False,31
proteasome_psmb7,PSMB7,Stress/PQC,ranking_proxy,0.6036111647146251,0.8499032139032139,0.851693631535629,0.78,0.4309405843280984,0.25,False,32
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,Signaling,ranking_proxy,0.6789181487433704,0.7922595482595484,0.7552727102266045,0.82,0.566358845982032,0.8181818181818182,False,33
er_ncln,NCLN,ER/Golgi,ranking_proxy,0.6631427849101728,0.7536111576111576,0.8064229303337181,0.58,0.5109354049791082,0.5384615384615384,False,34
trans-golgi_vamp3,VAMP3,ER/Golgi,ranking_proxy,0.6824360548684879,0.7384963864963865,0.7688269382820128,0.86,0.565576846698852,0.8181818181818182,False,35
p21,p21*,Signaling,ranking_proxy,0.6191052901211831,0.7383808383808383,0.2482938383826281,0.64,0.673271028808692,0.5384615384615384,False,36
mitochondria_tomm20,TOMM20*,Mitochondria,ranking_proxy,0.6939597856755839,0.7201066441066442,0.4002878735877984,0.52,0.4495396744921411,0.25,False,37
p53,p53*,Signaling,measurement_required,0.5897136792901746,0.6648243888243889,0.1358458864429194,0.4,0.6790572976946833,0.4285714285714285,False,38
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,Stress/PQC,measurement_required,0.5980371807000908,0.5789962469962471,0.4672157078550862,0.42,0.3152966465946273,0.0526315789473684,False,39
ps6,pS6*,Signaling,measurement_required,0.5893811845368762,0.6643925683925684,0.067433058982859,0.28,0.3470813638953472,0.0526315789473684,False,40
prb,pRb*,Signaling,not_identifiable,0.5147917575055067,0.7083289323289323,0.0169407424247728,0.6,0.1509084849662904,0.6666666666666666,False,41
nuclei_hoechst,Hoechst*,Nucleus,not_identifiable,0.7552751627234884,0.670925242925243,0.6970531092744202,0.52,0.187063345712023,0.0,False,42
nucleoli_npm1,NPM1*,Nucleus,not_identifiable,0.5498100329077995,0.4887014367014367,0.4743451980311171,0.42,0.2156298259088717,0.5384615384615384,False,43
b-catenin,b-catenin*,Signaling,not_identifiable,0.5709871635927863,0.6645843525843527,0.4643259821575786,0.5,0.2160133604189748,0.0,False,44
c-myc,c-Myc*,Signaling,not_identifiable,0.5667739586418341,0.6272016392016392,0.3962574389284445,0.5,0.2166304258685255,0.0,False,45
er_cona,ConA*,ER/Golgi,not_identifiable,0.715259638635678,0.7217280977280978,0.5309365644444025,0.56,0.2319836986715685,0.1111111111111111,False,46
microtubules_tubulin,Tubulin*,Cytoskeleton,not_identifiable,0.7284577421088885,0.7399994599994602,0.5857511505265177,0.6,0.2737965813011502,0.1764705882352941,False,47
nucleolus-dfc_fbl,FBL,Nucleus,not_identifiable,0.7957789914412075,0.8226278946278948,0.7610209142882526,0.8,0.2774818093462274,0.5384615384615384,False,48
plasma_membrane_wga,WGA*,Plasma Membrane,not_identifiable,0.7535324862592845,0.7645170085170087,0.6043069062375509,0.6,0.2955940866884624,0.0,False,49
microtubules_map4,MAP4,Cytoskeleton,unresolved,0.8231292524393403,0.6780510060510061,0.8142748720121701,0.66,0.557891172634394,0.4285714285714285,False,50
lipid_droplet_plin2,PLIN2,Lysosome,unresolved,0.7182798950958886,0.5638696318696319,0.443161027867824,0.44,0.3164645586840825,0.1111111111111111,False,51
cell_proliferation_marker_mki67,MKI67*,Nucleus,unresolved,0.7042952594051338,0.6634308394308395,0.5366833306482973,0.62,0.3279687777331082,0.4285714285714285,False,52
