panel,source_table,mark_id,reporter_slug,ensemble_recoverability_r,magnitude_spearman,amplitude_fidelity,within_screen_split_half_pearson_median,short_name,substitutability_tier,scientific_utility_index,outer_loo_prediction,selected_alpha,mean_utility,prediction_residual,label_flag,label_reason,predictor,label,rho,ci_low,ci_high,n_reporters,ci_method,bootstrap_reps,bootstrap_seed,outer_loo_r2,outer_loo_spearman,median_selected_alpha,reporter_short_name,biological_category_x,destination_screen,n_source_screens,n_source_control_cells,n_destination_control_cells,n_common_genes,phase_ntc_shift_rms_smd,phase_ntc_shift_median_abs_smd,phase_ntc_shift_p90_abs_smd,phenotype_ntc_shift_rms_smd,phenotype_ntc_shift_median_abs_smd,true_ko_response_rms_shift,true_ko_profile_cross_screen_pearson,true_ko_magnitude_cross_screen_spearman,consensus10_strict_gene_pearson,consensus10_strict_magnitude_spearman,consensus10_strict_cell_pearson,consensus10_gene_holdout_pearson,consensus10_gene_holdout_cell_pearson,biological_category_y,consensus10_screen_penalty_gene,consensus10_screen_penalty_cell,statistical_unit,inference_cluster,consensus_aggregation,gene_minus_strict_screen_pearson,ordered_direction_index,display_screen,display_label,biological_category,metric,metric_label,value,reporter_order,status,n_directions,minimum,median,maximum,range,stable_above_gate,crosses_gate,stable_below_gate,median_within_reporter_range,iqr25_within_reporter_range,iqr75_within_reporter_range,maximum_within_reporter_range,reporter_group_eta_squared_descriptive,gate,context,model,fraction,n_compounds,k,overlap,recall,recall_lower95,recall_upper95,random_expected_overlap,random_expected_recall,enrichment_over_random,random_overlap_lower95,random_overlap_upper95,random_selection_tail_probability,signed_spearman,signed_pearson,selected_reference_loss_mean,selected_reference_loss_min,selected_reference_loss_max,true_top_loss_mean,n_bootstrap,interpretation,measured_repeat_recall,measured_repeat_overlap,recall_difference_from_repeat,difference_lower95,difference_upper95
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:10,chromatin_h2bc21,0.7667328332766998,0.8261045621045622,0.61796238750515,0.580774506626757,H2BC21,quantitative_proxy,0.4852941176470589,0.5532572885991122,10.0,0.5192757031230855,0.06796317095205329,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:11,clathrin_vesicles_clta,0.9145526433041556,0.9554859914859912,0.9855845185194662,0.5686643877978657,CLTA,quantitative_proxy,0.7549019607843137,0.7451686658111953,10.0,0.7500353132977545,-0.009733294973118367,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:12,early_endosome_eea1,0.923219694743772,0.9728429768429768,0.9981320286620441,0.7784811755482057,EEA1,quantitative_proxy,0.9730392156862746,0.8426522814874632,10.0,0.907845748586869,-0.13038693419881142,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:13,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7581907603760246,0.7996151716151716,0.9039930888567946,0.4110300664564122,pHrodo-dextran Live Cell Dye,quantitative_proxy,0.5980392156862746,0.5105031642557933,10.0,0.554271189971034,-0.08753605143048127,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:14,endosome_vps35,0.8287198369034531,0.84987312987313,0.8053327690277692,0.3519252152106765,VPS35,quantitative_proxy,0.24019607843137258,0.5342921100064466,10.0,0.3872440942189096,0.294096031575074,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:15,er_cona,0.715259638635678,0.7217280977280978,0.5309365644444025,0.2319836986715685,ConA,not_identifiable,0.1642156862745098,0.3125686827951012,10.0,0.23839218453480548,0.1483529965205914,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:16,er_golgi_bridge_vapa,0.8133458602825705,0.9081841521841524,0.7683852696347,0.6864386449976475,VAPA,quantitative_proxy,0.8259803921568627,0.6914904621923578,10.0,0.7587354271746103,-0.13448992996450493,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:17,er_golgi_cop-ii_sec23a,0.9308613195197672,0.9429933669933668,0.874519085676562,0.7963114253629393,SEC23A,quantitative_proxy,0.676470588235294,0.8198680946545263,10.0,0.7481693414449102,0.1433975064192322,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:18,er_golgi_cope,0.8337829869186318,0.854032154032154,0.7655537577096397,0.5671140969254439,COPE,quantitative_proxy,0.7450980392156863,0.6082710006085881,10.0,0.6766845199121372,-0.13682703860709822,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,figure_source_nested_loo.csv,a:figure_source_nested_loo:19,er_ncln,0.6631427849101728,0.7536111576111576,0.8064229303337181,0.5109354049791082,NCLN,ranking_proxy,0.2696078431372549,0.489445497646382,10.0,0.3795266703918184,0.21983765450912712,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
