reporter_slug,n_genes,top_k,magnitude_spearman,magnitude_pearson,magnitude_variance_ratio,top5pct_recall,top5pct_jaccard,median_profile_pearson,median_profile_cosine,go_bp_top10_jaccard,go_bp_enrichment_spearman,go_cc_top10_jaccard,go_cc_enrichment_spearman,ebi_complex_top10_jaccard,ebi_complex_enrichment_spearman,statistical_unit,consensus_aggregation,marker,short_name,biological_category,n_screens,screen_ids,n_exact_assay_cell_links,within_screen_split_half_pearson_median,cross_screen_pearson_median,well_consistency,guide_half_consistency,random_half_consistency,amplitude_compressed
f-actin_phalloidin,1000,50,0.7647367407367408,0.8011553586958662,0.5555329806518494,0.62,0.4492753623188406,0.8655541543746974,0.8661347229091778,0.0,0.5503461318102312,0.3333333333333333,0.668211866796713,0.5384615384615384,0.6690885179389315,reporter,unweighted_median_10_models,"f-actin, Phalloidin (cp)",Phalloidin*,Cytoskeleton,1,Biohub_OPS0043,111573,0.3996475172727066,,0.1581673080256325,0.2277065106266463,0.362540287646687,False
er_sec61b,1000,50,0.9014797934797936,0.9658825453690756,0.5989096388069227,0.86,0.7543859649122807,0.9208780764517832,0.9445240470750182,0.4285714285714285,0.8355066514044638,0.6666666666666666,0.976287619668124,0.8181818181818182,0.9226545081833591,reporter,unweighted_median_10_models,"ER, SEC61B",SEC61B,ER/Golgi,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,433351,0.4571854056007768,0.4333772785856781,,,0.4332640581402455,False
chromatin_h2bc21,1000,50,0.8261045621045622,0.8838227750363277,0.6179623875051498,0.74,0.5873015873015873,0.8792326440189904,0.9061713524552152,0.8181818181818182,0.6788479516922737,0.4285714285714285,0.886862398658054,0.6666666666666666,0.8348655598249403,reporter,unweighted_median_10_models,"chromatin, H2BC21",H2BC21,Nucleus,2,Biohub_OPS0064;Biohub_OPS0069,306698,0.580774506626757,0.6401417408029008,0.4236693641551209,0.4527895753344156,0.6008810089853722,False
microtubules_tubulin,1000,50,0.7399994599994602,0.7885676381019495,0.5857511505265176,0.6,0.4285714285714285,0.8354428874516886,0.825735613789426,0.1764705882352941,0.6488651547151797,0.25,0.6878504037516352,0.6666666666666666,0.7935987602753459,reporter,unweighted_median_10_models,"microtubules, Tubulin (cp)",Tubulin*,Cytoskeleton,1,Biohub_OPS0043,111573,0.2737965813011502,,0.162670499349413,0.1673888765484563,0.3092903717346943,False
plasma_membrane_wga,1000,50,0.7645170085170087,0.8087488980393757,0.6043069062375509,0.6,0.4285714285714285,0.8604938090567958,0.8557861050918982,0.0,0.5855567923770645,0.25,0.6890926003547849,0.6666666666666666,0.7591482278361662,reporter,unweighted_median_10_models,"plasma membrane, WGA (cp)",WGA*,Plasma Membrane,1,Biohub_OPS0043,111573,0.2955940866884624,,0.1309205550623561,0.1854856414673568,0.287832297551676,False
nuclei_hoechst,1000,50,0.670925242925243,0.7117032820575623,0.6970531092744203,0.52,0.3513513513513513,0.7929294047223562,0.8743402877777271,0.0,0.5748627769329534,0.1764705882352941,0.6190532323141316,0.5384615384615384,0.6422898504554213,reporter,unweighted_median_10_models,"nuclei, Hoechst (cp)",Hoechst*,Nucleus,1,Biohub_OPS0043,111573,0.187063345712023,,0.0343624592951019,0.0057603999350883,0.1175089394430572,False
er_ncln,1000,50,0.7536111576111576,0.8491544955608964,0.806422930333718,0.58,0.4084507042253521,0.8733365326970723,0.838903398305392,0.5384615384615384,0.6122725250955864,0.3333333333333333,0.7678887870095065,0.5384615384615384,0.5485217330652841,reporter,unweighted_median_10_models,"ER, NCLN",NCLN,ER/Golgi,1,Biohub_OPS0052,132163,0.5109354049791082,,0.3054510842546128,0.3514745975829638,0.5123672675345143,False
autophagosome_atg101,1000,50,0.7562580362580363,0.9219408651555088,0.7354794724560443,0.8,0.6666666666666666,0.6992500623153199,0.7759580438425971,0.5384615384615384,0.7840309387983732,0.6666666666666666,0.8369011206419351,0.6666666666666666,0.8793914945906949,reporter,unweighted_median_10_models,"autophagosome, ATG101",ATG101,Lysosome,2,Biohub_OPS0031;Biohub_OPS0054,166986,0.5696557950339326,0.6545571953361736,,,-0.3438261558753475,False
lysosome_lamp1,1000,50,0.8246867246867248,0.8703771486652746,0.7882504923139584,0.72,0.5625,0.8748119553801811,0.8740164797062288,0.6666666666666666,0.769642075470041,0.6666666666666666,0.6151739059164596,0.4285714285714285,0.5756018702465169,reporter,unweighted_median_10_models,"lysosome, LAMP1",LAMP1,Lysosome,2,Biohub_OPS0011;Biohub_OPS0012,124870,0.4475988330251703,0.5572684264207466,0.4555456086063264,0.4617345945977302,0.6306682965276502,False
er_golgi_cope,1000,50,0.854032154032154,0.9253487733139426,0.7655537577096397,0.78,0.639344262295082,0.9261798230187565,0.9228714141386052,0.8181818181818182,0.9278208440534066,1.0,0.8906337132326706,0.8181818181818182,0.7438680028675083,reporter,unweighted_median_10_models,"ER/Golgi, COPE",COPE,ER/Golgi,2,Biohub_OPS0023;Biohub_OPS0074,226855,0.5671140969254439,0.537755035072178,0.3255254707755316,0.2410340285597123,0.5927464074950468,False
