short_name,display_label,x,y,recoverability
pRb*,pRb,0.0096608849891772,0.0763127264580563,0.4474449838272993
NPM1*,NPM1,0.0473940152773191,0.1378126962385848,0.5333916893642809
LAMP1,LAMP1,0.0150711073561528,0.0070805418575682,0.7367389331261318
LysoTracker live-cell dye,LysoTracker,0.1104008174961877,0.2717627723141009,0.9248392219344774
FastAct_SPY555 Live Cell Dye,FastAct,0.0873678024567895,0.2666520549505065,0.9096364724139372
