split,reporter_slug,primary_catboost_multirmse,primary_gbdt,primary_knn,primary_masked_multitask_resmlp,primary_mlp,primary_ridge,primary_best_specialist,best_specialist_model,delta_resmlp_vs_ridge,delta_resmlp_vs_knn,delta_resmlp_vs_mlp,delta_resmlp_vs_gbdt,delta_resmlp_vs_catboost_multirmse,delta_resmlp_vs_best_specialist,resmlp_best_overall,marker,short_name,biological_category,target_feature_schema,n_screens,screen_ids,is_repeated_target,n_exact_assay_cell_links,n_targeting_links,n_technical_core_features,within_screen_split_half_pearson_median,cross_screen_pearson_median,cross_screen_estimable,n_exact_links,best_observed_model_pearson,observed_model_spread,mlp_gain_over_ridge,coverage_percentile,reliability_percentile,recoverability_percentile,label_limited_candidate,data_limited_candidate,morphology_limited_candidate,model_sensitive_candidate,model_limited_status,guide_status,guide_n_target_cells,guide_n_genes,guide_n_guides,guide_n_wells,well_consistency,guide_half_consistency,random_half_consistency,guide_excess_instability,diagnostic_evidence_pattern,legacy_mean10_gene_pearson,legacy_mean10_rank,n_models,log10_exact_links,consensus_aggregation,consensus10_gene_pearson
gene_holdout_main,5xupre,0.7433959648013115,0.7477423223853111,0.734723166525364,0.7484007358551026,0.7511600545048713,0.7399626645445824,0.7511600545048713,mlp,0.0084380713105202,0.0136775693297386,-0.0027593186497687,0.0006584134697914,0.005004771053791,-0.0027593186497687,False,5xUPRE,5xUPRE,Stress/PQC,OrganelleProfiler,6,Biohub_OPS0001;Biohub_OPS0005;Biohub_OPS0006;Biohub_OPS0007;Biohub_OPS0008;Biohub_OPS0009,True,433351,413297,20,0.4085795923758126,0.5146882059582216,True,433351,0.7511600545048713,0.0164368879795073,0.0111973899602889,0.971153846153846,0.3846153846153846,0.4230769230769231,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,112,97,99,1,,,0.0422256334353751,,within_KO_state_or_sampling_unstable,0.7325090909898281,26.0,10,5.636839803078212,unweighted_median_10_models,0.7441053985059262
gene_holdout_main,actin_filament_fastact_spy555_live_cell_dye,0.90895135824879,0.9224854697783786,0.8937979881962141,0.915337777386109,0.9243509116272132,0.90384865278999,0.9243509116272132,mlp,0.0114891245961189,0.0215397891898948,-0.009013134241104,-0.0071476923922696,0.0063864191373188,-0.009013134241104,False,"actin filament, FastAct_SPY555 Live Cell Dye",FastAct_SPY555 Live Cell Dye,Cytoskeleton,OrganelleProfiler,5,Biohub_OPS0033;Biohub_OPS0065;Biohub_OPS0072;Biohub_OPS0074;Biohub_OPS0076,True,521116,495275,24,0.4815571491092879,0.45475664889027,True,521116,0.9243509116272132,0.030552923430999,0.0205022588372231,1.0,0.5384615384615384,0.903846153846154,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,546,337,391,1,,,0.3069824562313499,,within_KO_state_or_sampling_unstable,0.9008314351489146,6.0,10,5.716934407661167,unweighted_median_10_models,0.9096364724139372
gene_holdout_main,autophagosome_atg101,0.7041879372050365,0.7116441092143455,0.688026862964034,0.695677571495374,0.7153217139343421,0.7098886396735906,0.7153217139343421,mlp,-0.0142110681782166,0.0076507085313399,-0.019644142438968,-0.0159665377189714,-0.0085103657096624,-0.019644142438968,False,"autophagosome, ATG101",ATG101,Lysosome,OrganelleProfiler,2,Biohub_OPS0031;Biohub_OPS0054,True,166986,158476,24,0.5696557950339326,0.6545571953361736,True,166986,0.7153217139343421,0.027294850970308,0.0054330742607514,0.4807692307692308,0.75,0.3269230769230769,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,64,55,57,1,,,-0.3438261558753475,,within_KO_state_or_sampling_unstable,0.6651713071775156,38.0,10,5.222680061700779,unweighted_median_10_models,0.7028304977342487
gene_holdout_main,autophagosome_map1lc3b,0.8951330972214541,0.905447866519292,0.8822124004364014,0.8988916089137394,0.9057822450995444,0.8714797365168732,0.9057822450995444,mlp,0.0274118723968662,0.016679208477338,-0.006890636185805,-0.0065562576055526,0.0037585116922853,-0.006890636185805,False,"autophagosome, MAP1LC3B",MAP1LC3B,Lysosome,OrganelleProfiler,3,Biohub_OPS0016;Biohub_OPS0017;Biohub_OPS0040,True,359112,342362,24,0.4661954595673966,0.426011165810057,True,359112,0.9057822450995444,0.0343025085826712,0.0343025085826712,0.9423076923076924,0.5192307692307693,0.8076923076923077,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,267,179,196,1,,,0.2150767331516949,,within_KO_state_or_sampling_unstable,0.8564437434015174,10.0,10,5.5552299176482345,unweighted_median_10_models,0.889691340426604
gene_holdout_main,b-catenin,0.5613137228786945,0.5492394132943204,0.5040443495909372,0.5632599864566388,0.5607133853559694,0.4866244284994899,0.5613137228786945,catboost_multirmse,0.0766355579571488,0.0592156368657015,0.0025466011006693,0.0140205731623184,0.0019462635779442,0.0019462635779442,True,b-catenin (4i),b-catenin*,Signaling,single-object CellProfiler-style,1,Biohub_OPS0077,False,90286,85290,30,0.2160133604189748,,False,90286,0.5632599864566388,0.0766355579571488,0.0740889568564794,0.0673076923076923,0.0769230769230769,0.0769230769230769,True,False,False,True,undetermined_until_mlp_capacity_probe,PASS,68715,1000,3998,3,0.1099941110776901,0.1212733471743713,0.2470047819997927,0.1257314348254213,low_label_reliability+model_sensitive+well_unstable+within_KO_state_or_sampling_unstable+guide_linked_instability,0.5133066936151396,50.0,10,4.95562041261558,unweighted_median_10_models,0.5556902340302865
gene_holdout_main,c-myc,0.5588747488458952,0.5410512558122476,0.5318789244691531,0.567334443529447,0.5539068301518758,0.5290730440616608,0.5588747488458952,catboost_multirmse,0.0382613994677861,0.0354555190602938,0.0134276133775711,0.0262831877171993,0.0084596946835517,0.0084596946835517,True,c-Myc (4i),c-Myc*,Signaling,single-object CellProfiler-style,1,Biohub_OPS0077,False,90286,85290,30,0.2166304258685255,,False,90286,0.567334443529447,0.0382613994677861,0.024833786090215,0.0673076923076923,0.0961538461538461,0.0576923076923076,True,False,False,False,undetermined_until_mlp_capacity_probe,PASS,68715,1000,3998,3,0.0875536999730922,0.0685964045986798,0.2397821391218887,0.1711857345232089,low_label_reliability+well_unstable+within_KO_state_or_sampling_unstable+guide_linked_instability,0.5240762459188699,49.0,10,4.95562041261558,unweighted_median_10_models,0.5492729490498702
gene_holdout_main,caspase_activity_cellevent-caspase_live-cell_dye,0.5931642334306767,0.5907368256089589,0.5733120895611743,0.5754445679485798,0.5873217311687767,0.5773035709299923,0.5931642334306767,catboost_multirmse,-0.0018590029814125,0.0021324783874054,-0.0118771632201969,-0.0152922576603791,-0.0177196654820969,-0.0177196654820969,False,"caspase activity, CellEvent-Caspase live-cell dye",CellEvent-Caspase live-cell dye,Stress/PQC,OrganelleProfiler,2,Biohub_OPS0050;Biohub_OPS0073,True,157180,149068,24,0.3152966465946273,0.2763948117497713,True,157180,0.5931642334306767,0.0198521438695024,0.0100181602387844,0.4423076923076923,0.1923076923076923,0.1153846153846153,True,False,False,False,undetermined_until_mlp_capacity_probe,PASS,129082,1000,3999,3,0.2632136245677227,0.2956526869899273,0.5045521375553166,0.2088994505653892,low_label_reliability+well_unstable+guide_linked_instability,0.54005535712194,47.0,10,5.196397284437343,unweighted_median_10_models,0.5755442526589225
gene_holdout_main,cell_proliferation_marker_mki67,0.6914825342595577,0.707495278865099,0.6549759436398744,0.6799836680293083,0.6914596130450568,0.6518868627647558,0.707495278865099,gbdt,0.0280968052645524,0.0250077243894338,-0.0114759450157484,-0.0275116108357906,-0.0114988662302494,-0.0275116108357906,False,"cell proliferation marker, MKI67",MKI67*,Nucleus,OrganelleProfiler,2,Biohub_OPS0045;Biohub_OPS0057,True,197625,187562,24,0.3279687777331082,0.4046021762634248,True,197625,0.707495278865099,0.0556084161003431,0.0395727502803009,0.625,0.25,0.2692307692307692,True,False,False,True,undetermined_until_mlp_capacity_probe,PASS,71,61,64,1,,,-0.0101242865266052,,low_label_reliability+model_sensitive+within_KO_state_or_sampling_unstable,0.6417435151198878,41.0,10,5.295841882940265,unweighted_median_10_models,0.6683644772817692
gene_holdout_main,chaperones_hspa1b,0.8219408864776293,0.8329041269918284,0.8139421937366327,0.8323131059606871,0.8275769112010798,0.8186237648129463,0.8329041269918284,gbdt,0.0136893411477407,0.0183709122240544,0.0047361947596072,-0.0005910210311412,0.0103722194830577,-0.0005910210311412,False,"chaperones, HSPA1B",HSPA1B,Stress/PQC,OrganelleProfiler,2,Biohub_OPS0028;Biohub_OPS0072,True,193356,184317,24,0.3807492021518412,0.4496506427110658,True,193356,0.8329041269918284,0.0189619332551956,0.0089531463881334,0.5769230769230769,0.3076923076923077,0.6730769230769231,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,275,186,200,1,,,0.0198570608595612,,within_KO_state_or_sampling_unstable,0.8140545694778363,14.0,10,5.286357653142787,unweighted_median_10_models,0.8219783624013265
gene_holdout_main,chromalive_488_excitation,0.7352123362322649,0.7687605676551661,0.7024789613982041,0.7803245556851228,0.7724121913313866,0.708968548104167,0.7724121913313866,mlp,0.0713560075809558,0.0778455942869187,0.0079123643537362,0.0115639880299567,0.0451122194528579,0.0079123643537362,True,ChromaLIVE 488 excitation,ChromaLIVE 488 excitation,Mitochondria,OrganelleProfiler,2,Biohub_OPS0002;Biohub_OPS0051,True,188615,178417,24,0.3255015696911665,0.306221734681592,True,188615,0.7803245556851228,0.0778455942869187,0.0634436432272196,0.5576923076923077,0.2307692307692307,0.5192307692307693,True,False,False,True,undetermined_until_mlp_capacity_probe,PASS,166,117,125,1,,,0.523027207591009,,low_label_reliability+model_sensitive,0.7428021773571769,24.0,10,5.275576227946301,unweighted_median_10_models,0.765586062396566
gene_holdout_main,chromatin_h2bc21,0.754556168615818,0.7755406630535921,0.723215183118979,0.7648463206986585,0.7774571490784487,0.7240808285772801,0.7774571490784487,mlp,0.0407654921213784,0.0416311375796795,-0.0126108283797901,-0.0106943423549336,0.0102901520828405,-0.0126108283797901,False,"chromatin, H2BC21",H2BC21,Nucleus,OrganelleProfiler,2,Biohub_OPS0064;Biohub_OPS0069,True,306698,290795,24,0.580774506626757,0.6401417408029008,True,306698,0.7774571490784487,0.0542419659594696,0.0533763205011685,0.9230769230769232,0.7692307692307693,0.5384615384615384,False,False,False,True,undetermined_until_mlp_capacity_probe,PASS,215366,1000,3998,3,0.4236693641551209,0.4527895753344156,0.6008810089853722,0.1480914336509565,model_sensitive+guide_linked_instability,0.7377659923583268,25.0,10,5.486710943925766,unweighted_median_10_models,0.757968520745635
gene_holdout_main,clathrin_vesicles_clta,0.9050473429262638,0.917240047454834,0.8887382380664348,0.911556763201952,0.9199979772170384,0.9024441542724768,0.9199979772170384,mlp,0.0091126089294751,0.0228185251355171,-0.0084412140150863,-0.005683284252882,0.0065094202756882,-0.0084412140150863,False,"clathrin vesicles, CLTA",CLTA,Lysosome,OrganelleProfiler,2,Biohub_OPS0018;Biohub_OPS0019,True,170667,161942,24,0.5686643877978657,0.6317620144208324,True,170667,0.9199979772170384,0.0312597391506035,0.0175538229445615,0.5,0.7307692307692307,0.8653846153846154,False,False,False,False,undetermined_until_mlp_capacity_probe,PASS,634,420,497,1,,,0.19202533548236,,within_KO_state_or_sampling_unstable,0.8868628913412492,8.0,10,5.23214955448675,unweighted_median_10_models,0.9066772521783908
