predictor,outcome,rho,ci95_low,ci95_high,n_reporters,bootstrap_draws,bootstrap_seed
within_screen_split_half_pearson_median,consensus10_gene_pearson,0.5468283104243148,0.29468437032391404,0.7371062528841016,52,3000,20260838
guide_half_consistency,consensus10_gene_pearson,0.37591036414565826,-0.00241128600578748,0.6680370726946244,35,3000,20260839
cross_screen_pearson_median,consensus10_gene_pearson,0.3485103132161956,0.013533346942564474,0.6253111634344973,34,3000,20260840
log10_exact_links,consensus10_gene_pearson,0.4821755083295821,0.2113302322440618,0.6857395477531804,52,3000,20260841
