split_label,unit,reporter_slug,screen_id,consensus,lo,hi,n_methods
Gene,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0065,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0065,0.8908709861750532,0.7912528585750437,0.9028558641362298,10
Gene,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0072,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0072,0.9304639040865095,0.7859866154748757,0.9428794297813916,10
Gene,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0074,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0074,0.8996878013033647,0.7592042873176011,0.9112239929191528,10
Gene,actin_filament_fastact_spy555_live_cell_dye::Biohub_OPS0076,actin_filament_fastact_spy555_live_cell_dye,Biohub_OPS0076,0.852275461242535,0.7333827136908196,0.8710914774661055,10
Gene,autophagosome_atg101::Biohub_OPS0031,autophagosome_atg101,Biohub_OPS0031,0.723126891226137,0.4480502208214569,0.7386923119637393,10
Gene,autophagosome_atg101::Biohub_OPS0054,autophagosome_atg101,Biohub_OPS0054,0.6982276569581615,0.4091070962874783,0.7108025283467869,10
Gene,autophagosome_map1lc3b::Biohub_OPS0016,autophagosome_map1lc3b,Biohub_OPS0016,0.685815123876798,0.4327146322978348,0.7201201182695357,10
Gene,autophagosome_map1lc3b::Biohub_OPS0017,autophagosome_map1lc3b,Biohub_OPS0017,0.691674226111261,0.1134518102466414,0.7287888224069143,10
Gene,autophagosome_map1lc3b::Biohub_OPS0040,autophagosome_map1lc3b,Biohub_OPS0040,0.9177631338588876,0.7596645246387602,0.9305621801096088,10
Gene,b-catenin::Biohub_OPS0077,b-catenin,Biohub_OPS0077,0.5419319159092633,0.3506936388646631,0.5572529111660621,10
Gene,c-myc::Biohub_OPS0077,c-myc,Biohub_OPS0077,0.5375807386828929,0.3877054269754321,0.5628643515061017,10
Gene,caspase_activity_cellevent-caspase_live-cell_dye::Biohub_OPS0050,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0050,0.5857752113908132,0.3780260098900059,0.6069347593726122,10
Gene,caspase_activity_cellevent-caspase_live-cell_dye::Biohub_OPS0073,caspase_activity_cellevent-caspase_live-cell_dye,Biohub_OPS0073,0.5396784239060711,0.3803649039784504,0.5696247392804631,10
Gene,cell_proliferation_marker_mki67::Biohub_OPS0045,cell_proliferation_marker_mki67,Biohub_OPS0045,0.6333089091712825,0.4671516372860219,0.656903137465264,10
Gene,cell_proliferation_marker_mki67::Biohub_OPS0057,cell_proliferation_marker_mki67,Biohub_OPS0057,0.6703494609961472,0.4357141527509947,0.707999374395285,10
Gene,chaperones_hspa1b::Biohub_OPS0028,chaperones_hspa1b,Biohub_OPS0028,0.8768801417282832,0.8147039369409906,0.890952827142557,10
Gene,chaperones_hspa1b::Biohub_OPS0072,chaperones_hspa1b,Biohub_OPS0072,0.8061886994626388,0.7107857275035933,0.814655149724738,10
Gene,chromalive_488_excitation::Biohub_OPS0002,chromalive_488_excitation,Biohub_OPS0002,0.6767279603106567,0.5976990731514541,0.7066954120538922,10
Gene,chromalive_488_excitation::Biohub_OPS0051,chromalive_488_excitation,Biohub_OPS0051,0.7622958217031273,0.6660864924352503,0.7836531835878113,10
Gene,chromatin_h2bc21::Biohub_OPS0064,chromatin_h2bc21,Biohub_OPS0064,0.7441653829901476,0.5906341900024071,0.7634464705992317,10
Gene,chromatin_h2bc21::Biohub_OPS0069,chromatin_h2bc21,Biohub_OPS0069,0.7769837291968607,0.5759830148670512,0.7906194221183739,10
Gene,clathrin_vesicles_clta::Biohub_OPS0018,clathrin_vesicles_clta,Biohub_OPS0018,0.8885907420256343,0.7486746963027451,0.9014668592066238,10
Gene,clathrin_vesicles_clta::Biohub_OPS0019,clathrin_vesicles_clta,Biohub_OPS0019,0.9278687078815967,0.7995204983653172,0.9360548240028236,10
Gene,early_endosome_eea1::Biohub_OPS0039,early_endosome_eea1,Biohub_OPS0039,0.9192514345098434,0.7994054550740749,0.9278582594725112,10
Gene,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye::Biohub_OPS0053,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0053,0.6059166663982283,0.3784353893114718,0.7411871133053372,10
Gene,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye::Biohub_OPS0064,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,Biohub_OPS0064,0.7361514413487689,0.6075848430343964,0.754057480441446,10
