view,split,method,n_reporters,median,q25,q75,minimum,maximum
b,Gene,MLP,52,0.7678571196893851,0.691236605686653,0.8566847964500387,0.4591269635409116,0.9388250542183718
c,Field,MLP,52,0.7633217873672644,0.6042756340880361,0.8409727865209182,0.3202433038254578,0.9567687208453816
c,Gene,MLP,52,0.7601023436213532,0.6057162447522084,0.8413713072116177,0.3079705707232157,0.9574326621989409
b,Whole-screen,Ridge,34,0.7304411999260385,0.5578534120771412,0.8113598711788654,0.1383289362032276,0.9285891792840428
b,Field,MLP,52,0.7148080700387558,0.635877916092674,0.8089442351212105,0.3573981012403965,0.913864643375079
c,Whole-screen,Ridge,34,0.6212830269295309,0.47049587901710765,0.7279172083362937,0.1012286013331807,0.8663707971572876
