panel,split,method,panel_title,aggregation_unit,reference,evaluation_metric,n_paired_units,median_method,median_reference,median_paired_delta,p_raw_wilcoxon,inference_status,displayed_in_main_figure,display_symbol,p_holm_reporter54,effect_gate_abs_median_delta_ge_0_02,meets_reporter_inference_gate
b,Whole-screen,MIDAS,Reporter · KO response,reporters,MLP,ko_pearson,34,0.6418070356982449,0.6771017902065068,-0.046535761034142115,0.13832266710232943,primary paired reporter-level inference,False,,1.0,True,False
b,Whole-screen,scPair,Reporter · KO response,reporters,MLP,ko_pearson,34,0.6909159988992744,0.6771017902065068,0.000539346364449661,0.2556125132832676,primary paired reporter-level inference,False,,1.0,False,False
c,Field,Ridge,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7353639936695496,0.7633217873672644,-0.020476489058799285,1.3257229430629154e-08,primary paired reporter-level inference,False,,4.772602595026496e-07,True,True
c,Field,GBDT,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7576547202343742,0.7633217873672644,-0.00270458499590559,0.00043930735135661996,primary paired reporter-level inference,False,,0.010982683783915499,False,False
c,Field,CatBoost,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7445753848180174,0.7633217873672644,-0.010219599699808457,3.413388385854959e-08,primary paired reporter-level inference,False,,1.1946859350492356e-06,False,False
c,Field,TabM,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7517609865715107,0.7633217873672644,0.00432342886924747,0.6036950160973299,primary paired reporter-level inference,False,,1.0,False,False
c,Field,scButterfly,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.661892232298851,0.7633217873672644,-0.056719929362104016,1.245192975865562e-09,primary paired reporter-level inference,False,,5.727887688981585e-08,True,True
c,Field,ResMLP,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7420724399387837,0.7633217873672644,-0.007469910507400868,3.5621242742870365e-06,primary paired reporter-level inference,False,,0.00010686372822861109,False,False
c,Field,MultiTab,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7432590611899892,0.7633217873672644,-0.0069516996294261,6.007147294117499e-06,primary paired reporter-level inference,False,,0.00017420727152940747,False,False
c,Field,MIDAS,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.6641906318565209,0.7633217873672644,-0.09074145640350054,3.503864964208263e-10,primary paired reporter-level inference,False,,1.892087080672462e-08,True,True
c,Field,scPair,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7412794338539244,0.7633217873672644,-0.012475229054689396,6.239345980343914e-09,primary paired reporter-level inference,False,,2.495738392137566e-07,False,False
c,Gene,Ridge,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7363112493107715,0.7601023436213532,-0.02032325764497117,5.267622673897396e-10,primary paired reporter-level inference,False,,2.5284588834707498e-08,True,True
c,Gene,GBDT,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7555475893119972,0.7601023436213532,-0.003049151860177568,0.00031054736473958163,primary paired reporter-level inference,False,,0.008074231483229123,False,False
c,Gene,CatBoost,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.742045823360483,0.7601023436213532,-0.011204187596837667,1.475744448230077e-09,primary paired reporter-level inference,False,,6.640850017035346e-08,False,False
c,Gene,TabM,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7484922325238585,0.7601023436213532,0.0029687258104482694,0.912978029438639,primary paired reporter-level inference,False,,1.0,False,False
c,Gene,scButterfly,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.6331691561887662,0.7601023436213532,-0.07365886255477866,5.914096912991167e-10,primary paired reporter-level inference,False,,2.7796255491058485e-08,True,True
c,Gene,ResMLP,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7401611450438699,0.7601023436213532,-0.007521779214342383,7.132022512301218e-06,primary paired reporter-level inference,False,,0.0001996966303444341,False,False
c,Gene,MultiTab,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.7397299082949758,0.7601023436213532,-0.008058240599930266,2.184115443472017e-06,primary paired reporter-level inference,False,,6.989169419110454e-05,False,False
c,Gene,MIDAS,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.6223995084067186,0.7601023436213532,-0.11147847980260853,3.503864964208263e-10,primary paired reporter-level inference,False,,1.892087080672462e-08,True,True
c,Gene,scPair,Reporter · cell phenotype,reporters,MLP,cell_pearson,52,0.737592117426296,0.7601023436213532,-0.011034486194451631,5.90875946718203e-09,primary paired reporter-level inference,False,,2.4225913815446323e-07,False,False
c,Whole-screen,Ridge,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.6212830269295309,0.5758016002364457,-0.0007360983226034068,0.34285025869030505,primary paired reporter-level inference,False,,1.0,False,False
c,Whole-screen,GBDT,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.5771700448046128,0.5758016002364457,-0.002535053247508301,0.6853143798653036,primary paired reporter-level inference,False,,1.0,False,False
c,Whole-screen,CatBoost,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.5853664093495657,0.5758016002364457,-0.00691011811917025,0.6362982825376093,primary paired reporter-level inference,False,,1.0,False,False
c,Whole-screen,TabM,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.5682753030754005,0.5758016002364457,0.01105096238768749,1.0,primary paired reporter-level inference,False,,1.0,False,False
c,Whole-screen,scButterfly,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.5087741261425738,0.5758016002364457,-0.03438634223615128,0.007692964398302138,primary paired reporter-level inference,False,,0.1846311455592513,True,False
c,Whole-screen,ResMLP,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.6172645435047647,0.5758016002364457,-0.005395200910667586,0.9193615607218817,primary paired reporter-level inference,False,,1.0,False,False
c,Whole-screen,MultiTab,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.6001148751626413,0.5758016002364457,0.002004755505671141,0.6606290930649266,primary paired reporter-level inference,False,,1.0,False,False
c,Whole-screen,MIDAS,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.5439946096933758,0.5758016002364457,-0.05591182503849279,0.02058481192216277,primary paired reporter-level inference,False,,0.47345067420974374,True,False
c,Whole-screen,scPair,Reporter · cell phenotype,reporters,MLP,cell_pearson,34,0.5958978302466372,0.5758016002364457,0.0027349515197177543,0.17359477805439383,primary paired reporter-level inference,False,,1.0,False,False
