split_label,unit,consensus,lo,hi,q25,q75,n_methods
Field,5xupre,0.70341640740633,0.6311260464787483,0.7151672384142875,0.6989355605095625,0.7071260246634483,10
Field,actin_filament_fastact_spy555_live_cell_dye,0.8824875426789125,0.8133007095505794,0.901569456110398,0.8773878075182437,0.8870176933084926,10
Field,autophagosome_atg101,0.6373124998062849,0.3858440355708201,0.6505098843326171,0.6088305574220916,0.6443984945925574,10
Field,autophagosome_map1lc3b,0.8355268033842245,0.7204296890646219,0.8546948892374834,0.774292253019909,0.844703657987217,10
Field,b-catenin,0.5188180790965755,0.3406309750982715,0.5334295676648617,0.4684423170452161,0.5232395219352717,10
Field,c-myc,0.4987877166643739,0.3516886704228818,0.5157423561811447,0.48492646691699814,0.5097949931025505,10
Field,caspase_activity_cellevent-caspase_live-cell_dye,0.5379191406381627,0.3901431063500543,0.5461079098905126,0.47492677607660877,0.5432045907713472,10
Field,cell_proliferation_marker_mki67,0.624722146615386,0.4506957962992601,0.6463810717066129,0.6042413239056865,0.6341481429835161,10
Field,chaperones_hspa1b,0.771560658266147,0.7155366636812687,0.7829279181857904,0.7645107741157213,0.7764351318900784,10
Field,chromalive_488_excitation,0.6984138523538908,0.5862713705748319,0.7265341969827811,0.6719996383103233,0.7095305449018876,10
Field,chromatin_h2bc21,0.6814348686486482,0.5632029063999653,0.7021671682596207,0.6585716769099235,0.6941733120630185,10
Field,clathrin_vesicles_clta,0.8721618015319109,0.7701482271154722,0.888775539646546,0.8682687800998488,0.8769594552926718,10
Field,early_endosome_eea1,0.8759963822861512,0.725764486193657,0.8857103881736597,0.8679227950672309,0.8822417315716545,10
Field,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.6763323400169611,0.5622384830688436,0.6965746882061163,0.6588579730751614,0.6888095691179236,10
Field,endosome_vps35,0.7814716452111801,0.6172116658339898,0.8052933245897294,0.7662718477348486,0.7874978047485153,10
Field,er_cona,0.6199518177244399,0.556765358067221,0.6341433939834437,0.5882625140974092,0.6267449509869847,10
Field,er_golgi_bridge_vapa,0.7636038941020766,0.5410902927163989,0.7844541045526663,0.7385193419332305,0.7745660079332689,10
Field,er_golgi_cop-ii_sec23a,0.888666332140565,0.7856363229453563,0.9008154193560282,0.8837674489244819,0.89596351608634,10
Field,er_golgi_cope,0.7761345391472181,0.6975050486624241,0.7923099646965662,0.7729007388154665,0.783786931137244,10
Field,er_ncln,0.570571902487427,0.4312026454135775,0.5794472192724547,0.5572679216973484,0.5770305798389017,10
Field,er_sec61b,0.7772952952732642,0.6996326851348083,0.7898783147335052,0.7731798860554894,0.7821762301648656,10
Field,f-actin_phalloidin,0.6582754052761528,0.5862544919053714,0.6745345761378607,0.6270506032018198,0.6662041124991245,10
Field,fe2+_ferhonox_live-cell_dye,0.8331707987313469,0.5383557693373101,0.8927026237050691,0.7605014908850232,0.8705580648034811,10
Field,late_endosome_rab7a,0.8830103754997254,0.7654231565694014,0.9001581129928431,0.8419533743212619,0.8904456640904148,10
Field,lipid_droplet_bodipy_live_cell_dye,0.8818478342145681,0.7572517906626065,0.8984188278516134,0.8753211827327807,0.8932465967411796,10
Field,lipid_droplet_plin2,0.676765742401282,0.5377933241426944,0.693460855508844,0.6647079519617061,0.6813310437835752,10
Field,lysosome_lamp1,0.6980090825508038,0.4762712200482686,0.7161782595018547,0.6820655705407263,0.7055953898156683,10
Field,lysosome_lysotracker_live-cell_dye,0.9010267450163761,0.8305188114444414,0.913864643375079,0.8942321539235611,0.905673229911675,10
Field,microtubules_map4,0.75613337593774,0.6964749758442242,0.7622618471582732,0.71959108132869,0.7614748507738114,10
Field,microtubules_tubulin,0.6387486072257161,0.5687974755134848,0.6536763858050108,0.6050938989035786,0.6461108091701236,10
Field,mitochondria_chromalive_561_excitation,0.7225716152538856,0.5955600416908662,0.7573967456817627,0.7152020034690698,0.7414002647002539,10
Field,mitochondria_tomm20,0.5951888979309136,0.5147789636005958,0.610837112325761,0.5643029912167953,0.6029522235919204,10
Field,mitochondria_tomm70a,0.6759884233276048,0.5839466075102487,0.6902731947600842,0.6656739868223667,0.6855826119581859,10
Field,nuclear_speckles_srrm2,0.7934418022632599,0.613064669817686,0.8215599750479063,0.7625604001184305,0.8126070100814105,10
Field,nuclei_hoechst,0.6957462410628795,0.5373799934983253,0.7300414331754049,0.6789327946056922,0.7125332527856032,10
Field,nuclei_nucleolive_live_cell_dye,0.7112641281758746,0.3468377876774562,0.7479416514436404,0.612963619424651,0.7281693229451776,10
Field,nucleoli_npm1,0.4764506484899256,0.3541434364393353,0.4920872718923621,0.4339645627886056,0.48344916333961807,10
Field,nucleolus-dfc_fbl,0.716385401537021,0.5748781324674687,0.742094511538744,0.6843882965234419,0.7323347559198737,10
Field,nucleolus-gc_npm3,0.7428000982850791,0.5111481631795565,0.7657745969792207,0.6621289713618655,0.7456213698411981,10
Field,oxidative_stress_cellrox_live-cell_dye,0.6254525619869431,0.5228425340106091,0.6445689188937347,0.6194477216651042,0.6329549488611519,10
Field,p21,0.5056495690842469,0.4031519917647044,0.5169316999117534,0.4949636815488338,0.5137907552470764,10
Field,p53,0.4411170380127927,0.3440977485027785,0.4655051188915967,0.41305741882572566,0.44860804248601194,10
Field,peroxisome_peroxi_spy650_live_cell_dye,0.7431798908238609,0.5948056112974882,0.7812990466753641,0.7095927272302409,0.7637124719098211,10
Field,plasma_membrane_atp1b3,0.6609284587825338,0.4706392067174116,0.6789702704797188,0.6438186222997804,0.6678437089857956,10
Field,plasma_membrane_slc3a2,0.8851629294455051,0.8492222333947816,0.8949942921598752,0.8839526336640119,0.8898700618495544,10
Field,plasma_membrane_wga,0.6683984223339292,0.6020576556523641,0.6829885901676284,0.6386252153457866,0.675970804794795,10
Field,prb,0.4162977550978151,0.253969892039895,0.4899758909145991,0.4030895921836296,0.4704530073453982,10
Field,proteasome_psmb7,0.5132790093620618,0.3905017312460889,0.5324433154116075,0.4928549170300054,0.5212585124963274,10
Field,ps6,0.5579764489845063,0.3608112032587329,0.5733946359157562,0.5009590413227124,0.566012030078952,10
