split_label,unit,consensus,lo,hi,q25,q75,n_methods
Field,5xupre,0.6865314191579819,0.6160261434316635,0.7022114083170891,0.6828917732089759,0.6902757687866687,10
Field,actin_filament_fastact_spy555_live_cell_dye,0.8867198581496875,0.8271813089648882,0.9044499563674132,0.8763608002259086,0.893805723078549,10
Field,autophagosome_atg101,0.6479114920521776,0.4000226482748985,0.6627972987790902,0.6224014127627016,0.6574134895888467,10
Field,autophagosome_map1lc3b,0.8836796831339597,0.7799509232242903,0.8954352522889772,0.8460973307490348,0.8880230361595749,10
Field,b-catenin,0.48380976426104694,0.2972100331292798,0.4997736849387486,0.4295176703979571,0.4904978830181061,10
Field,c-myc,0.44025331921875466,0.3037561681494116,0.4569639357924461,0.43009653662641845,0.4550587061047553,10
Field,caspase_activity_cellevent-caspase_live-cell_dye,0.5379790937528014,0.4018476241889098,0.5516420675131182,0.49025145698785,0.5450234083225951,10
Field,cell_proliferation_marker_mki67,0.724126768981417,0.64519761155049,0.7416675123075643,0.7168963809808095,0.7310025308281183,10
Field,chaperones_hspa1b,0.7881384740273157,0.7400950508813062,0.7965568092962106,0.7831026636064053,0.792264894458155,10
Field,chromalive_488_excitation,0.7590112266441187,0.6753644394377867,0.7762558954457442,0.744832213781774,0.767090785379211,10
Field,chromatin_h2bc21,0.6293571200221777,0.5227732475847006,0.6504843120773633,0.6085940876354774,0.6414056956147154,10
Field,clathrin_vesicles_clta,0.8590664533277353,0.7391783128182093,0.8765268161892891,0.8553823931142688,0.8636577481714389,10
Field,early_endosome_eea1,0.8212200245509544,0.6017487073938053,0.8358648029466471,0.8087020854776105,0.8310031258190671,10
Field,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7995495244860649,0.7528857645889124,0.8091263587276141,0.7916450689546763,0.8050413167104126,10
Field,endosome_vps35,0.8104528615872065,0.673032924781243,0.8342737483481566,0.791038721241057,0.8177344100549817,10
Field,er_cona,0.5482332601108484,0.4853827103558513,0.5644079967919323,0.5119446675189667,0.5553801339637074,10
Field,er_golgi_bridge_vapa,0.7369365512703856,0.4970457072942129,0.7584805267552535,0.7042428035289049,0.749406365926067,10
Field,er_golgi_cop-ii_sec23a,0.8402285403261582,0.7140493807693322,0.8539820924401283,0.830200259697934,0.8447732056180635,10
Field,er_golgi_cope,0.8351530912021796,0.7829847127199173,0.8453454191486041,0.8330884790048003,0.8393297951047619,10
Field,er_ncln,0.5475899186916648,0.4086811790242791,0.5569728285074234,0.5273259511217474,0.5557426030437151,10
Field,er_sec61b,0.7529274594038724,0.6765362657606602,0.773090788225333,0.7495162016401689,0.760634406718115,10
Field,f-actin_phalloidin,0.5885464114240474,0.5147585236777863,0.6055306139091651,0.5514866537931893,0.596112660328961,10
Field,fe2+_ferhonox_live-cell_dye,0.9502932922293742,0.7865701386006549,0.9567687208453816,0.9176311336147288,0.9544740946342548,10
Field,late_endosome_rab7a,0.8766107083608707,0.767197276155154,0.8929057759543261,0.8387734473372499,0.8836001809686422,10
Field,lipid_droplet_bodipy_live_cell_dye,0.8536912894497315,0.7134209444125493,0.8735660480956235,0.8459540992354353,0.8598761800055702,10
Field,lipid_droplet_plin2,0.82087157741189,0.7413458488881588,0.8271936838825544,0.8075360163425405,0.8233594975744685,10
Field,lysosome_lamp1,0.7192328711350758,0.4986320300648609,0.7377426361044248,0.7020529748251041,0.731529771288236,10
Field,lysosome_lysotracker_live-cell_dye,0.879097596804301,0.8066416084766388,0.8945391740649938,0.8700238151475786,0.8875273904763162,10
Field,microtubules_map4,0.7207583172246814,0.6530168242752552,0.7295723417152962,0.6807913577804963,0.7276213858276606,10
Field,microtubules_tubulin,0.5679772211238742,0.4982959253920449,0.5838324038104878,0.5290942405247027,0.5740661502401863,10
Field,mitochondria_chromalive_561_excitation,0.8029321571191151,0.7397262745847304,0.8216067619621754,0.7993713323026895,0.8123881692066789,10
Field,mitochondria_tomm20,0.519198764850282,0.4383858704111641,0.53589347133206,0.48191244140681294,0.5267037501894972,10
Field,mitochondria_tomm70a,0.7712798667450746,0.7085947381953399,0.7800343515972297,0.7659992368891835,0.7767434832329552,10
Field,nuclear_speckles_srrm2,0.8524704784154892,0.7650330809255441,0.8685186430811882,0.8366634196291367,0.8607795327901839,10
Field,nuclei_hoechst,0.6557332761585712,0.4928416968385378,0.6982331365346909,0.642176592896382,0.6776965727905432,10
Field,nuclei_nucleolive_live_cell_dye,0.7156959493334094,0.4423225914749006,0.7472459686299165,0.663235823996365,0.7311226995972295,10
Field,nucleoli_npm1,0.43291478190157145,0.3098920283632145,0.4470654754175079,0.3889965061150077,0.43863318804651497,10
Field,nucleolus-dfc_fbl,0.8196243062615395,0.7340465237696966,0.8343873808781306,0.8043949854870637,0.8274175793553392,10
Field,nucleolus-gc_npm3,0.8105423917373022,0.6812396029631297,0.828465968122085,0.7581424485892057,0.8156322135900459,10
Field,oxidative_stress_cellrox_live-cell_dye,0.7768987346440553,0.7070931668082873,0.7820478399594625,0.7648549797634284,0.7807994891578952,10
Field,p21,0.4154408246278763,0.3248226054012775,0.4278239551186561,0.40489047537247336,0.4236064214259385,10
Field,p53,0.3682098571707805,0.2644454341133435,0.4031502885123094,0.3395982354010144,0.3872289371863007,10
Field,peroxisome_peroxi_spy650_live_cell_dye,0.8550510088602702,0.7792059442649285,0.8652393698692322,0.8448706223318975,0.8606084839130441,10
Field,plasma_membrane_atp1b3,0.6482989409938456,0.4510488210866848,0.668062456821402,0.6312792401139935,0.6551236061689754,10
Field,plasma_membrane_slc3a2,0.8520079327126344,0.8082270820935568,0.8635219211379687,0.8498231254518033,0.8574985389908154,10
Field,plasma_membrane_wga,0.5994502618701921,0.5325564609219631,0.6156829212274817,0.5640967192128301,0.6073679725846483,10
Field,prb,0.37411418832838533,0.19493114768217,0.454420331120491,0.3694964719400741,0.41580903017272547,10
Field,proteasome_psmb7,0.6491086690376202,0.5635474847008786,0.662401450673739,0.6332095416262746,0.6555353077749412,10
Field,ps6,0.5161315430700779,0.3191355959135883,0.5304459211726984,0.45146599394725245,0.5244441543876504,10
Field,recycling_endosome_tfrc,0.8452484488487244,0.6256361270944277,0.8720988959074021,0.8346330208703876,0.8597277266283829,10
Field,stress_granule_g3bp1,0.8673991384605567,0.7993558888634046,0.8812201229234538,0.8590838998556136,0.8752034371097882,10
Field,trans-golgi_vamp3,0.6354403767734766,0.4442893773317336,0.6619287657241026,0.6144764582316081,0.6485904231046636,10
Gene,5xupre,0.6852997669577598,0.6077727511525154,0.7000962173938751,0.6821014549583198,0.6890853791683912,10
Gene,actin_filament_fastact_spy555_live_cell_dye,0.8888243601967891,0.7796238462130228,0.9047383271157742,0.8846191640322407,0.8951920664869248,10
Gene,autophagosome_atg101,0.6487031785771251,0.3802170591739316,0.6633793552716573,0.6239409467515846,0.6585443869543572,10
Gene,autophagosome_map1lc3b,0.8836353864520787,0.7593304929323494,0.8952306864162287,0.8319642945503195,0.888508604777356,10
Gene,b-catenin,0.48412733860313895,0.3009454100082318,0.4974484308312337,0.43027280014629155,0.4912770199465255,10
Gene,c-myc,0.4427374651158849,0.3040598201410224,0.4655409983793894,0.43196761541068546,0.45787645012140266,10
Gene,caspase_activity_cellevent-caspase_live-cell_dye,0.5309765861059229,0.3960571982897817,0.5447681238253911,0.46884619444014475,0.5396427261487892,10
Gene,cell_proliferation_marker_mki67,0.7243373315781355,0.5899057480196157,0.7420370668172837,0.7190432923535506,0.7310666725660364,10
Gene,chaperones_hspa1b,0.7886588118970395,0.7149856299161911,0.798015179981788,0.781773331326743,0.7921869123975436,10
Gene,chromalive_488_excitation,0.7601024006803832,0.5914660318444173,0.7747236646711826,0.7425969896217188,0.7672941506529848,10
Gene,chromatin_h2bc21,0.6299315237750609,0.5099643933276335,0.649671343465646,0.608758863930901,0.6423410995552937,10
Gene,clathrin_vesicles_clta,0.8596285426368316,0.7173631257067125,0.8770648288230101,0.8558005268995961,0.8705514482532938,10
Gene,early_endosome_eea1,0.8216663558036088,0.5966020817557971,0.8364820592105389,0.8083779184768597,0.8305954539527496,10
Gene,endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,0.7997695931543907,0.7443933761368194,0.8077189554770788,0.7917417614410321,0.8054129630327224,10
Gene,endosome_vps35,0.8139576476067305,0.6387401215732098,0.8342490834494433,0.797581979756554,0.826817819227775,10
Gene,er_cona,0.5486859115047586,0.4706555626458591,0.5650129290504589,0.5150044587130347,0.5570555717787808,10
Gene,er_golgi_bridge_vapa,0.7373763782903551,0.4871062445958765,0.758284901206692,0.7060802060179413,0.7493112831686934,10
Gene,er_golgi_cop-ii_sec23a,0.8401905152946711,0.7094157971441746,0.8525811863442263,0.8306692596524955,0.8455026227359971,10
Gene,er_golgi_cope,0.8353784860422215,0.7708865880966187,0.8449153497815132,0.833805688470602,0.8390287808453043,10
