reporter_slug,endpoint_index,endpoint_name,fold,common_control_scale,fold_target_scale,fold_to_common_factor
er_golgi_cop-ii_sec23a,13,op_gfp_intensity_mean_median,4,5.229042321648822,5.283223628997803,1.0103616119388945
er_golgi_cop-ii_sec23a,14,op_gfp_intensity_mean_std,4,1.4592386820341439,1.5460052490234375,1.0594601610124144
er_golgi_cop-ii_sec23a,15,op_gfp_intensity_mean_sum,4,2895.382812203068,3535.53759765625,1.221095042339529
er_golgi_cop-ii_sec23a,16,op_gfp_intensity_mean_min,4,4.193146955815145,4.176775932312012,0.9960957668129352
er_golgi_cop-ii_sec23a,17,op_gfp_intensity_mean_max,4,8.457303069550846,9.28709602355957,1.09811555139797
er_golgi_cop-ii_sec23a,18,op_gfp_intensity_range_mean,4,2.3792713206592917,2.4426751136779785,1.0266484080517213
er_golgi_cop-ii_sec23a,19,op_gfp_intensity_range_median,4,2.147075928042212,2.1377451419830322,0.9956541890590297
er_golgi_cop-ii_sec23a,20,op_gfp_intensity_range_std,4,2.196344137626296,2.559842109680176,1.1655013737722957
er_golgi_cop-ii_sec23a,21,op_gfp_intensity_range_sum,4,1064.9521659137756,1288.325927734375,1.2097500422743728
er_golgi_cop-ii_sec23a,22,op_gfp_intensity_range_min,4,2.9373074141404265,2.8577992916107178,0.9729316304630048
er_golgi_cop-ii_sec23a,23,op_gfp_intensity_range_max,4,17.30768685335878,19.356334686279297,1.1183663565372948
early_endosome_eea1,0,op_gfp_intensity_min_mean,0,1.8821151847916786,2.012737274169922,1.069401750984067
early_endosome_eea1,1,op_gfp_intensity_min_median,0,2.0161709435617237,2.109807252883911,1.0464426439738148
early_endosome_eea1,2,op_gfp_intensity_min_std,0,0.8463049157939329,0.8701339960098267,1.0281566132621827
early_endosome_eea1,3,op_gfp_intensity_min_sum,0,1684.9775987736118,2410.781982421875,1.430750167940826
early_endosome_eea1,4,op_gfp_intensity_min_min,0,1.7843539433455156,1.9096758365631104,1.070233763701963
early_endosome_eea1,5,op_gfp_intensity_min_max,0,4.452241375493283,4.921431541442871,1.1053829130945545
early_endosome_eea1,6,op_gfp_intensity_max_mean,0,3.0264382281118536,3.452298402786255,1.140713321262826
early_endosome_eea1,7,op_gfp_intensity_max_median,0,2.7704958059604032,3.0092668533325195,1.0861835079693778
early_endosome_eea1,8,op_gfp_intensity_max_std,0,2.1129189017422525,2.5407791137695312,1.2024972239466822
early_endosome_eea1,9,op_gfp_intensity_max_sum,0,2322.8812125503937,3352.410888671875,1.4432123651261164
